date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,56.01,53.19,55.494,56.39,52.98,1778109.0,0.0,1.0
2018-02-07,56.22,55.73,55.7021,56.75,55.42,1820942.0,0.0,1.0
2018-02-08,52.26,56.33,51.7786,56.33,52.22,1775615.0,0.0,1.0
2018-02-09,53.22,53.25,52.7297,53.68,51.35,1530034.0,0.0,1.0
2018-02-12,53.6,53.58,53.1062,54.14,53.015,1168094.0,0.0,1.0
2018-02-13,54.64,53.37,54.1367,54.87,53.37,1422963.0,0.0,1.0
2018-02-14,56.12,54.1,55.603,56.39,54.1,1213140.0,0.0,1.0
2018-02-15,56.38,56.5,55.8606,56.605,55.82,1475846.0,0.0,1.0
2018-02-16,56.2,56.21,55.6823,57.15,55.98,768045.0,0.0,1.0
2018-02-20,56.32,55.78,55.8012,56.91,55.6,1260895.0,0.0,1.0
2018-02-21,57.57,56.56,57.0397,58.31,56.56,2139786.0,0.0,1.0
2018-02-22,57.33,57.65,57.0793,58.3,57.275,1823880.0,0.28,1.0
2018-02-23,57.85,57.54,57.597,58.0,57.17,885096.0,0.0,1.0
2018-02-26,57.68,57.97,57.4278,57.97,57.17,1154971.0,0.0,1.0
2018-02-27,57.43,57.84,57.1789,58.21,57.42,800918.0,0.0,1.0
2018-02-28,57.07,57.81,56.8204,58.11,57.07,1110381.0,0.0,1.0
2018-03-01,56.75,56.91,56.5018,57.57,56.07,1778286.0,0.0,1.0
2018-03-02,57.98,56.17,57.7265,58.1,55.905,1521905.0,0.0,1.0
2018-03-05,58.64,57.58,58.3836,58.74,57.1,1374147.0,0.0,1.0
2018-03-06,59.55,58.91,59.2896,59.6,58.59,745911.0,0.0,1.0
2018-03-07,59.87,58.85,59.6082,59.92,58.805,977100.0,0.0,1.0
2018-03-08,59.66,60.04,59.3991,60.17,58.98,1042217.0,0.0,1.0
2018-03-09,60.51,60.27,60.2454,60.54,59.49,1226554.0,0.0,1.0
2018-03-12,59.34,60.46,59.0805,60.46,59.05,1022812.0,0.0,1.0
2018-03-13,59.13,59.44,58.8714,59.74,58.935,916272.0,0.0,1.0
2018-03-14,58.45,59.43,58.1944,59.58,58.17,998781.0,0.0,1.0
2018-03-15,58.72,58.5,58.4632,59.16,58.39,781507.0,0.0,1.0
2018-03-16,59.44,58.76,59.1801,59.8,58.605,2059500.0,0.0,1.0
2018-03-19,59.42,59.44,59.1602,59.77,58.89,694553.0,0.0,1.0
2018-03-20,59.63,59.5,59.3692,60.05,59.5,752191.0,0.0,1.0
2018-03-21,59.66,59.67,59.3991,60.27,59.64,568046.0,0.0,1.0
2018-03-22,58.06,59.17,57.8061,59.55,58.01,1170751.0,0.0,1.0
2018-03-23,55.76,58.04,55.5162,58.48,55.66,1401980.0,0.0,1.0
2018-03-26,56.88,56.51,56.6313,56.93,55.69,2046886.0,0.0,1.0
2018-03-27,56.41,57.14,56.1633,57.6,56.03,1129273.0,0.0,1.0
2018-03-28,56.83,56.58,56.5815,57.3,56.1,1402039.0,0.0,1.0
2018-03-29,57.89,57.28,57.6368,58.45,57.25,1063003.0,0.0,1.0
2018-04-02,57.48,57.88,57.2286,57.98,56.46,1636543.0,0.0,1.0
2018-04-03,58.92,58.85,58.6623,59.17,58.27,1400707.0,0.0,1.0
2018-04-04,58.55,58.12,58.294,58.64,57.45,1594469.0,0.0,1.0
2018-04-05,59.23,59.0,58.971,59.36,58.34,749549.0,0.0,1.0
2018-04-06,57.15,58.61,56.9001,58.81,56.81,987895.0,0.0,1.0
2018-04-09,57.97,57.95,57.7165,58.99,57.59,1422883.0,0.0,1.0
2018-04-10,59.29,58.77,59.0307,59.5,58.24,1040264.0,0.0,1.0
2018-04-11,58.26,58.78,58.0052,58.9699,58.2,722840.0,0.0,1.0
2018-04-12,58.92,58.56,58.6623,59.22,58.43,585574.0,0.0,1.0
2018-04-13,58.56,59.22,58.3039,59.24,58.32,605193.0,0.0,1.0
2018-04-16,59.27,59.18,59.0108,59.6,58.81,863844.0,0.0,1.0
2018-04-17,59.7,59.71,59.4389,59.84,59.29,647207.0,0.0,1.0
2018-04-18,60.45,60.04,60.1857,60.56,59.755,854217.0,0.0,1.0
2018-04-19,60.55,60.41,60.2852,60.57,60.17,969168.0,0.0,1.0
2018-04-20,58.56,60.6,58.3039,60.83,58.135,1723202.0,0.0,1.0
2018-04-23,58.36,58.89,58.1048,59.11,57.97,1085428.0,0.0,1.0
2018-04-24,57.45,58.7,57.1988,58.76,56.91,2008040.0,0.0,1.0
2018-04-25,60.48,60.68,60.2155,61.4,59.72,3897416.0,0.0,1.0
2018-04-26,60.71,60.68,60.4445,61.08,59.71,1816069.0,0.0,1.0
2018-04-27,61.17,60.71,60.9025,61.26,60.13,1033455.0,0.0,1.0
2018-04-30,60.75,61.18,60.4843,61.62,60.75,1122250.0,0.0,1.0
2018-05-01,60.77,60.76,60.5043,60.84,59.88,1645696.0,0.0,1.0
2018-05-02,61.7,60.7,61.4302,61.93,60.69,1914317.0,0.0,1.0
2018-05-03,61.41,61.49,61.1415,61.83,60.59,1452268.0,0.0,1.0
2018-05-04,62.05,61.12,61.7787,62.22,60.57,739412.0,0.0,1.0
2018-05-07,61.91,62.19,61.6393,62.19,61.14,659631.0,0.0,1.0
2018-05-08,62.76,61.9,62.4856,62.9,61.88,1314409.0,0.0,1.0
2018-05-09,63.11,63.3,62.834,63.3,62.325,1012980.0,0.0,1.0
2018-05-10,63.06,63.31,62.7842,63.365,62.8,748189.0,0.0,1.0
2018-05-11,63.15,63.04,62.8738,63.5,62.82,985200.0,0.0,1.0
2018-05-14,62.85,63.5,62.5752,63.5,62.66,561833.0,0.0,1.0
2018-05-15,62.76,62.47,62.4856,62.92,62.47,488995.0,0.0,1.0
2018-05-16,63.35,62.88,63.073,63.7,62.815,1275671.0,0.0,1.0
2018-05-17,63.73,63.27,63.4513,63.88,63.26,1193689.0,0.0,1.0
2018-05-18,64.37,63.94,64.0885,64.78,63.72,1191540.0,0.0,1.0
2018-05-21,65.05,64.7,64.7655,65.1,64.46,1102500.0,0.0,1.0
2018-05-22,64.43,65.24,64.1483,65.36,64.37,755251.0,0.0,1.0
2018-05-23,63.89,63.98,63.6106,63.9955,63.13,1215385.0,0.0,1.0
2018-05-24,63.75,63.56,63.75,63.88,63.23,1185677.0,0.28,1.0
2018-05-25,63.62,63.57,63.62,64.0,63.52,940095.0,0.0,1.0
2018-05-29,63.22,63.21,63.22,63.43,62.76,926469.0,0.0,1.0
2018-05-30,64.0,63.7,64.0,64.25,63.4,1015349.0,0.0,1.0
2018-05-31,63.68,63.97,63.68,64.21,63.63,1159385.0,0.0,1.0
2018-06-01,64.13,64.22,64.13,64.46,63.96,844162.0,0.0,1.0
2018-06-04,64.83,64.26,64.83,64.97,64.09,937984.0,0.0,1.0
2018-06-05,66.07,65.0,66.07,66.12,64.83,947105.0,0.0,1.0
2018-06-06,67.53,66.32,67.53,67.53,66.23,1493921.0,0.0,1.0
2018-06-07,68.05,67.54,68.05,68.1,67.28,1476451.0,0.0,1.0
2018-06-08,68.91,67.94,68.91,69.44,67.94,1069674.0,0.0,1.0
2018-06-11,68.83,68.91,68.83,69.37,68.81,779460.0,0.0,1.0
2018-06-12,69.4,69.03,69.4,69.41,68.671,580559.0,0.0,1.0
2018-06-13,70.07,69.61,70.07,70.27,69.09,1090089.0,0.0,1.0
2018-06-14,69.93,70.25,69.93,70.35,69.6,1117868.0,0.0,1.0
2018-06-15,69.94,69.56,69.94,70.05,69.22,1386015.0,0.0,1.0
2018-06-18,69.8,69.46,69.8,69.99,69.37,1451746.0,0.0,1.0
2018-06-19,69.25,69.13,69.25,69.5,68.18,1346506.0,0.0,1.0
2018-06-20,69.86,69.5,69.86,69.91,69.32,1025287.0,0.0,1.0
2018-06-21,69.53,69.84,69.53,69.85,69.19,917453.0,0.0,1.0
2018-06-22,69.84,69.85,69.84,69.96,69.4111,1301966.0,0.0,1.0
2018-06-25,68.41,69.43,68.41,69.43,68.02,1421377.0,0.0,1.0
2018-06-26,67.89,68.36,67.89,68.47,67.8,1179993.0,0.0,1.0
2018-06-27,65.78,67.89,65.78,67.94,65.78,1233739.0,0.0,1.0
2018-06-28,64.78,65.51,64.78,65.6,63.99,1912630.0,0.0,1.0
