date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,91.42,87.73,91.1651,91.64,86.9,1016922.0,0.0,1.0
2018-02-07,91.05,90.78,90.7961,92.79,90.78,706075.0,0.0,1.0
2018-02-08,86.06,91.13,85.82,91.13,86.02,1211818.0,0.0,1.0
2018-02-09,87.08,86.87,86.8372,87.68,84.37,1338421.0,0.0,1.0
2018-02-12,89.01,87.84,88.7618,89.83,87.27,1208688.0,0.0,1.0
2018-02-13,88.73,88.45,88.4826,89.1,87.57,644612.0,0.0,1.0
2018-02-14,91.02,88.41,90.7662,91.07,88.24,1113804.0,0.0,1.0
2018-02-15,91.31,91.97,91.0554,92.39,90.45,849164.0,0.0,1.0
2018-02-16,92.56,90.96,92.3019,92.85,90.83,873696.0,0.0,1.0
2018-02-20,92.23,92.22,91.9728,93.17,91.83,688044.0,0.0,1.0
2018-02-21,91.22,92.21,90.9657,92.99,91.18,795978.0,0.0,1.0
2018-02-22,90.08,91.57,89.8288,92.8,89.88,575218.0,0.0,1.0
2018-02-23,91.47,90.18,91.215,91.47,90.07,638762.0,0.0,1.0
2018-02-26,92.6,91.93,92.3418,92.64,90.96,408210.0,0.0,1.0
2018-02-27,93.7,93.6,93.4387,95.07,93.02,1264669.0,0.0,1.0
2018-02-28,92.71,94.02,92.4515,94.5899,92.69,1248162.0,0.0,1.0
2018-03-01,92.02,92.72,91.7634,93.66,91.275,1403555.0,0.0,1.0
2018-03-02,91.86,91.29,91.6039,92.1,89.64,651882.0,0.0,1.0
2018-03-05,93.61,91.2,93.349,94.05,90.68,578046.0,0.0,1.0
2018-03-06,95.85,94.25,95.5827,95.87,93.1628,915826.0,0.0,1.0
2018-03-07,96.0,94.77,95.7323,96.23,94.47,696824.0,0.0,1.0
2018-03-08,96.26,96.31,95.9916,96.39,94.79,726927.0,0.0,1.0
2018-03-09,98.75,97.11,98.4747,98.76,96.875,694783.0,0.0,1.0
2018-03-12,98.24,98.69,97.9661,99.26,98.09,490781.0,0.0,1.0
2018-03-13,97.25,98.8,96.9788,99.14,96.91,686904.0,0.0,1.0
2018-03-14,95.82,97.53,95.5528,97.53,95.58,479227.0,0.0,1.0
2018-03-15,95.42,96.09,95.1539,96.58,94.94,1068493.0,0.0,1.0
2018-03-16,97.57,95.66,97.2979,97.88,95.5568,1271806.0,0.0,1.0
2018-03-19,96.52,97.12,96.2509,97.3,94.84,862159.0,0.0,1.0
2018-03-20,96.45,96.74,96.1811,96.89,95.96,453027.0,0.0,1.0
2018-03-21,96.85,96.33,96.58,98.045,96.08,624024.0,0.0,1.0
2018-03-22,91.6,95.64,91.3446,95.85,91.46,812963.0,0.0,1.0
