date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,95.05,91.79,94.3556,95.52,91.47,1202495.0,0.0,1.0
2018-02-07,92.59,93.32,92.261,94.93,92.56,845810.0,0.35,1.0
2018-02-08,89.26,92.52,88.9429,92.96,89.22,762939.0,0.0,1.0
2018-02-09,91.05,90.26,90.7265,91.81,87.6701,812276.0,0.0,1.0
2018-02-12,91.73,91.73,91.4041,92.44,90.47,662458.0,0.0,1.0
2018-02-13,91.52,90.89,91.1948,91.95,90.21,423274.0,0.0,1.0
2018-02-14,93.47,90.63,93.1379,93.85,90.41,748347.0,0.0,1.0
2018-02-15,94.19,93.23,93.8553,94.43,92.8,621963.0,0.0,1.0
2018-02-16,93.81,93.91,93.4767,95.15,93.76,778697.0,0.0,1.0
2018-02-20,92.83,93.0,92.5002,93.73,92.595,655346.0,0.0,1.0
2018-02-21,93.2,93.4,92.8689,94.95,93.15,640270.0,0.0,1.0
2018-02-22,93.78,93.79,93.4468,94.9,93.55,715843.0,0.0,1.0
2018-02-23,95.42,94.43,95.081,95.45,93.46,412685.0,0.0,1.0
2018-02-26,96.4,95.44,96.0575,96.58,95.02,691829.0,0.0,1.0
2018-02-27,95.5,96.51,95.1607,97.55,95.5,736890.0,0.0,1.0
2018-02-28,95.27,96.03,94.9315,96.93,95.06,594402.0,0.0,1.0
2018-03-01,93.96,94.87,93.6262,95.13,92.75,648174.0,0.0,1.0
2018-03-02,94.92,93.18,94.5828,95.15,93.03,444933.0,0.0,1.0
2018-03-05,95.44,94.08,95.1009,95.99,93.6174,628050.0,0.0,1.0
2018-03-06,96.18,95.47,95.8383,96.32,95.21,323252.0,0.0,1.0
2018-03-07,96.65,95.29,96.3066,96.96,95.29,459132.0,0.0,1.0
2018-03-08,97.61,97.23,97.2632,97.89,96.83,336628.0,0.0,1.0
2018-03-09,99.68,98.39,99.3258,99.69,97.8,426063.0,0.0,1.0
2018-03-12,99.54,99.52,99.1863,99.81,99.16,332426.0,0.0,1.0
2018-03-13,98.89,99.56,98.5386,99.97,98.59,369846.0,0.0,1.0
2018-03-14,98.59,99.49,98.2397,99.49,98.0,360489.0,0.0,1.0
