date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,64.56,63.8,64.2254,65.15,62.78,3611422.0,0.0,1.0
2018-02-07,64.6,64.56,64.2652,65.69,64.485,2400943.0,0.0,1.0
2018-02-08,62.72,64.6,62.395,64.98,62.72,2247472.0,0.0,1.0
2018-02-09,61.96,63.76,61.6389,64.08,60.2575,3164354.0,0.0,1.0
2018-02-12,62.62,62.26,62.2955,62.91,62.03,2151894.0,0.0,1.0
2018-02-13,63.28,62.23,62.9521,63.45,62.23,2628052.0,0.0,1.0
2018-02-14,64.52,62.89,64.1856,64.77,62.89,2127753.0,0.0,1.0
2018-02-15,64.22,65.05,63.8872,65.38,63.66,2116773.0,0.0,1.0
2018-02-16,65.14,64.25,64.8024,65.33,64.25,1907883.0,0.0,1.0
2018-02-20,64.86,64.68,64.5239,65.43,64.68,1665475.0,0.0,1.0
2018-02-21,64.94,64.9,64.6035,65.72,64.725,1993920.0,0.0,1.0
2018-02-22,65.44,65.18,65.1009,66.4,65.15,1921852.0,0.0,1.0
2018-02-23,66.4,65.75,66.0559,66.42,65.46,1704539.0,0.0,1.0
2018-02-26,66.99,66.37,66.6428,67.1,66.37,1575850.0,0.0,1.0
2018-02-27,67.05,66.92,66.7025,67.65,66.85,1872368.0,0.0,1.0
2018-02-28,67.18,67.41,66.8319,68.2,67.15,2743626.0,0.0,1.0
2018-03-01,66.7,67.25,66.3544,67.74,66.36,3169611.0,0.0,1.0
2018-03-02,66.54,66.52,66.1952,66.86,65.83,4681283.0,0.0,1.0
2018-03-05,67.93,66.59,67.578,68.09,66.155,2973900.0,0.0,1.0
2018-03-06,68.08,67.92,67.7272,68.13,67.3901,2273531.0,0.0,1.0
2018-03-07,67.87,67.52,67.5183,68.08,67.38,2150294.0,0.0,1.0
2018-03-08,68.2,67.93,67.8466,68.2,67.84,2832692.0,0.0,1.0
2018-03-09,68.9,68.56,68.543,68.92,68.05,2086016.0,0.0,1.0
2018-03-12,68.85,68.91,68.4932,69.11,68.64,2139252.0,0.0,1.0
