date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,166.0,166.84,166.0,168.54,162.631,2345310.0,0.0,1.0
2018-02-07,166.51,165.15,166.51,168.6,165.15,1068667.0,0.0,1.0
2018-02-08,159.85,166.59,159.85,168.49,159.75,1139441.0,0.0,1.0
2018-02-09,159.73,160.6,159.73,162.7903,154.36,1198652.0,0.0,1.0
2018-02-12,159.63,160.25,159.63,161.72,157.26,1247793.0,0.0,1.0
2018-02-13,161.42,159.1,161.42,162.11,158.73,1035067.0,0.0,1.0
2018-02-14,162.56,159.58,162.56,163.38,157.44,1381210.0,0.0,1.0
2018-02-15,167.1,162.89,167.1,167.64,160.08,1145548.0,0.0,1.0
2018-02-16,169.12,166.75,169.12,170.17,165.09,1187967.0,0.0,1.0
2018-02-20,169.72,168.07,169.72,170.73,168.07,811481.0,0.0,1.0
2018-02-21,169.5,169.43,169.5,172.5253,168.96,1203709.0,0.0,1.0
2018-02-22,171.12,170.43,171.12,173.54,170.0,1010146.0,0.0,1.0
2018-02-23,172.93,172.08,172.93,173.56,171.312,872874.0,0.0,1.0
2018-02-26,172.73,172.92,172.73,174.22,171.81,1278249.0,0.0,1.0
2018-02-27,163.2,161.82,163.2,170.0,160.511,2721373.0,0.0,1.0
2018-02-28,157.27,163.88,157.27,165.0401,157.14,1923347.0,0.0,1.0
2018-03-01,154.96,157.57,154.96,157.57,153.88,1396025.0,0.0,1.0
2018-03-02,152.91,153.51,152.91,155.12,151.98,1626975.0,0.0,1.0
2018-03-05,156.68,152.14,156.68,156.99,151.425,1335908.0,0.0,1.0
2018-03-06,156.5,157.33,156.5,158.15,155.45,1078472.0,0.0,1.0
2018-03-07,158.77,156.01,158.77,159.39,156.01,1347150.0,0.0,1.0
2018-03-08,164.21,158.83,164.21,164.38,156.2705,986268.0,0.0,1.0
2018-03-09,166.49,164.46,166.49,166.59,163.58,1117488.0,0.0,1.0
2018-03-12,168.91,166.92,168.91,169.26,166.16,754393.0,0.0,1.0
2018-03-13,170.34,169.78,170.34,170.575,168.65,1031527.0,0.0,1.0
2018-03-14,170.23,170.25,170.23,170.6,168.7,990631.0,0.0,1.0
2018-03-15,169.8,170.75,169.8,171.38,167.96,908746.0,0.0,1.0
2018-03-16,168.69,169.66,168.69,170.67,167.29,1127502.0,0.0,1.0
