date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,44.28,43.69,43.9499,44.47,43.07,4514383.0,0.0,1.0
2018-02-07,44.36,44.28,44.0293,45.1999,43.96,3915270.0,0.0,1.0
2018-02-08,42.62,44.37,42.3023,45.09,42.6,4540435.0,0.0,1.0
2018-02-09,41.66,42.96,41.3494,43.18,40.76,4416294.0,0.0,1.0
2018-02-12,42.52,41.84,42.203,42.76,41.26,6400593.0,0.0,1.0
2018-02-13,41.72,42.16,41.409,42.2,41.26,3141644.0,0.0,1.0
2018-02-14,42.51,41.43,42.1931,42.51,41.43,3715179.0,0.0,1.0
2018-02-15,42.89,42.75,42.5702,43.015,42.16,2418440.0,0.0,1.0
2018-02-16,42.66,42.75,42.342,42.905,42.29,2247756.0,0.0,1.0
2018-02-20,42.07,42.41,41.7564,42.8288,41.96,1759914.0,0.0,1.0
2018-02-21,42.2,42.16,41.8854,42.88,42.16,1644404.0,0.0,1.0
2018-02-22,41.94,42.3,41.6273,42.81,41.8,2734203.0,0.0,1.0
2018-02-23,42.66,42.14,42.342,42.68,41.98,1635708.0,0.0,1.0
2018-02-26,42.8,42.74,42.4809,42.97,42.24,1928499.0,0.0,1.0
2018-02-27,42.14,42.71,41.8258,43.13,42.14,1846746.0,0.0,1.0
2018-02-28,42.37,42.19,42.0541,42.91,42.1,2820729.0,0.0,1.0
2018-03-01,41.84,42.22,41.6869,42.59,41.67,2925434.0,0.16,1.0
2018-03-02,43.11,41.65,42.9522,43.18,41.61,5231362.0,0.0,1.0
2018-03-05,43.94,42.77,43.7792,44.1,42.75,4784725.0,0.0,1.0
2018-03-06,44.39,43.94,44.2275,44.455,43.51,2621624.0,0.0,1.0
2018-03-07,43.81,44.17,43.6497,44.36,43.71,2784232.0,0.0,1.0
2018-03-08,43.8,43.83,43.6397,43.995,43.56,1326117.0,0.0,1.0
2018-03-09,44.65,44.08,44.4866,44.685,43.79,1919769.0,0.0,1.0
2018-03-12,44.6,44.74,44.4368,44.87,44.51,936532.0,0.0,1.0
2018-03-13,44.74,44.85,44.5763,45.02,44.65,1033177.0,0.0,1.0
2018-03-14,44.21,44.77,44.0482,44.77,44.14,1394137.0,0.0,1.0
2018-03-15,44.05,44.24,43.8888,44.345,43.95,1880074.0,0.0,1.0
2018-03-16,44.1,44.05,43.9386,44.61,43.96,2764910.0,0.0,1.0
2018-03-19,43.8,43.97,43.6397,44.33,43.68,2348912.0,0.0,1.0
2018-03-20,43.7,43.85,43.5401,44.06,43.645,2631735.0,0.0,1.0
2018-03-21,42.91,43.69,42.753,43.71,42.91,2223030.0,0.0,1.0
2018-03-22,41.8,42.59,41.647,42.98,41.76,2046894.0,0.0,1.0
2018-03-23,41.12,41.95,40.9695,42.17,41.05,2214828.0,0.0,1.0
2018-03-26,42.1,41.63,41.9459,42.175,41.54,1981456.0,0.0,1.0
