date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,243.43,233.96,243.43,245.89,226.61,801304.0,0.0,1.0
2018-02-07,240.52,242.95,240.52,247.1,240.13,328372.0,0.0,1.0
2018-02-08,227.08,241.21,227.08,242.5,226.95,395889.0,0.0,1.0
2018-02-09,238.65,231.85,238.65,240.23,226.75,846175.0,0.0,1.0
2018-02-12,239.86,239.9,239.86,244.3,236.46,388334.0,0.0,1.0
2018-02-13,239.45,237.37,239.45,242.0,237.055,362695.0,0.0,1.0
2018-02-14,247.49,238.29,247.49,249.5,232.41,482074.0,0.0,1.0
2018-02-15,248.87,250.27,248.87,254.38,244.955,393678.0,0.0,1.0
2018-02-16,248.81,247.08,248.81,252.36,240.0,359463.0,0.0,1.0
2018-02-20,249.41,248.08,249.41,252.46,246.145,339136.0,0.0,1.0
2018-02-21,252.57,250.01,252.57,254.84,250.01,370120.0,0.0,1.0
2018-02-22,243.82,254.57,243.82,254.57,243.0,361166.0,0.0,1.0
2018-02-23,248.08,244.68,248.08,248.25,243.67,236631.0,0.0,1.0
2018-02-26,251.71,249.26,251.71,251.75,246.59,277149.0,0.0,1.0
2018-02-27,247.67,250.4,247.67,254.325,247.48,319632.0,0.0,1.0
2018-02-28,248.98,248.86,248.98,257.3,248.86,484695.0,0.0,1.0
2018-03-01,250.18,249.71,250.18,254.87,247.83,381987.0,0.0,1.0
2018-03-02,255.86,247.49,255.86,256.94,244.85,502659.0,0.0,1.0
2018-03-05,260.12,253.45,260.12,261.855,248.97,422550.0,0.0,1.0
2018-03-06,266.11,261.65,266.11,266.23,257.15,516923.0,0.0,1.0
2018-03-07,266.43,261.69,266.43,267.0744,260.08,423336.0,0.0,1.0
2018-03-08,265.16,267.77,265.16,270.0,261.26,290163.0,0.0,1.0
2018-03-09,270.72,268.63,270.72,271.79,266.34,378286.0,0.0,1.0
2018-03-12,267.48,269.0,267.48,271.48,265.33,901882.0,0.0,1.0
2018-03-13,262.19,268.0,262.19,268.1958,260.49,722748.0,0.0,1.0
2018-03-14,259.53,263.04,259.53,263.35,258.13,590324.0,0.0,1.0
2018-03-15,259.77,261.19,259.77,262.725,258.13,608245.0,0.0,1.0
2018-03-16,263.8,261.47,263.8,266.8,259.8,7911114.0,0.0,1.0
2018-03-19,260.59,265.51,260.59,268.97,258.26,634936.0,0.0,1.0
2018-03-20,264.59,263.33,264.59,265.16,261.0,576470.0,0.0,1.0
2018-03-21,265.04,265.53,265.04,268.73,261.63,506508.0,0.0,1.0
2018-03-22,250.67,260.54,250.67,262.23,250.29,750640.0,0.0,1.0
2018-03-23,239.55,252.39,239.55,254.99,238.5001,794849.0,0.0,1.0
2018-03-26,249.47,244.82,249.47,249.93,243.25,573273.0,0.0,1.0
2018-03-27,239.21,249.92,239.21,250.93,237.44,588016.0,0.0,1.0
2018-03-28,235.81,238.87,235.81,239.93,232.27,1027003.0,0.0,1.0
2018-03-29,240.01,238.1,240.01,243.19,235.83,717680.0,0.0,1.0
2018-04-02,233.42,240.0,233.42,240.944,227.781,793657.0,0.0,1.0
2018-04-03,236.49,235.72,236.49,238.65,231.6,550000.0,0.0,1.0
2018-04-04,240.81,231.14,240.81,241.72,231.01,587711.0,0.0,1.0
2018-04-05,242.28,242.41,242.28,244.98,240.29,422478.0,0.0,1.0
2018-04-06,236.06,239.29,236.06,241.6,232.6438,707447.0,0.0,1.0
2018-04-09,237.11,238.43,237.11,243.32,236.86,435964.0,0.0,1.0
2018-04-10,245.66,241.8,245.66,246.62,239.66,659974.0,0.0,1.0
2018-04-11,243.59,243.12,243.59,245.76,241.785,357135.0,0.0,1.0
2018-04-12,250.56,245.91,250.56,252.39,244.0,362958.0,0.0,1.0
2018-04-13,247.03,253.9,247.03,253.9,245.39,620647.0,0.0,1.0
2018-04-16,246.57,249.51,246.57,252.01,245.46,288234.0,0.0,1.0
2018-04-17,244.61,249.2,244.61,249.2,243.68,400786.0,0.0,1.0
2018-04-18,242.72,245.53,242.72,247.0,241.83,576938.0,0.0,1.0
2018-04-19,249.14,241.3,249.14,251.16,241.3,587141.0,0.0,1.0
2018-04-20,250.83,250.54,250.83,253.74,248.76,476318.0,0.0,1.0
2018-04-23,254.23,252.15,254.23,255.83,250.24,304320.0,0.0,1.0
2018-04-24,257.61,257.24,257.61,262.68,253.21,697318.0,0.0,1.0
2018-04-25,257.58,258.27,257.58,259.8399,254.8,484330.0,0.0,1.0
2018-04-26,257.37,257.79,257.37,260.19,256.0,535576.0,0.0,1.0
2018-04-27,305.61,300.0,305.61,306.94,297.03,2129453.0,0.0,1.0
2018-04-30,299.61,305.92,299.61,306.81,299.61,939528.0,0.0,1.0
2018-05-01,305.46,295.0,305.46,308.37,294.72,832252.0,0.0,1.0
