date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,179.96,165.95,179.045,181.0,165.94,5579122.0,0.0,1.0
2018-02-07,182.69,179.79,181.7611,185.38,175.02,2405791.0,0.0,1.0
2018-02-08,173.31,182.8,172.4288,185.17,173.15,2644870.0,0.0,1.0
2018-02-09,177.5,175.0,176.5975,178.86,170.05,2380802.0,0.0,1.0
2018-02-12,180.36,180.0,179.4429,183.38,178.14,1720914.0,0.0,1.0
2018-02-13,181.94,179.4,181.0149,182.42,179.4,1497261.0,0.0,1.0
2018-02-14,186.03,181.2,185.0841,186.39,179.98,1566423.0,0.0,1.0
2018-02-15,188.92,187.3,187.9594,189.24,184.71,1529749.0,0.0,1.0
2018-02-16,189.28,188.8,188.3176,190.99,188.015,1284657.0,0.0,1.0
2018-02-20,187.9,188.43,186.9446,190.48,187.16,937510.0,0.0,1.0
2018-02-21,187.58,187.6,186.6262,191.22,187.525,1183130.0,0.0,1.0
2018-02-22,187.85,188.21,186.8948,189.34,187.07,1028737.0,0.0,1.0
2018-02-23,191.67,188.24,191.1929,191.91,187.85,1104150.0,0.5,1.0
2018-02-26,193.3,192.46,192.8188,193.34,191.45,1299862.0,0.0,1.0
2018-02-27,193.14,193.29,192.6592,195.47,192.69,1258969.0,0.0,1.0
2018-02-28,191.8,194.0,191.3226,195.93,191.72,1229040.0,0.0,1.0
2018-03-01,189.52,191.14,189.0482,192.99,187.65,1735409.0,0.0,1.0
2018-03-02,189.02,187.86,188.5495,189.57,185.58,1122020.0,0.0,1.0
2018-03-05,190.37,187.4,189.8961,191.0,186.04,862826.0,0.0,1.0
2018-03-06,190.99,190.7,190.5146,191.4,188.29,868334.0,0.0,1.0
2018-03-07,189.7,189.0,189.2278,190.11,187.07,2043637.0,0.0,1.0
2018-03-08,192.5,190.0,192.0208,192.69,189.555,2701823.0,0.0,1.0
2018-03-09,194.96,193.93,194.4747,196.14,193.03,2135913.0,0.0,1.0
2018-03-12,195.96,194.14,195.4722,196.715,193.88,1403984.0,0.0,1.0
2018-03-13,195.89,197.25,195.4024,197.76,195.33,1524602.0,0.0,1.0
2018-03-14,192.38,196.47,191.9011,197.44,191.95,951227.0,0.0,1.0
2018-03-15,192.71,192.69,192.2303,194.18,191.405,708936.0,0.0,1.0
2018-03-16,192.51,193.06,192.0308,194.965,191.94,1797086.0,0.0,1.0
2018-03-19,190.45,192.33,189.9759,193.62,189.65,1118310.0,0.0,1.0
2018-03-20,195.65,191.79,195.163,196.39,190.68,1283458.0,0.0,1.0
2018-03-21,193.81,196.13,193.3275,196.72,193.76,1471795.0,0.0,1.0
2018-03-22,189.08,192.04,188.6093,193.23,188.94,1284354.0,0.0,1.0
2018-03-23,186.49,189.96,186.0258,191.37,186.24,1194692.0,0.0,1.0
2018-03-26,191.28,189.85,190.8038,192.75,188.14,1115763.0,0.0,1.0
2018-03-27,187.87,192.38,187.4023,193.2,186.6,1354398.0,0.0,1.0
2018-03-28,187.28,188.38,186.8138,189.84,184.81,1163043.0,0.0,1.0
2018-03-29,191.06,188.37,190.5844,191.82,187.32,1473876.0,0.0,1.0
2018-04-02,186.63,190.2,186.1654,190.7099,183.75,1405299.0,0.0,1.0
2018-04-03,189.2,187.09,188.729,189.35,185.99,1294329.0,0.0,1.0
2018-04-04,189.46,186.36,188.9884,190.19,185.8,1327446.0,0.0,1.0
2018-04-05,189.74,190.85,189.2677,191.5,189.21,1045205.0,0.0,1.0
2018-04-06,187.32,187.42,186.8537,189.69,185.53,976370.0,0.0,1.0
2018-04-09,187.77,188.39,187.3026,191.26,187.62,2833077.0,0.0,1.0
2018-04-10,191.51,192.07,191.0333,192.74,188.78,924578.0,0.0,1.0
2018-04-11,189.45,190.06,188.9784,190.97,188.58,744603.0,0.0,1.0
2018-04-12,192.17,191.12,191.6916,193.29,190.375,926089.0,0.0,1.0
2018-04-13,190.76,192.17,190.2851,193.39,189.67,882193.0,0.0,1.0
2018-04-16,191.66,192.5,191.1829,193.04,190.8,909488.0,0.0,1.0
2018-04-17,193.95,193.42,193.4672,194.85,192.92,847440.0,0.0,1.0
2018-04-18,194.67,194.21,194.1854,195.555,193.31,706873.0,0.0,1.0
2018-04-19,193.94,194.58,193.4572,195.18,193.008,699569.0,0.0,1.0
2018-04-20,192.96,194.11,192.4797,194.8699,191.91,1208823.0,0.0,1.0
2018-04-23,192.05,193.11,191.5719,193.97,191.27,1496407.0,0.0,1.0
2018-04-24,189.07,193.02,188.5993,193.67,187.8,1612350.0,0.0,1.0
2018-04-25,189.58,188.12,189.1081,190.67,186.36,1539220.0,0.0,1.0
2018-04-26,190.25,186.06,189.7764,192.28,184.55,2186100.0,0.0,1.0
2018-04-27,187.07,190.51,186.6043,190.71,186.9,1436560.0,0.0,1.0
2018-04-30,188.6,188.65,188.1305,190.83,188.18,1562005.0,0.0,1.0
2018-05-01,190.03,189.0,189.557,190.24,188.2201,940450.0,0.0,1.0
2018-05-02,187.98,189.3,187.5121,190.72,187.85,1228175.0,0.0,1.0
2018-05-03,189.63,187.66,189.158,189.85,185.105,1670119.0,0.0,1.0
2018-05-04,192.17,188.62,191.6916,192.9,187.69,779989.0,0.0,1.0
2018-05-07,193.38,192.79,192.8986,194.07,192.41,641868.0,0.0,1.0
2018-05-08,194.83,193.93,194.345,194.88,192.37,1571665.0,0.0,1.0
2018-05-09,197.41,194.89,196.9186,198.19,193.54,1021222.0,0.0,1.0
2018-05-10,200.63,198.18,200.1306,201.2,197.7572,1153368.0,0.0,1.0
2018-05-11,199.99,200.28,199.4922,201.44,199.41,928888.0,0.0,1.0
2018-05-14,199.07,200.75,198.5745,201.19,197.67,934252.0,0.0,1.0
2018-05-15,198.39,198.44,197.8961,198.64,196.65,1069248.0,0.0,1.0
2018-05-16,198.18,197.47,197.6867,199.16,196.79,1070307.0,0.0,1.0
2018-05-17,197.66,198.45,197.168,198.82,196.72,849978.0,0.0,1.0
2018-05-18,197.92,197.67,197.4273,198.86,197.02,1627861.0,0.0,1.0
2018-05-21,200.62,198.49,200.1206,201.18,198.49,1000997.0,0.0,1.0
2018-05-22,200.03,200.89,199.5321,201.5,198.99,1006075.0,0.0,1.0
2018-05-23,200.94,199.26,200.4398,201.01,198.79,1260479.0,0.0,1.0
2018-05-24,199.82,201.01,199.3226,202.75,198.0679,1275709.0,0.0,1.0
2018-05-25,200.36,198.78,200.36,200.61,198.19,824665.0,0.5,1.0
2018-05-29,197.2,199.28,197.2,200.37,195.39,1363559.0,0.0,1.0
2018-05-30,199.52,198.82,199.52,200.38,197.81,876997.0,0.0,1.0
2018-05-31,197.5,199.3,197.5,199.57,196.89,1370164.0,0.0,1.0
2018-06-01,200.32,199.87,200.32,201.55,198.71,2027787.0,0.0,1.0
2018-06-04,201.45,201.35,201.45,201.82,200.635,1344065.0,0.0,1.0
2018-06-05,203.36,201.22,203.36,203.97,201.0612,1698182.0,0.0,1.0
2018-06-06,206.19,203.85,206.19,206.27,203.26,1052616.0,0.0,1.0
2018-06-07,205.31,206.03,205.31,206.35,204.09,1884726.0,0.0,1.0
2018-06-08,206.47,205.69,206.47,206.79,204.55,1054690.0,0.0,1.0
2018-06-11,207.42,207.2,207.42,208.57,206.66,1749252.0,0.0,1.0
2018-06-12,207.49,208.5,207.49,208.805,206.385,1816431.0,0.0,1.0
2018-06-13,207.35,207.45,207.35,208.77,207.05,1050952.0,0.0,1.0
2018-06-14,207.29,208.79,207.29,208.98,206.29,893970.0,0.0,1.0
2018-06-15,208.68,206.23,208.68,208.81,205.84,1783274.0,0.0,1.0
2018-06-18,207.6,207.3,207.6,208.01,205.582,890481.0,0.0,1.0
2018-06-19,207.24,206.11,207.24,207.3171,205.13,830997.0,0.0,1.0
2018-06-20,206.31,208.11,206.31,208.8,206.15,676989.0,0.0,1.0
2018-06-21,206.67,206.42,206.67,207.46,205.22,916401.0,0.0,1.0
2018-06-22,206.35,207.83,206.35,208.09,206.07,1218058.0,0.0,1.0
2018-06-25,203.95,205.87,203.95,205.87,201.86,1258444.0,0.0,1.0
2018-06-26,203.16,203.98,203.16,206.11,202.92,836294.0,0.0,1.0
2018-06-27,201.83,204.49,201.83,205.16,201.71,887681.0,0.0,1.0
2018-06-28,203.69,201.4,203.69,204.38,201.34,582506.0,0.0,1.0
