date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,71.31,69.91,71.31,71.91,69.26,1114276.0,0.0,1.0
2018-02-07,72.84,71.26,72.84,73.45,71.0,1299518.0,0.0,1.0
2018-02-08,70.55,72.99,70.55,73.2,70.53,904285.0,0.0,1.0
2018-02-09,70.15,71.32,70.15,71.44,68.4,729875.0,0.0,1.0
2018-02-12,71.37,70.51,71.37,71.68,70.09,521531.0,0.0,1.0
2018-02-13,72.17,71.99,72.17,72.6,71.13,646315.0,0.0,1.0
2018-02-14,74.29,71.94,74.29,74.87,71.63,760257.0,0.0,1.0
2018-02-15,75.62,74.68,75.62,75.88,74.05,608912.0,0.0,1.0
2018-02-16,76.02,75.5,76.02,76.73,75.5,671782.0,0.0,1.0
2018-02-20,75.22,75.83,75.22,76.53,74.98,1233849.0,0.0,1.0
2018-02-21,74.91,75.41,74.91,76.64,74.81,959596.0,0.0,1.0
2018-02-22,60.63,68.26,60.63,68.26,60.06,7420381.0,0.0,1.0
2018-02-23,60.05,60.57,60.05,60.6,58.53,2790318.0,0.0,1.0
2018-02-26,61.91,60.56,61.91,61.98,60.11,1756005.0,0.0,1.0
2018-02-27,62.54,61.72,62.54,62.85,61.55,2701879.0,0.0,1.0
2018-02-28,62.67,62.58,62.67,63.47,62.03,1442661.0,0.0,1.0
2018-03-01,62.04,62.68,62.04,62.81,61.9,1381909.0,0.0,1.0
2018-03-02,61.32,61.79,61.32,61.9403,60.93,1019957.0,0.0,1.0
2018-03-05,63.0,60.91,63.0,63.02,60.91,1079251.0,0.0,1.0
2018-03-06,63.12,63.21,63.12,63.21,62.43,950269.0,0.0,1.0
2018-03-07,63.76,62.86,63.76,63.81,62.67,1027322.0,0.0,1.0
2018-03-08,63.81,63.92,63.81,63.92,63.42,755715.0,0.0,1.0
2018-03-09,64.67,64.25,64.67,64.7,63.63,1291644.0,0.0,1.0
2018-03-12,64.87,64.71,64.87,65.15,64.39,598984.0,0.0,1.0
2018-03-13,64.62,65.2,64.62,65.2,64.43,688629.0,0.0,1.0
2018-03-14,64.38,64.76,64.38,65.28,64.01,560572.0,0.0,1.0
2018-03-15,63.31,64.52,63.31,64.52,62.51,847768.0,0.0,1.0
2018-03-16,63.59,63.34,63.59,63.8,63.18,806218.0,0.0,1.0
2018-03-19,62.97,63.69,62.97,63.92,62.79,450971.0,0.0,1.0
2018-03-20,62.29,63.05,62.29,63.25,61.97,1198894.0,0.0,1.0
2018-03-21,61.69,62.36,61.69,62.78,61.65,909248.0,0.0,1.0
2018-03-22,59.41,61.24,59.41,61.24,59.3,1339076.0,0.0,1.0
2018-03-23,58.49,59.41,58.49,59.94,58.43,770511.0,0.0,1.0
2018-03-26,58.84,59.0,58.84,59.1,56.64,1595529.0,0.0,1.0
2018-03-27,58.94,59.17,58.94,59.73,58.495,1378732.0,0.0,1.0
2018-03-28,58.75,58.76,58.75,59.2,58.0,646924.0,0.0,1.0
2018-03-29,58.53,58.97,58.53,59.48,58.51,795742.0,0.0,1.0
2018-04-02,57.94,58.5,57.94,58.93,57.27,849786.0,0.0,1.0
2018-04-03,57.93,58.32,57.93,58.41,57.11,935241.0,0.0,1.0
2018-04-04,58.31,57.46,58.31,58.48,57.145,756967.0,0.0,1.0
2018-04-05,58.57,58.54,58.57,58.86,58.135,610793.0,0.0,1.0
2018-04-06,58.07,58.29,58.07,58.69,57.65,572889.0,0.0,1.0
2018-04-09,57.11,58.34,57.11,58.34,56.98,818467.0,0.0,1.0
2018-04-10,57.81,57.67,57.81,57.91,56.76,1131502.0,0.0,1.0
2018-04-11,58.15,57.36,58.15,58.59,57.15,905520.0,0.0,1.0
2018-04-12,58.74,58.51,58.74,59.07,58.25,997053.0,0.0,1.0
2018-04-13,58.99,58.7178,58.99,59.62,58.285,893790.0,0.0,1.0
2018-04-16,60.18,59.5,60.18,60.36,58.82,988356.0,0.0,1.0
2018-04-17,60.48,60.4,60.48,60.7,59.8,754629.0,0.0,1.0
2018-04-18,61.47,60.46,61.47,61.77,60.38,1003349.0,0.0,1.0
2018-04-19,60.85,61.38,60.85,61.73,60.68,583066.0,0.0,1.0
2018-04-20,60.36,61.09,60.36,61.67,60.11,669559.0,0.0,1.0
2018-04-23,60.99,60.34,60.99,61.09,60.01,525128.0,0.0,1.0
2018-04-24,61.07,61.4,61.07,62.08,60.72,1241395.0,0.0,1.0
2018-04-25,60.8,60.98,60.8,61.19,60.44,941385.0,0.0,1.0
2018-04-26,61.25,60.83,61.25,61.34,60.58,634163.0,0.0,1.0
2018-04-27,61.1,61.47,61.1,61.82,60.99,1602445.0,0.0,1.0
2018-04-30,58.71,61.26,58.71,61.31,58.65,1678125.0,0.0,1.0
2018-05-01,58.69,58.7,58.69,58.89,57.56,1078457.0,0.0,1.0
2018-05-02,59.42,58.68,59.42,59.88,58.54,1255976.0,0.0,1.0
2018-05-03,59.08,59.09,59.08,59.65,58.29,1338754.0,0.0,1.0
2018-05-04,63.84,59.3,63.84,64.89,59.1,2014454.0,0.0,1.0
2018-05-07,63.95,64.08,63.95,64.31,63.235,1229097.0,0.0,1.0
2018-05-08,63.72,63.82,63.72,63.92,63.12,838844.0,0.0,1.0
2018-05-09,64.01,63.99,64.01,64.18,63.02,730730.0,0.0,1.0
2018-05-10,64.06,64.01,64.06,64.29,63.59,633472.0,0.0,1.0
2018-05-11,64.25,64.0,64.25,64.38,63.86,478526.0,0.0,1.0
2018-05-14,64.13,64.3,64.13,64.69,63.63,600072.0,0.0,1.0
2018-05-15,63.87,63.9,63.87,64.39,63.53,850733.0,0.0,1.0
2018-05-16,63.78,63.81,63.78,64.06,63.32,430239.0,0.0,1.0
2018-05-17,63.82,63.76,63.82,63.93,63.48,514247.0,0.0,1.0
2018-05-18,63.77,63.81,63.77,64.18,63.37,1052762.0,0.0,1.0
2018-05-21,63.86,63.93,63.86,64.03,63.63,594254.0,0.0,1.0
2018-05-22,63.59,64.09,63.59,64.37,63.54,581531.0,0.0,1.0
2018-05-23,63.45,63.43,63.45,63.72,63.001,508934.0,0.0,1.0
2018-05-24,63.25,63.49,63.25,63.72,62.9,480276.0,0.0,1.0
2018-05-25,63.3,63.09,63.3,63.68,63.07,340608.0,0.0,1.0
2018-05-29,62.73,62.98,62.73,63.06,62.23,642243.0,0.0,1.0
2018-05-30,64.31,63.29,64.31,64.32,62.665,584394.0,0.0,1.0
2018-05-31,63.5,64.3,63.5,64.55,63.45,855716.0,0.0,1.0
2018-06-01,64.06,63.75,64.06,64.43,63.75,554150.0,0.0,1.0
2018-06-04,63.24,64.31,63.24,64.37,63.21,559342.0,0.0,1.0
2018-06-05,63.07,63.15,63.07,63.595,62.41,749088.0,0.0,1.0
2018-06-06,63.75,63.09,63.75,63.96,62.5512,743027.0,0.0,1.0
2018-06-07,64.17,63.91,64.17,64.22,63.55,543233.0,0.0,1.0
2018-06-08,64.6,64.11,64.6,64.7,64.03,366653.0,0.0,1.0
2018-06-11,64.43,64.53,64.43,64.72,64.2,432449.0,0.0,1.0
2018-06-12,64.58,64.55,64.58,64.73,64.32,288959.0,0.0,1.0
2018-06-13,63.74,64.75,63.74,64.75,63.67,411371.0,0.0,1.0
2018-06-14,64.21,63.88,64.21,64.3,63.58,570728.0,0.0,1.0
2018-06-15,64.09,64.1,64.09,64.35,63.64,1564741.0,0.0,1.0
2018-06-18,63.72,63.8,63.72,64.2799,63.62,1062884.0,0.0,1.0
2018-06-19,63.21,63.35,63.21,63.86,62.84,809280.0,0.0,1.0
2018-06-20,62.83,63.3,62.83,63.45,62.7,496746.0,0.0,1.0
2018-06-21,63.17,62.8,63.17,63.53,62.62,394066.0,0.0,1.0
2018-06-22,64.26,63.44,64.26,64.43,63.28,941731.0,0.0,1.0
2018-06-25,64.8,64.06,64.8,65.37,63.7547,914392.0,0.0,1.0
2018-06-26,64.89,64.97,64.89,65.45,63.89,682715.0,0.0,1.0
2018-06-27,63.65,64.88,63.65,65.13,63.6,544335.0,0.0,1.0
2018-06-28,64.62,63.59,64.62,64.79,63.28,530727.0,0.0,1.0
