date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,154.14,150.71,153.2565,155.43,150.33,2726058.0,0.0,1.0
2018-02-07,153.67,153.6,152.7892,156.76,153.27,1604138.0,0.0,1.0
2018-02-08,148.01,153.67,147.1616,154.36,147.92,1625777.0,0.0,1.0
2018-02-09,151.22,149.27,150.3532,152.482,146.8,1544943.0,0.0,1.0
2018-02-12,153.66,152.5,152.7792,154.77,152.02,1566150.0,0.0,1.0
2018-02-13,154.56,152.61,153.6741,155.01,152.3,915293.0,0.0,1.0
2018-02-14,156.24,153.7,155.3444,156.78,153.33,1790634.0,0.0,1.0
2018-02-15,158.54,157.41,157.6312,158.59,156.13,1149466.0,0.0,1.0
2018-02-16,159.87,158.23,158.9536,161.31,158.1801,1064552.0,0.0,1.0
2018-02-20,158.74,159.14,157.8301,159.9217,157.77,1105131.0,0.0,1.0
2018-02-21,157.88,158.79,156.975,160.71,157.77,1421710.0,0.0,1.0
2018-02-22,158.96,158.84,158.0488,160.53,158.18,807652.0,0.0,1.0
2018-02-23,161.7,159.64,160.7731,161.75,158.89,953249.0,0.0,1.0
2018-02-26,165.77,163.15,164.8198,165.975,162.95,1769131.0,0.0,1.0
2018-02-27,164.12,166.09,163.1793,166.76,164.12,1199322.0,0.0,1.0
2018-02-28,162.16,165.17,161.2305,165.87,162.1,1347465.0,0.0,1.0
2018-03-01,159.29,161.82,158.3769,162.09,158.21,1352385.0,0.0,1.0
2018-03-02,160.8,158.3,159.8783,161.23,158.3,1108078.0,0.0,1.0
2018-03-05,162.54,160.0,161.6083,163.21,159.88,903004.0,0.0,1.0
2018-03-06,162.73,163.25,161.7972,163.41,161.74,878450.0,0.0,1.0
2018-03-07,162.99,161.24,162.0557,163.65,161.11,1096537.0,0.0,1.0
2018-03-08,163.35,163.44,162.4137,164.62,162.66,1206268.0,0.0,1.0
2018-03-09,166.41,164.36,165.4561,167.62,163.84,1676242.0,0.0,1.0
2018-03-12,167.89,166.31,166.9276,168.41,165.82,1569750.0,0.0,1.0
2018-03-13,167.11,168.92,166.1521,168.92,166.66,1290072.0,0.0,1.0
2018-03-14,166.38,167.75,165.4263,168.3775,165.84,734260.0,0.0,1.0
2018-03-15,166.45,166.84,165.4959,167.03,165.83,877349.0,0.0,1.0
2018-03-16,167.51,166.54,166.5498,168.3,165.92,1975923.0,0.0,1.0
2018-03-19,166.03,167.24,165.0783,167.75,164.64,1153308.0,0.0,1.0
2018-03-20,166.51,166.56,165.5556,167.37,165.37,847164.0,0.0,1.0
2018-03-21,164.73,166.82,163.7858,166.97,164.56,850366.0,0.0,1.0
2018-03-22,160.81,163.6,159.8882,164.04,160.53,943733.0,0.0,1.0
2018-03-23,157.57,160.49,156.6668,161.2514,157.44,1192534.0,0.0,1.0
2018-03-26,160.4,159.74,159.4806,160.4,158.01,1331937.0,0.0,1.0
2018-03-27,158.54,160.95,157.6312,161.99,157.58,948255.0,0.0,1.0
2018-03-28,157.97,158.45,157.5318,159.51,157.32,822099.0,0.47,1.0
2018-03-29,160.92,158.94,160.4736,162.36,158.28,1583893.0,0.0,1.0
2018-04-02,156.25,160.92,155.8166,161.36,154.51,1239441.0,0.0,1.0
2018-04-03,159.09,156.54,158.6487,159.19,155.12,1449933.0,0.0,1.0
