date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,27.08,26.47,26.9103,27.1,25.93,9829001.0,0.0,1.0
2018-02-07,26.58,27.08,26.4134,27.41,26.55,5493515.0,0.0,1.0
2018-02-08,25.59,26.61,25.4297,26.79,25.59,7198798.0,0.0,1.0
2018-02-09,25.91,25.97,25.7476,26.22,24.94,9919280.0,0.0,1.0
2018-02-12,26.1,26.11,25.9365,26.41,25.84,9007529.0,0.0,1.0
2018-02-13,26.58,26.1,26.4134,26.64,25.79,4825735.0,0.0,1.0
2018-02-14,27.02,26.36,26.8507,27.17,26.31,6422595.0,0.0,1.0
2018-02-15,27.7,27.17,27.5264,27.75,27.04,5114939.0,0.0,1.0
2018-02-16,27.55,27.75,27.3774,27.8,27.4,7337817.0,0.0,1.0
2018-02-20,27.02,27.43,26.8507,27.99,26.9,4786253.0,0.0,1.0
2018-02-21,27.03,27.08,26.9352,27.56,26.9,5537227.0,0.075,1.0
2018-02-22,26.98,27.08,26.8853,27.46,26.95,3384057.0,0.0,1.0
2018-02-23,27.43,27.23,27.3338,27.43,27.04,3382410.0,0.0,1.0
2018-02-26,27.23,27.4,27.1345,27.52,27.0,4436979.0,0.0,1.0
2018-02-27,26.32,27.32,26.2276,27.4,26.175,7148102.0,0.0,1.0
2018-02-28,26.29,26.47,26.1978,26.92,26.27,6054277.0,0.0,1.0
2018-03-01,26.51,26.34,26.417,26.66,25.99,6137871.0,0.0,1.0
2018-03-02,26.91,26.25,26.8156,26.98,26.145,4289642.0,0.0,1.0
2018-03-05,27.09,26.72,26.9949,27.1375,26.45,5602346.0,0.0,1.0
2018-03-06,26.96,27.19,26.8654,27.24,26.9,3507781.0,0.0,1.0
2018-03-07,27.24,26.93,27.1444,27.28,26.8033,2663841.0,0.0,1.0
2018-03-08,27.63,27.31,27.5331,27.675,27.155,3685952.0,0.0,1.0
2018-03-09,27.85,27.72,27.7523,27.87,27.52,5308471.0,0.0,1.0
2018-03-12,27.76,27.86,27.6626,28.05,27.48,3729207.0,0.0,1.0
2018-03-13,27.34,27.8,27.2441,27.915,27.28,4931252.0,0.0,1.0
2018-03-14,27.37,27.52,27.274,27.67,27.235,4909340.0,0.0,1.0
2018-03-15,27.54,27.33,27.4434,27.57,26.89,4074383.0,0.0,1.0
2018-03-16,27.37,27.66,27.274,27.9,27.36,6609646.0,0.0,1.0
2018-03-19,26.67,27.15,26.5764,27.3,26.26,10643203.0,0.0,1.0
2018-03-20,26.52,26.74,26.4269,26.85,26.26,4973990.0,0.0,1.0
2018-03-21,26.93,26.49,26.8355,27.13,26.46,3517246.0,0.0,1.0
2018-03-22,26.6,26.63,26.5067,26.9,26.5,5427416.0,0.0,1.0
2018-03-23,25.7,26.49,25.6098,26.72,25.7,5257934.0,0.0,1.0
2018-03-26,26.21,26.05,26.118,26.255,25.7,5642659.0,0.0,1.0
