date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,36.3137,36.08,35.5,1.0,37.07,36.83,62154707.0,0.0
2018-02-07,36.4123,36.81,36.74,1.0,37.45,36.93,35446487.0,0.0
2018-02-08,35.0714,36.89,35.57,1.0,36.95,35.57,43483762.0,0.0
2018-02-09,35.5447,35.83,35.03,1.0,36.35,36.05,49912177.0,0.0
2018-02-12,35.8602,36.33,35.97,1.0,36.6,36.37,27573659.0,0.0
2018-02-13,36.087,36.29,35.97,1.0,36.71,36.6,21391714.0,0.0
2018-02-14,35.8996,36.4,36.11,1.0,36.769,36.41,24724420.0,0.0
2018-02-15,36.4814,36.47,36.23,1.0,37.0,37.0,27036913.0,0.0
2018-02-16,36.6194,36.98,36.8601,1.0,37.39,37.14,19702896.0,0.0
2018-02-20,36.2546,36.88,36.67,1.0,37.09,36.77,21710431.0,0.0
2018-02-21,35.801,36.77,36.28,1.0,37.0388,36.31,20719966.0,0.0
2018-02-22,35.9588,36.47,36.41,1.0,36.99,36.47,18459802.0,0.0
2018-02-23,36.2053,36.55,36.29,1.0,36.75,36.72,17146238.0,0.0
2018-02-26,36.9349,36.93,36.81,1.0,37.51,37.46,19801615.0,0.0
2018-02-27,36.3532,37.42,36.87,1.0,37.64,36.87,21161420.0,0.0
2018-02-28,35.7912,37.18,36.3,1.0,37.18,36.3,28917497.0,0.0
2018-03-01,35.4954,36.31,35.865,1.0,36.75,36.0,28548902.0,0.0
2018-03-02,35.8405,36.0,35.95,1.0,36.4,36.35,21364000.0,0.0
2018-03-05,36.1856,36.2,36.1,1.0,36.82,36.7,19298996.0,0.0
2018-03-06,36.3532,36.83,36.5,1.0,36.9,36.87,17462057.0,0.0
2018-03-07,36.3926,36.59,36.56,1.0,37.025,36.91,18485992.0,0.0
2018-03-08,36.5898,36.91,36.56,1.0,37.11,37.11,19212473.0,0.0
2018-03-09,36.5307,37.17,36.82,1.0,37.22,37.05,18776503.0,0.0
2018-03-12,36.8363,37.05,37.04,1.0,37.565,37.36,22288893.0,0.0
2018-03-13,36.8659,37.55,37.26,1.0,37.81,37.39,19094350.0,0.0
2018-03-14,36.5109,37.59,36.96,1.0,37.59,37.03,18265962.0,0.0
2018-03-15,36.5208,37.09,37.01,1.0,37.29,37.04,21648136.0,0.0
2018-03-16,36.4814,37.09,36.9,1.0,37.34,37.0,32843930.0,0.0
2018-03-19,36.0672,36.98,36.47,1.0,37.095,36.58,19330555.0,0.0
2018-03-20,35.8306,36.68,36.18,1.0,36.82,36.34,19956102.0,0.0
2018-03-21,35.4954,36.34,36.0,1.0,36.5,36.0,16776049.0,0.0
2018-03-22,34.8742,35.95,35.36,1.0,36.04,35.37,28063362.0,0.0
2018-03-23,34.2136,35.37,34.55,1.0,35.99,34.7,34260415.0,0.0
2018-03-26,34.2037,35.06,34.44,1.0,35.2866,34.69,31281785.0,0.0
2018-03-27,34.4108,34.85,34.69,1.0,35.2,34.9,33198184.0,0.0
2018-03-28,35.0615,35.29,35.24,1.0,35.85,35.56,30746165.0,0.0
2018-03-29,35.1503,35.68,35.02,1.0,35.89,35.65,27564088.0,0.0
2018-04-02,34.608,35.58,34.8299,1.0,35.66,35.1,29232922.0,0.0
2018-04-03,34.8742,35.16,34.85,1.0,35.42,35.37,21880171.0,0.0
2018-04-04,35.3771,35.04,34.98,1.0,35.94,35.88,20562124.0,0.0
2018-04-05,35.6334,35.93,35.6834,1.0,36.21,36.14,17103329.0,0.0
2018-04-06,35.1306,36.01,35.42,1.0,36.2,35.63,25117409.0,0.0
2018-04-09,35.17,35.24,35.06,1.0,35.7,35.17,21879644.0,0.5
2018-04-10,35.81,35.32,35.05,1.0,36.39,35.81,40263863.0,0.0
2018-04-11,35.25,35.66,35.18,1.0,35.73,35.25,21045775.0,0.0
2018-04-12,35.16,35.42,35.06,1.0,35.47,35.16,21950205.0,0.0
2018-04-13,35.14,35.21,35.02,1.0,35.37,35.14,14374835.0,0.0
2018-04-16,35.64,35.37,35.215,1.0,35.82,35.64,24897295.0,0.0
2018-04-17,35.36,35.69,35.31,1.0,35.765,35.36,20585770.0,0.0
2018-04-18,35.21,35.48,35.16,1.0,35.54,35.21,21601034.0,0.0
2018-04-19,34.82,35.24,34.81,1.0,35.27,34.82,23543932.0,0.0
