date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,118.27,113.0,118.27,118.33,113.0,3521164.0,0.0,1.0
2018-02-07,117.19,118.77,117.19,120.34,116.75,3144885.0,0.0,1.0
2018-02-08,103.51,112.0,103.51,115.6,103.22,7747369.0,0.0,1.0
2018-02-09,108.45,105.5,108.45,109.09,102.16,5200928.0,0.0,1.0
2018-02-12,109.93,109.29,109.93,112.24,108.7,3204022.0,0.0,1.0
2018-02-13,107.78,108.53,107.78,109.305,106.73,2052346.0,0.0,1.0
2018-02-14,106.56,106.98,106.56,108.85,106.29,2532653.0,0.0,1.0
2018-02-15,108.16,107.59,108.16,108.85,105.65,2478508.0,0.0,1.0
2018-02-16,107.04,108.11,107.04,108.97,106.65,1787811.0,0.0,1.0
2018-02-20,107.48,106.44,107.48,108.32,106.44,1166795.0,0.0,1.0
2018-02-21,108.54,107.6,108.54,110.27,107.59,1743715.0,0.0,1.0
2018-02-22,108.63,108.99,108.63,109.865,108.1,1067796.0,0.0,1.0
2018-02-23,111.65,109.57,111.65,111.84,108.5,1354520.0,0.0,1.0
2018-02-26,114.58,112.6,114.58,115.44,112.52,1722518.0,0.0,1.0
2018-02-27,112.23,114.32,112.23,115.12,112.21,991058.0,0.0,1.0
2018-02-28,111.87,113.55,111.87,114.17,111.8,1843608.0,0.0,1.0
2018-03-01,107.54,111.61,107.54,112.99,106.8814,2372822.0,0.0,1.0
2018-03-02,110.77,106.84,110.77,111.21,105.81,1768107.0,0.0,1.0
2018-03-05,111.93,110.03,111.93,112.82,109.43,1388578.0,0.0,1.0
2018-03-06,110.71,112.38,110.71,112.97,109.05,1820922.0,0.0,1.0
2018-03-07,110.94,109.62,110.94,111.39,108.25,1977032.0,0.0,1.0
2018-03-08,113.58,111.61,113.58,113.73,110.21,3099481.0,0.0,1.0
2018-03-09,116.61,114.48,116.61,116.83,113.59,2313984.0,0.0,1.0
2018-03-12,115.735,115.85,115.735,117.35,113.89,3803001.0,0.0,1.0
2018-03-13,113.49,116.5,113.49,116.58,111.97,3517217.0,0.0,1.0
2018-03-14,109.23,111.58,109.23,111.63,106.1,5356066.0,0.0,1.0
2018-03-15,108.9,109.35,108.9,110.4,107.84,3523767.0,0.0,1.0
2018-03-16,107.29,108.94,107.29,109.72,106.25,18362494.0,0.0,1.0
2018-03-19,104.5,106.275,104.5,107.01,102.54,4978632.0,0.0,1.0
2018-03-20,105.24,105.34,105.24,106.51,104.36,2861206.0,0.0,1.0
2018-03-21,104.73,105.01,104.73,106.065,103.88,2048912.0,0.0,1.0
2018-03-22,102.39,103.4,102.39,104.7481,102.26,2645943.0,0.0,1.0
2018-03-23,99.7,102.29,99.7,103.87,99.64,2190027.0,0.0,1.0
2018-03-26,103.1,101.78,103.1,103.27,101.63,2136618.0,0.0,1.0
2018-03-27,98.04,103.63,98.04,104.2,97.71,3486513.0,0.0,1.0
2018-03-28,97.46,97.69,97.46,98.85,95.54,4249707.0,0.0,1.0
2018-03-29,97.78,98.09,97.78,99.77,95.92,3102833.0,0.0,1.0
2018-04-02,95.92,96.32,95.92,96.99,93.92,4120322.0,0.0,1.0
2018-04-03,95.86,96.65,95.86,96.78,93.42,2327459.0,0.0,1.0
2018-04-04,96.96,93.49,96.96,97.38,92.81,3135476.0,0.0,1.0
2018-04-05,98.63,99.2,98.63,100.59,97.956,2863987.0,0.0,1.0
2018-04-06,94.63,97.87,94.63,98.41,93.9,2005781.0,0.0,1.0
2018-04-09,96.51,95.21,96.51,97.62,95.021,2168024.0,0.0,1.0
2018-04-10,97.64,98.52,97.64,99.19,96.62,1986758.0,0.0,1.0
2018-04-11,96.62,96.76,96.62,97.95,96.4701,1235427.0,0.0,1.0
2018-04-12,97.84,96.82,97.84,98.96,96.47,1580152.0,0.0,1.0
2018-04-13,97.19,98.81,97.19,99.0,96.59,1398309.0,0.0,1.0
2018-04-16,98.47,97.93,98.47,98.87,97.27,1004901.0,0.0,1.0
2018-04-17,102.21,99.54,102.21,102.49,99.29,2053082.0,0.0,1.0
2018-04-18,102.5,102.16,102.5,103.145,100.95,1477238.0,0.0,1.0
2018-04-19,100.77,101.61,100.77,102.17,99.96,1297933.0,0.0,1.0
2018-04-20,98.38,100.46,98.38,100.75,97.28,1753293.0,0.0,1.0
2018-04-23,98.12,98.56,98.12,100.08,97.5,1247638.0,0.0,1.0
2018-04-24,96.38,98.79,96.38,99.9072,95.54,1428485.0,0.0,1.0
2018-04-25,96.22,96.53,96.22,97.11,94.59,1444844.0,0.0,1.0
2018-04-26,99.19,97.1,99.19,99.88,97.1,1617914.0,0.0,1.0
2018-04-27,98.63,99.97,98.63,100.08,97.32,1064342.0,0.0,1.0
2018-04-30,99.71,100.42,99.71,100.63,98.2,1297718.0,0.0,1.0
2018-05-01,104.3,99.37,104.3,104.37,99.17,2736930.0,0.0,1.0
2018-05-02,104.88,104.05,104.88,106.42,103.69,2585900.0,0.0,1.0
2018-05-03,105.1,104.25,105.1,110.82,98.87,9052298.0,0.0,1.0
2018-05-04,108.76,104.04,108.76,110.0,104.04,2369023.0,0.0,1.0
2018-05-07,110.2,110.28,110.2,110.84,107.79,2127595.0,0.0,1.0
2018-05-08,111.3,110.42,111.3,112.455,109.67,2659323.0,0.0,1.0
2018-05-09,115.99,113.13,115.99,117.39,111.935,3122700.0,0.0,1.0
2018-05-10,117.06,116.68,117.06,117.4,115.37,1971241.0,0.0,1.0
2018-05-11,116.09,117.15,116.09,117.37,115.35,1931008.0,0.0,1.0
