date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,57.1,55.63,57.0642,57.46,54.945,2452476.0,0.0,1.0
2018-02-07,57.91,57.01,57.8737,58.83,56.95,1731515.0,0.0,1.0
2018-02-08,55.54,58.0,55.5052,58.0,55.49,1480822.0,0.0,1.0
2018-02-09,56.31,56.2,56.2747,56.87,54.36,2058924.0,0.0,1.0
2018-02-12,57.55,56.77,57.5139,58.12,56.41,1799415.0,0.0,1.0
2018-02-13,57.55,57.28,57.5139,58.225,57.1,1794196.0,0.0,1.0
2018-02-14,58.8,57.14,58.7631,58.9,56.91,2166029.0,0.0,1.0
2018-02-15,59.68,59.08,59.6426,59.86,58.9,1855217.0,0.0,1.0
2018-02-16,60.33,59.57,60.2922,60.66,59.39,1650065.0,0.0,1.0
2018-02-20,60.06,59.9,60.0223,60.88,59.6,1514516.0,0.0,1.0
2018-02-21,59.52,59.97,59.4827,60.48,59.42,2423967.0,0.0,1.0
2018-02-22,59.52,59.83,59.4827,60.42,59.41,1338148.0,0.0,1.0
2018-02-23,59.28,59.58,59.2428,59.905,58.96,1835409.0,0.0,1.0
2018-02-26,61.03,59.84,60.9917,61.16,59.57,1374105.0,0.0,1.0
2018-02-27,60.25,60.96,60.2122,61.47,60.23,1320481.0,0.0,1.0
2018-02-28,59.85,60.51,59.8125,61.23,59.85,1609493.0,0.0,1.0
2018-03-01,58.24,59.87,58.2035,60.22,57.79,2415956.0,0.0,1.0
2018-03-02,57.66,57.67,57.6238,57.84,56.67,1938922.0,0.0,1.0
2018-03-05,58.38,57.16,58.3434,58.69,56.93,1430482.0,0.0,1.0
2018-03-06,58.59,58.56,58.5533,59.03,58.24,1281888.0,0.0,1.0
2018-03-07,58.52,58.12,58.4833,58.68,57.76,1418348.0,0.0,1.0
2018-03-08,59.05,58.8,59.013,59.14,58.3,999859.0,0.0,1.0
2018-03-09,60.4,59.45,60.3821,60.41,59.15,1177834.0,0.02,1.0
2018-03-12,59.0,60.37,58.9825,60.37,58.88,2260734.0,0.0,1.0
2018-03-13,58.9,59.37,58.8826,59.47,58.76,1374951.0,0.0,1.0
2018-03-14,59.09,59.29,59.0725,59.29,58.485,2659494.0,0.0,1.0
2018-03-15,59.0,59.11,58.9825,59.11,58.01,1715785.0,0.0,1.0
2018-03-16,58.83,59.17,58.8126,59.17,58.7,2289169.0,0.0,1.0
2018-03-19,58.94,58.78,58.9225,59.04,58.32,1261536.0,0.0,1.0
2018-03-20,59.12,59.03,59.1025,59.62,58.86,1256880.0,0.0,1.0
2018-03-21,59.3,59.22,59.2824,59.85,58.76,904712.0,0.0,1.0
2018-03-22,57.55,58.73,57.533,58.99,57.5,1307755.0,0.0,1.0
2018-03-23,56.96,57.75,56.9431,58.216,56.87,1535316.0,0.0,1.0
2018-03-26,58.3,57.66,58.2827,58.335,57.08,1214018.0,0.0,1.0
2018-03-27,57.45,58.29,57.433,58.93,57.18,1108047.0,0.0,1.0
2018-03-28,57.6,57.53,57.5829,58.02,57.01,1756486.0,0.0,1.0
2018-03-29,58.97,58.02,58.9525,59.44,57.9228,1815891.0,0.0,1.0
2018-04-02,57.65,58.75,57.6329,59.09,56.95,1409920.0,0.0,1.0
2018-04-03,58.18,57.95,58.1628,58.23,57.455,1354159.0,0.0,1.0
2018-04-04,58.28,57.27,58.2627,58.3,56.63,2627937.0,0.0,1.0
2018-04-05,59.58,58.66,59.5623,59.72,58.4,1497762.0,0.0,1.0
2018-04-06,57.87,58.95,57.8529,59.29,57.41,1868954.0,0.0,1.0
2018-04-09,57.72,58.23,57.7029,58.61,57.67,1094758.0,0.0,1.0
2018-04-10,58.38,58.57,58.3627,58.97,58.07,1866344.0,0.0,1.0
2018-04-11,58.64,57.94,58.6226,59.21,57.78,1607792.0,0.0,1.0
2018-04-12,59.05,58.92,59.0325,59.45,58.8599,1546566.0,0.0,1.0
2018-04-13,58.52,59.49,58.5027,59.52,58.21,1345830.0,0.0,1.0
2018-04-16,59.43,59.11,59.4124,59.54,58.89,1708797.0,0.0,1.0
2018-04-17,59.94,59.75,59.9222,60.33,59.44,2253697.0,0.0,1.0
2018-04-18,63.99,64.23,63.971,64.88,63.0,6805075.0,0.0,1.0
2018-04-19,65.48,64.98,65.4606,65.73,64.52,3696828.0,0.0,1.0
2018-04-20,65.59,65.68,65.5706,65.99,64.84,3353007.0,0.0,1.0
2018-04-23,64.71,65.81,64.6908,65.89,64.41,2296062.0,0.0,1.0
2018-04-24,64.27,65.21,64.251,65.79,62.95,2392591.0,0.0,1.0
2018-04-25,63.46,64.11,63.4412,64.28,63.07,2298270.0,0.0,1.0
2018-04-26,63.62,63.48,63.6012,64.12,63.075,1585872.0,0.0,1.0
