date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,12.05,11.65,12.05,12.12,11.41,6076501.0,0.0,1.0
2018-02-07,12.15,12.08,12.15,12.53,12.05,3773567.0,0.0,1.0
2018-02-08,11.95,12.14,11.95,12.25,11.7,3265086.0,0.0,1.0
2018-02-09,12.46,12.08,12.46,12.63,11.92,5612928.0,0.0,1.0
2018-02-12,13.18,12.61,13.18,13.43,12.6,7978030.0,0.0,1.0
2018-02-13,15.29,14.55,15.29,15.65,14.49,20632010.0,0.0,1.0
2018-02-14,16.14,15.13,16.14,16.33,14.45,10497284.0,0.0,1.0
2018-02-15,16.54,16.16,16.54,16.74,15.72,8753163.0,0.0,1.0
2018-02-16,15.78,16.44,15.78,16.83,15.74,5394572.0,0.0,1.0
2018-02-20,15.41,15.7,15.41,16.135,15.34,4577259.0,0.0,1.0
2018-02-21,15.32,15.49,15.32,15.74,15.31,3002564.0,0.0,1.0
2018-02-22,14.97,15.37,14.97,15.51,14.91,2887294.0,0.0,1.0
2018-02-23,15.3,15.05,15.3,15.41,14.94,2202616.0,0.0,1.0
2018-02-26,15.42,15.32,15.42,15.59,15.22,3363757.0,0.0,1.0
2018-02-27,15.09,15.51,15.09,15.9248,15.0839,3278301.0,0.0,1.0
2018-02-28,15.05,15.22,15.05,15.3,14.885,3566045.0,0.0,1.0
2018-03-01,14.39,15.06,14.39,15.13,14.32,5492570.0,0.0,1.0
2018-03-02,15.23,14.2,15.23,15.295,14.02,5519901.0,0.0,1.0
2018-03-05,15.56,15.13,15.56,15.7,15.03,3610569.0,0.0,1.0
2018-03-06,15.73,15.55,15.73,15.85,15.36,4001851.0,0.0,1.0
2018-03-07,15.5,15.53,15.5,15.73,15.4025,2661374.0,0.0,1.0
2018-03-08,15.29,15.57,15.29,15.64,15.2,2172921.0,0.0,1.0
2018-03-09,15.18,15.41,15.18,15.5,15.03,2683202.0,0.0,1.0
2018-03-12,15.24,15.2,15.24,15.34,15.0,3163785.0,0.0,1.0
2018-03-13,14.58,15.22,14.58,15.45,14.56,4445108.0,0.0,1.0
2018-03-14,14.02,14.59,14.02,14.72,13.8,6098424.0,0.0,1.0
2018-03-15,13.83,14.06,13.83,14.25,13.76,2784142.0,0.0,1.0
2018-03-16,14.08,13.87,14.08,14.2593,13.69,4030187.0,0.0,1.0
2018-03-19,14.07,14.02,14.07,14.24,13.81,2929897.0,0.0,1.0
2018-03-20,14.01,14.12,14.01,14.25,13.915,2919045.0,0.0,1.0
2018-03-21,14.07,13.93,14.07,14.23,13.93,2244370.0,0.0,1.0
2018-03-22,13.71,13.94,13.71,14.12,13.7,2030652.0,0.0,1.0
2018-03-23,13.72,13.8,13.72,14.04,13.62,2509866.0,0.0,1.0
2018-03-26,14.46,14.0,14.46,14.52,13.66,3815498.0,0.0,1.0
2018-03-27,14.32,14.46,14.32,14.675,14.235,4115194.0,0.0,1.0
2018-03-28,14.19,14.37,14.19,14.6,14.13,2413800.0,0.0,1.0
2018-03-29,14.35,14.31,14.35,14.6,14.245,2458724.0,0.0,1.0
2018-04-02,13.99,13.99,13.99,14.16,13.84,3548753.0,0.0,1.0
2018-04-03,14.73,14.08,14.73,14.77,14.01,3206588.0,0.0,1.0
2018-04-04,15.64,14.59,15.64,15.8352,14.57,6667750.0,0.0,1.0
