date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,63.95,62.16,63.95,64.22,61.96,4632305.0,0.0,1.0
2018-02-07,65.36,63.84,65.36,66.5783,63.75,5685496.0,0.0,1.0
2018-02-08,63.37,65.17,63.37,65.67,63.33,4578340.0,0.0,1.0
2018-02-09,62.98,64.24,62.98,64.52,60.44,6060906.0,0.0,1.0
2018-02-12,64.14,63.33,64.14,64.83,62.97,3272941.0,0.0,1.0
2018-02-13,65.7,63.83,65.7,65.75,63.66,3109389.0,0.0,1.0
2018-02-14,65.68,65.4,65.68,66.32,65.16,2736576.0,0.0,1.0
2018-02-15,66.74,66.0,66.74,66.755,65.64,3708847.0,0.0,1.0
2018-02-16,66.52,67.05,66.52,67.51,66.51,2596209.0,0.0,1.0
2018-02-20,66.59,66.1,66.59,66.72,65.78,3285509.0,0.0,1.0
2018-02-21,67.0,66.39,67.0,68.52,66.36,3259787.0,0.0,1.0
2018-02-22,66.7,67.5,66.7,67.7272,66.45,2303776.0,0.0,1.0
2018-02-23,67.57,67.01,67.57,67.6801,66.74,2633742.0,0.0,1.0
2018-02-26,69.26,68.26,69.26,69.48,68.25,4539137.0,0.0,1.0
2018-02-27,67.86,69.0,67.86,69.4,67.79,3382883.0,0.0,1.0
2018-02-28,67.79,68.0,67.79,68.61,67.33,3034341.0,0.0,1.0
2018-03-01,67.54,67.78,67.54,69.34,67.02,4109064.0,0.0,1.0
2018-03-02,67.51,66.87,67.51,67.69,65.67,3234637.0,0.0,1.0
2018-03-05,67.21,66.82,67.21,67.92,66.41,3036169.0,0.0,1.0
2018-03-06,67.52,67.21,67.52,67.81,66.29,2472019.0,0.0,1.0
2018-03-07,67.81,66.81,67.81,67.91,66.531,2734129.0,0.0,1.0
2018-03-08,69.87,68.32,69.87,70.55,68.05,6469683.0,0.0,1.0
2018-03-09,71.55,70.5,71.55,71.6399,69.73,5548895.0,0.0,1.0
2018-03-12,72.0,71.82,72.0,72.1,70.4,3698999.0,0.0,1.0
2018-03-13,72.6,72.87,72.6,73.41,72.47,4712265.0,0.0,1.0
2018-03-14,70.74,72.35,70.74,73.24,70.44,4072105.0,0.0,1.0
2018-03-15,70.14,70.98,70.14,71.42,69.93,3378284.0,0.0,1.0
2018-03-16,70.88,70.42,70.88,71.45,70.1,4562943.0,0.0,1.0
2018-03-19,70.13,71.03,70.13,71.1,69.51,2227626.0,0.0,1.0
2018-03-20,70.48,70.43,70.48,70.96,70.075,1987168.0,0.0,1.0
2018-03-21,69.94,69.12,69.94,70.635,68.81,2613553.0,0.0,1.0
2018-03-22,68.45,69.46,68.45,70.4901,68.44,3362062.0,0.0,1.0
2018-03-23,67.39,68.75,67.39,68.98,67.33,2620249.0,0.0,1.0
2018-03-26,68.48,68.39,68.48,68.68,67.32,2689717.0,0.0,1.0
2018-03-27,68.18,68.72,68.18,69.91,67.81,3298749.0,0.0,1.0
2018-03-28,67.91,68.37,67.91,68.6898,67.23,3062406.0,0.0,1.0
2018-03-29,69.47,68.07,69.47,70.04,68.07,3003776.0,0.0,1.0
2018-04-02,66.77,69.12,66.77,69.3,65.6,3988762.0,0.0,1.0
2018-04-03,69.19,67.16,69.19,69.61,67.07,4385304.0,0.0,1.0
2018-04-04,69.99,68.25,69.99,70.13,67.94,3147567.0,0.0,1.0
2018-04-05,70.69,70.23,70.69,71.21,69.8648,3151076.0,0.0,1.0
2018-04-06,68.63,70.29,68.63,70.5548,68.0,3699753.0,0.0,1.0
2018-04-09,68.52,69.28,68.52,69.73,68.28,5259420.0,0.0,1.0
2018-04-10,67.59,69.26,67.59,69.5,66.58,5354452.0,0.0,1.0
2018-04-11,64.87,67.02,64.87,67.87,64.795,5370056.0,0.0,1.0
2018-04-12,66.1,65.64,66.1,66.88,65.32,4800408.0,0.0,1.0
2018-04-13,66.54,66.72,66.54,67.32,66.13,2665909.0,0.0,1.0
2018-04-16,67.31,66.75,67.31,68.18,66.71,2831820.0,0.0,1.0
2018-04-17,67.34,67.74,67.34,68.24,66.75,4754097.0,0.0,1.0
2018-04-18,70.58,69.5,70.58,72.1,67.63,10265432.0,0.0,1.0
2018-04-19,70.23,70.62,70.23,71.19,69.13,6380051.0,0.0,1.0
2018-04-20,71.75,70.42,71.75,72.6,70.42,6263036.0,0.0,1.0
2018-04-23,70.33,72.18,70.33,72.25,69.71,3648360.0,0.0,1.0
2018-04-24,68.95,70.65,68.95,70.83,67.715,3815310.0,0.0,1.0
2018-04-25,68.51,68.71,68.51,68.88,67.14,3728616.0,0.0,1.0
2018-04-26,66.62,67.36,66.62,67.36,65.45,5466963.0,0.0,1.0
2018-04-27,67.86,66.84,67.86,68.23,66.84,2662160.0,0.0,1.0
2018-04-30,67.54,67.85,67.54,68.78,67.44,2468317.0,0.0,1.0
2018-05-01,68.38,67.59,68.38,68.44,67.07,2122186.0,0.0,1.0
2018-05-02,67.92,68.16,67.92,69.35,67.8,3010025.0,0.0,1.0
2018-05-03,67.52,67.92,67.52,67.92,66.53,2211444.0,0.0,1.0
2018-05-04,68.32,67.15,68.32,68.84,67.15,2171223.0,0.0,1.0
2018-05-07,67.52,68.48,67.52,68.67,66.98,2100437.0,0.0,1.0
2018-05-08,67.72,67.66,67.72,69.2,67.24,2705423.0,0.0,1.0
2018-05-09,65.8,67.28,65.8,67.59,65.5748,4415145.0,0.0,1.0
2018-05-10,66.02,65.85,66.02,66.52,65.57,2689152.0,0.0,1.0
2018-05-11,66.92,66.11,66.92,67.195,66.11,2887280.0,0.0,1.0
2018-05-14,66.64,67.34,66.64,67.6,66.14,2775374.0,0.0,1.0
2018-05-15,68.03,66.55,68.03,68.3575,66.1,3262118.0,0.0,1.0
2018-05-16,69.74,68.03,69.74,70.14,67.72,3385478.0,0.0,1.0
2018-05-17,69.49,69.75,69.49,70.39,69.315,2726285.0,0.0,1.0
2018-05-18,68.42,68.94,68.42,69.64,68.4,3733708.0,0.0,1.0
2018-05-21,70.07,69.01,70.07,70.66,68.92,3530541.0,0.0,1.0
2018-05-22,69.99,70.6,69.99,71.41,69.71,3242082.0,0.0,1.0
2018-05-23,69.54,69.75,69.54,69.89,68.87,1956947.0,0.0,1.0
2018-05-24,70.47,69.62,70.47,70.67,69.45,2094097.0,0.0,1.0
2018-05-25,71.68,70.76,71.68,72.74,70.645,3972453.0,0.0,1.0
2018-05-29,69.52,70.99,69.52,71.52,69.04,2540956.0,0.0,1.0
2018-05-30,69.8,69.58,69.8,69.86,68.985,2945716.0,0.0,1.0
2018-05-31,69.59,69.96,69.59,70.53,69.2,2275883.0,0.0,1.0
2018-06-01,69.25,70.0,69.25,70.44,69.1,2326049.0,0.0,1.0
2018-06-04,69.98,69.36,69.98,70.495,69.36,2450035.0,0.0,1.0
2018-06-05,69.32,69.72,69.32,69.92,68.57,2401811.0,0.0,1.0
2018-06-06,70.36,68.14,70.36,70.53,67.93,2698534.0,0.0,1.0
2018-06-07,69.54,70.2,69.54,70.21,68.92,2875320.0,0.0,1.0
2018-06-08,69.99,69.37,69.99,70.15,69.07,2713241.0,0.0,1.0
2018-06-11,72.15,70.83,72.15,73.29,70.56,4261338.0,0.0,1.0
2018-06-12,72.39,72.4,72.39,72.745,71.42,2489050.0,0.0,1.0
2018-06-13,72.5,72.87,72.5,73.52,72.38,2389593.0,0.0,1.0
2018-06-14,73.02,73.0,73.02,74.04,72.63,2693244.0,0.0,1.0
2018-06-15,73.89,72.97,73.89,74.0,72.28,5148763.0,0.0,1.0
2018-06-18,74.49,73.34,74.49,74.75,72.75,4324204.0,0.0,1.0
2018-06-19,73.0,73.8,73.0,74.25,72.38,3482821.0,0.0,1.0
2018-06-20,74.07,73.12,74.07,74.61,72.88,2021264.0,0.0,1.0
2018-06-21,74.42,73.78,74.42,75.44,73.78,2000909.0,0.0,1.0
2018-06-22,72.94,74.19,72.94,75.53,72.795,3980190.0,0.0,1.0
2018-06-25,71.33,72.8,71.33,72.8,70.82,3305158.0,0.0,1.0
2018-06-26,71.02,71.39,71.02,71.77,70.57,2366484.0,0.0,1.0
2018-06-27,69.57,71.08,69.57,71.23,69.53,2633944.0,0.0,1.0
2018-06-28,69.44,69.68,69.44,69.8222,68.49,2236635.0,0.0,1.0
