date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,34.31,33.72,34.0029,34.46,33.31,2278342.0,0.0,1.0
2018-02-07,33.8,33.96,33.4975,34.85,33.8,2511084.0,0.0,1.0
2018-02-08,32.92,33.7,32.6254,34.31,32.91,2901720.0,0.0,1.0
2018-02-09,33.79,33.1,33.4876,34.03,32.88,2597120.0,0.0,1.0
2018-02-12,33.73,33.89,33.4281,33.98,32.9,1862234.0,0.0,1.0
2018-02-13,34.0,33.61,33.6957,34.14,33.53,2164910.0,0.0,1.0
2018-02-14,33.79,33.73,33.4876,33.81,33.29,1297231.0,0.0,1.0
2018-02-15,34.4,33.96,34.0921,34.45,33.84,1705313.0,0.0,1.0
2018-02-16,34.61,34.48,34.3002,34.84,34.38,2656170.0,0.0,1.0
2018-02-20,34.24,34.47,33.9335,34.8,34.19,1778293.0,0.0,1.0
2018-02-21,33.22,34.23,32.9227,34.315,33.16,1993169.0,0.0,1.0
2018-02-22,33.44,33.32,33.1407,33.79,33.26,1295411.0,0.0,1.0
2018-02-23,34.14,33.63,33.8344,34.16,33.47,1016736.0,0.0,1.0
2018-02-26,34.14,34.23,33.8344,34.37,33.95,1299434.0,0.0,1.0
2018-02-27,33.58,34.1,33.2795,34.21,33.33,1799749.0,0.0,1.0
2018-02-28,33.62,33.72,33.3191,34.1,33.61,2057277.0,0.0,1.0
2018-03-01,33.7,33.5,33.3984,34.19,33.37,1753135.0,0.0,1.0
2018-03-02,33.38,33.59,33.0812,33.79,33.13,1406170.0,0.0,1.0
2018-03-05,33.67,33.26,33.3686,33.86,33.04,1475540.0,0.0,1.0
2018-03-06,33.88,33.62,33.5768,33.99,33.39,1376861.0,0.0,1.0
2018-03-07,34.15,33.72,33.8443,34.17,33.65,1609218.0,0.0,1.0
2018-03-08,34.48,34.2,34.1714,34.54,34.05,1041822.0,0.0,1.0
2018-03-09,35.24,34.8,34.9246,35.24,34.5,1676710.0,0.0,1.0
2018-03-12,35.32,35.22,35.0039,35.41,35.03,1601935.0,0.0,1.0
2018-03-13,35.41,35.53,35.0931,35.675,35.31,2043800.0,0.0,1.0
2018-03-14,35.54,35.45,35.2219,35.69,35.375,1819873.0,0.0,1.0
2018-03-15,35.67,35.61,35.3507,35.82,35.45,1224830.0,0.0,1.0
2018-03-16,35.96,35.64,35.6381,36.01,35.59,2060461.0,0.0,1.0
2018-03-19,35.65,35.7,35.3309,35.79,35.251,1500567.0,0.0,1.0
2018-03-20,35.43,35.64,35.1129,35.88,35.31,1276407.0,0.0,1.0
2018-03-21,35.29,35.38,34.9741,35.68,35.1,985631.0,0.0,1.0
2018-03-22,34.77,35.2,34.4588,35.63,34.76,1821639.0,0.0,1.0
2018-03-23,34.14,34.75,33.8344,34.89,34.025,2094362.0,0.0,1.0
2018-03-26,34.45,34.37,34.1417,34.53,34.12,1359791.0,0.0,1.0
2018-03-27,34.7,34.45,34.3894,35.2,34.14,1586323.0,0.0,1.0
2018-03-28,35.6,34.9,35.2814,35.705,34.9,1689309.0,0.0,1.0
2018-03-29,35.62,35.69,35.3012,35.94,35.45,1498022.0,0.0,1.0
