date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,225.18,212.2,223.6447,226.509,210.21,6859988.0,0.0,1.0
2018-02-07,225.82,222.33,224.2803,229.29,221.51,5458395.0,0.0,1.0
2018-02-08,216.46,225.33,214.9841,226.63,216.26,4875622.0,0.0,1.0
2018-02-09,220.96,218.0,219.4535,223.28,212.01,6208110.0,0.0,1.0
2018-02-12,225.69,222.44,224.1512,228.0001,222.15,4901754.0,0.0,1.0
2018-02-13,226.64,223.15,225.0947,227.12,222.385,3319842.0,0.0,1.0
2018-02-14,228.78,224.95,227.2201,229.34,223.92,2871040.0,0.0,1.0
2018-02-15,226.02,229.27,224.479,230.0,221.74,4526099.0,0.0,1.0
2018-02-16,229.37,225.99,227.8061,230.55,225.7,3602311.0,0.0,1.0
2018-02-20,226.66,227.91,225.1146,228.75,225.61,2972753.0,0.0,1.0
2018-02-21,225.13,226.15,223.595,229.35,225.11,3359289.0,0.0,1.0
2018-02-22,227.09,226.3,225.5417,229.84,225.08,2767850.0,0.0,1.0
2018-02-23,230.16,227.9,228.5907,230.32,225.905,2349926.0,0.0,1.0
2018-02-26,234.06,231.64,232.4641,234.51,229.7,3081532.0,0.0,1.0
2018-02-27,232.52,234.4,230.9346,235.89,232.44,2897948.0,0.0,1.0
2018-02-28,226.16,234.42,224.618,234.75,226.09,4329325.0,0.0,1.0
2018-03-01,224.45,225.7,222.9197,229.29,222.738,3514589.0,0.0,1.0
2018-03-02,225.19,223.21,223.6546,225.82,222.59,2613605.0,0.0,1.0
2018-03-05,228.38,223.37,226.8229,229.43,222.79,2627307.0,0.0,1.0
2018-03-06,226.18,228.92,224.6379,229.1534,223.89,2652763.0,0.0,1.0
2018-03-07,227.27,224.35,225.7204,227.815,223.75,3242203.0,0.0,1.0
2018-03-08,224.73,227.93,223.9426,227.99,223.92,3454916.0,0.75,1.0
2018-03-09,225.43,226.11,224.6402,226.52,222.5,4805255.0,0.0,1.0
2018-03-12,222.77,226.21,221.9895,227.0,222.77,3112794.0,0.0,1.0
2018-03-13,226.94,223.53,226.1449,228.06,223.16,3313748.0,0.0,1.0
2018-03-14,225.38,227.13,224.5904,229.39,225.02,2929437.0,0.0,1.0
2018-03-15,229.48,225.83,228.676,230.76,225.66,3191807.0,0.0,1.0
2018-03-16,227.86,229.66,227.0617,231.27,227.75,5316977.0,0.0,1.0
2018-03-19,225.05,227.31,224.2615,227.97,223.68,3308958.0,0.0,1.0
2018-03-20,226.78,225.16,225.9855,227.6,223.88,3393616.0,0.0,1.0
2018-03-21,222.82,226.45,222.0393,227.44,222.82,3408998.0,0.0,1.0
2018-03-22,215.21,221.65,214.456,221.6613,215.1,5553756.0,0.0,1.0
2018-03-23,212.55,215.75,211.8053,217.73,212.495,5514827.0,0.0,1.0
2018-03-26,219.07,215.19,218.3025,219.41,214.7,3355677.0,0.0,1.0
2018-03-27,217.96,220.32,217.1964,221.95,216.41,3661781.0,0.0,1.0
2018-03-28,218.5,218.89,217.7345,219.91,217.04,3179518.0,0.0,1.0
2018-03-29,214.0,219.38,213.2502,223.35,214.0,5529392.0,0.0,1.0
2018-04-02,217.2,218.46,216.439,222.99,214.63,6220689.0,0.0,1.0
2018-04-03,224.58,220.34,223.7932,225.1,219.69,4651997.0,0.0,1.0
2018-04-04,228.79,220.69,227.9884,229.48,220.42,4674010.0,0.0,1.0
2018-04-05,229.07,229.46,228.2674,231.58,226.795,3348090.0,0.0,1.0
2018-04-06,223.96,226.65,223.1753,228.19,221.82,3231724.0,0.0,1.0
2018-04-09,222.73,225.58,221.9496,226.13,222.36,3031520.0,0.0,1.0
2018-04-10,226.79,225.4,225.9954,228.16,223.49,2773227.0,0.0,1.0
2018-04-11,221.9,224.27,221.1226,225.39,221.69,3482120.0,0.0,1.0
2018-04-12,224.24,224.04,223.4544,225.75,223.41,2664457.0,0.0,1.0
2018-04-13,224.28,225.1,223.4942,226.13,223.08,2496580.0,0.0,1.0
