date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,50.64,49.17,50.403,50.89,48.49,2257953.0,0.0,1.0
2018-02-07,50.58,50.37,50.3433,51.23,50.21,2809683.0,0.0,1.0
2018-02-08,47.87,50.64,47.646,50.64,47.84,2450121.0,0.0,1.0
2018-02-09,49.21,48.44,48.9797,49.63,47.53,2074272.0,0.0,1.0
2018-02-12,50.48,49.59,50.2438,50.93,49.27,3565636.0,0.0,1.0
2018-02-13,50.82,50.65,50.5822,51.16,50.18,2312524.0,0.0,1.0
2018-02-14,52.45,50.46,52.2046,52.6,50.41,1586455.0,0.0,1.0
2018-02-15,52.15,52.8,51.906,53.1,51.81,1407357.0,0.0,1.0
2018-02-16,52.45,51.84,52.2046,52.81,51.06,1484323.0,0.0,1.0
2018-02-20,52.34,52.27,52.0951,52.68,52.06,1334450.0,0.0,1.0
2018-02-21,51.98,52.39,51.7368,52.86,51.96,1343555.0,0.0,1.0
2018-02-22,51.26,52.11,51.0201,52.23,51.16,1928862.0,0.0,1.0
2018-02-23,51.73,51.41,51.4879,51.77,51.23,1077448.0,0.0,1.0
2018-02-26,52.41,51.96,52.1647,52.5,51.77,990253.0,0.0,1.0
2018-02-27,51.94,52.35,51.6969,53.06,51.94,1339262.0,0.0,1.0
2018-02-28,50.96,52.22,50.7215,52.45,50.95,1939918.0,0.0,1.0
2018-03-01,49.31,50.9,49.0793,51.15,49.11,2398822.0,0.0,1.0
2018-03-02,49.15,48.93,48.92,49.26,47.79,1940069.0,0.0,1.0
2018-03-05,49.96,48.71,49.7262,50.33,48.52,1431433.0,0.0,1.0
2018-03-06,49.96,50.18,49.7262,50.24,49.28,1304145.0,0.0,1.0
2018-03-07,49.94,49.32,49.7063,50.07,49.21,1267308.0,0.0,1.0
2018-03-08,49.63,50.06,49.3978,50.06,49.09,1219724.0,0.0,1.0
2018-03-09,51.19,50.18,50.9505,51.23,49.81,1383369.0,0.0,1.0
2018-03-12,50.69,51.15,50.4528,51.33,50.64,1416687.0,0.0,1.0
2018-03-13,50.32,51.12,50.0845,51.2,50.21,1077645.0,0.0,1.0
2018-03-14,49.51,50.6,49.2783,50.75,49.38,1108153.0,0.0,1.0
2018-03-15,49.81,49.8,49.5769,50.24,49.485,1053597.0,0.0,1.0
2018-03-16,50.28,50.0,50.0447,50.785,49.81,2379665.0,0.0,1.0
2018-03-19,49.87,50.31,49.6366,50.5,49.34,895422.0,0.0,1.0
2018-03-20,50.27,50.21,50.0348,50.51,50.05,846658.0,0.0,1.0
2018-03-21,50.63,50.44,50.3931,51.17,50.14,1099577.0,0.0,1.0
2018-03-22,48.62,49.94,48.3925,50.15,48.52,941561.0,0.0,1.0
2018-03-23,46.98,48.8,46.7602,48.93,46.87,1351896.0,0.0,1.0
2018-03-26,48.24,47.86,48.0143,48.32,47.105,1897456.0,0.0,1.0
2018-03-27,47.47,48.25,47.2479,48.62,47.18,1507080.0,0.0,1.0
2018-03-28,47.29,47.59,47.0687,47.85,46.7,1797748.0,0.0,1.0
2018-03-29,47.61,47.64,47.3872,48.06,47.39,1383860.0,0.0,1.0
2018-04-02,46.68,47.67,46.4616,47.96,45.91,1766731.0,0.0,1.0
2018-04-03,47.17,47.14,46.9493,47.36,46.48,1512503.0,0.0,1.0
2018-04-04,47.68,46.3,47.4569,47.82,46.3,1078118.0,0.0,1.0
2018-04-05,47.95,48.02,47.7256,48.22,47.56,1357452.0,0.0,1.0
2018-04-06,46.59,47.5,46.372,47.61,46.21,1700123.0,0.0,1.0
2018-04-09,46.45,47.0,46.2326,47.47,46.38,1831132.0,0.0,1.0
2018-04-10,47.63,47.22,47.4071,47.975,47.04,1505927.0,0.0,1.0
2018-04-11,46.81,47.08,46.591,47.31,46.735,1150466.0,0.0,1.0
2018-04-12,47.99,47.19,47.7654,48.17,47.035,1189030.0,0.0,1.0
2018-04-13,47.51,48.38,47.2877,48.48,47.37,1116549.0,0.0,1.0
2018-04-16,47.95,47.96,47.7256,48.23,47.67,1590534.0,0.0,1.0
2018-04-17,47.56,48.31,47.3374,48.31,47.45,1134409.0,0.0,1.0
2018-04-18,48.03,47.83,47.8052,48.11,47.59,2713263.0,0.0,1.0
2018-04-19,48.73,48.12,48.502,48.85,48.06,1294726.0,0.0,1.0
2018-04-20,48.88,48.95,48.6513,49.03,48.46,1669578.0,0.0,1.0
2018-04-23,48.79,49.11,48.5617,49.16,48.59,708725.0,0.0,1.0
2018-04-24,48.24,48.91,48.0143,49.33,47.96,953250.0,0.0,1.0
2018-04-25,48.46,48.35,48.2332,48.69,47.73,1062245.0,0.0,1.0
2018-04-26,48.4,48.34,48.1735,48.68,48.02,1142186.0,0.0,1.0
2018-04-27,48.92,48.0,48.92,48.96,47.97,1469675.0,0.23,1.0
2018-04-30,48.38,48.94,48.38,49.24,48.38,1292324.0,0.0,1.0
2018-05-01,47.9,48.21,47.9,48.38,47.59,1250175.0,0.0,1.0
2018-05-02,39.78,40.39,39.78,41.694,39.6,8186911.0,0.0,1.0
2018-05-03,39.05,39.36,39.05,40.0,38.93,3501516.0,0.0,1.0
2018-05-04,39.86,38.83,39.86,39.95,38.75,3922675.0,0.0,1.0
2018-05-07,39.61,39.94,39.61,39.98,39.42,2436279.0,0.0,1.0
2018-05-08,38.25,39.72,38.25,39.8,38.05,5605826.0,0.0,1.0
2018-05-09,37.76,38.21,37.76,38.26,37.64,3870395.0,0.0,1.0
2018-05-10,38.01,37.76,38.01,38.18,37.57,3074474.0,0.0,1.0
2018-05-11,37.95,38.13,37.95,38.78,37.8,2972367.0,0.0,1.0
2018-05-14,37.88,38.1,37.88,38.445,37.78,2439355.0,0.0,1.0
2018-05-15,38.11,37.88,38.11,38.4,37.83,2109059.0,0.0,1.0
2018-05-16,38.47,38.05,38.47,38.69,38.05,2761922.0,0.0,1.0
2018-05-17,38.86,38.53,38.86,39.11,38.43,2641804.0,0.0,1.0
2018-05-18,38.63,38.76,38.63,39.04,38.35,2966283.0,0.0,1.0
2018-05-21,38.79,38.95,38.79,39.01,38.66,966729.0,0.0,1.0
2018-05-22,39.07,38.81,39.07,39.14,38.74,1286375.0,0.0,1.0
2018-05-23,38.51,38.82,38.51,38.88,38.21,1196505.0,0.0,1.0
2018-05-24,38.54,38.43,38.54,38.67,38.11,1782273.0,0.0,1.0
2018-05-25,38.69,38.31,38.69,38.83,38.24,1667348.0,0.0,1.0
2018-05-29,37.19,38.05,37.19,38.35,36.91,2077315.0,0.0,1.0
2018-05-30,38.15,37.72,38.15,38.25,37.39,2050205.0,0.0,1.0
2018-05-31,38.81,38.13,38.81,39.07,37.87,5107934.0,0.0,1.0
2018-06-01,39.12,39.25,39.12,39.68,39.06,2354520.0,0.0,1.0
2018-06-04,38.91,39.09,38.91,39.47,38.9,2767207.0,0.0,1.0
2018-06-05,38.63,38.71,38.63,38.94,37.98,1686963.0,0.0,1.0
2018-06-06,38.97,38.86,38.97,39.41,38.7556,2103664.0,0.0,1.0
2018-06-07,39.25,39.1,39.25,39.4,38.92,1597146.0,0.0,1.0
2018-06-08,39.35,39.32,39.35,39.64,39.12,1566961.0,0.0,1.0
2018-06-11,39.37,39.6,39.37,39.8,39.29,1124765.0,0.0,1.0
2018-06-12,39.13,39.12,39.13,39.37,38.9212,2214653.0,0.0,1.0
2018-06-13,38.92,39.14,38.92,39.34,38.6901,2703202.0,0.0,1.0
2018-06-14,38.83,38.93,38.83,39.125,38.61,2318788.0,0.0,1.0
2018-06-15,39.14,38.62,39.14,39.21,38.23,3155390.0,0.0,1.0
2018-06-18,38.61,38.79,38.61,38.94,38.31,1334327.0,0.0,1.0
2018-06-19,38.53,38.26,38.53,38.64,38.21,1613582.0,0.0,1.0
2018-06-20,38.03,38.6,38.03,38.785,37.99,1277554.0,0.0,1.0
2018-06-21,37.88,37.97,37.88,38.13,37.7,1111480.0,0.0,1.0
2018-06-22,37.99,38.17,37.99,38.34,37.89,2693999.0,0.0,1.0
2018-06-25,38.11,37.93,38.11,38.36,37.75,1546029.0,0.0,1.0
2018-06-26,37.88,38.18,37.88,38.18,37.54,1440142.0,0.0,1.0
2018-06-27,36.64,37.8,36.64,38.0,36.56,1750016.0,0.0,1.0
2018-06-28,36.94,36.63,36.94,37.17,36.1525,1602774.0,0.0,1.0
