date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,90.46,87.78,89.0333,91.12,86.75,6330783.0,0.0,1.0
2018-02-07,89.84,90.43,88.423,92.55,89.84,4335928.0,0.0,1.0
2018-02-08,86.77,89.63,85.4015,90.37,86.75,3933513.0,0.0,1.0
2018-02-09,88.22,87.63,86.8286,89.37,85.26,5448855.0,0.0,1.0
2018-02-12,88.84,88.25,88.2262,89.69,88.13,4015223.0,0.8,1.0
2018-02-13,89.48,88.33,88.8618,89.8,88.16,3630900.0,0.0,1.0
2018-02-14,92.63,88.86,91.99,93.04,88.7801,4874130.0,0.0,1.0
2018-02-15,93.0,93.56,92.3575,94.22,91.581,4049625.0,0.0,1.0
2018-02-16,93.27,93.01,92.6256,94.41,92.41,2526249.0,0.0,1.0
2018-02-20,91.58,93.11,90.9473,93.89,91.05,3077805.0,0.0,1.0
2018-02-21,90.83,91.5,90.2025,92.75,90.81,1982239.0,0.0,1.0
2018-02-22,92.05,90.99,91.414,93.24,90.99,3035728.0,0.0,1.0
2018-02-23,92.46,92.68,91.8212,92.9,91.66,2027085.0,0.0,1.0
2018-02-26,93.31,93.11,92.6653,93.8126,92.66,2558428.0,0.0,1.0
2018-02-27,92.77,93.36,92.129,95.25,92.73,2890751.0,0.0,1.0
2018-02-28,90.42,93.0,89.7953,93.47,90.4,2731770.0,0.0,1.0
2018-03-01,90.82,90.53,90.1925,92.42,89.79,3035876.0,0.0,1.0
2018-03-02,92.2,90.06,91.563,92.62,89.57,3485040.0,0.0,1.0
2018-03-05,91.56,91.51,90.9274,92.35,90.08,4656722.0,0.0,1.0
2018-03-06,91.72,91.88,91.0863,92.765,91.0,2852301.0,0.0,1.0
2018-03-07,92.04,90.75,91.4041,92.85,90.695,2616836.0,0.0,1.0
2018-03-08,93.31,92.1,92.6653,93.46,91.1,3059029.0,0.0,1.0
2018-03-09,94.32,93.93,93.6683,95.4,93.85,3017618.0,0.0,1.0
2018-03-12,92.69,94.01,92.0496,94.48,92.53,3005815.0,0.0,1.0
2018-03-13,93.49,93.02,92.8441,94.95,92.8,4294881.0,0.0,1.0
2018-03-14,92.66,93.67,92.0198,94.1,92.49,2738073.0,0.0,1.0
2018-03-15,92.33,93.1,91.6921,93.39,90.52,2774927.0,0.0,1.0
2018-03-16,93.79,92.39,93.142,94.04,92.39,5248654.0,0.0,1.0
2018-03-19,92.94,93.22,92.2979,93.44,92.166,2317942.0,0.0,1.0
2018-03-20,94.47,93.54,93.8173,95.87,93.47,3344048.0,0.0,1.0
2018-03-21,95.45,94.71,94.7905,96.41,94.49,3046620.0,0.0,1.0
2018-03-22,93.04,94.39,92.3972,95.11,92.95,3263744.0,0.0,1.0
2018-03-23,91.22,93.79,90.5898,94.505,91.11,3140262.0,0.0,1.0
2018-03-26,94.25,92.38,93.5988,94.47,92.34,3098458.0,0.0,1.0
2018-03-27,92.27,94.29,91.6325,94.66,91.11,3752324.0,0.0,1.0
2018-03-28,90.28,92.6,89.6563,92.95,90.22,3864839.0,0.0,1.0
2018-03-29,92.77,91.22,92.129,92.89,91.12,4173881.0,0.0,1.0
2018-04-02,91.56,92.25,90.9274,92.73,89.75,2788538.0,0.0,1.0
2018-04-03,92.7,92.2,92.0595,92.76,91.34,2930597.0,0.0,1.0
2018-04-04,93.35,91.09,92.705,93.62,89.97,3659638.0,0.0,1.0
2018-04-05,95.86,93.83,95.1977,96.22,93.71,3766292.0,0.0,1.0
2018-04-06,95.18,95.06,94.5224,96.0,93.77,3432020.0,0.0,1.0
2018-04-09,96.01,95.82,95.3467,97.2,95.56,3653831.0,0.0,1.0
2018-04-10,98.89,97.37,98.2068,99.22,97.07,3505714.0,0.0,1.0
2018-04-11,100.31,98.98,99.617,100.91,98.34,3506946.0,0.0,1.0
2018-04-12,100.53,100.65,99.8354,101.28,99.65,3245123.0,0.0,1.0
2018-04-13,101.83,101.35,101.1265,102.23,100.46,2641150.0,0.0,1.0
2018-04-16,105.49,102.26,104.7612,106.3499,102.13,5876430.0,0.0,1.0
2018-04-17,106.69,105.63,105.9529,106.94,104.085,3669149.0,0.0,1.0
2018-04-18,107.54,107.26,106.797,108.83,106.7,3904816.0,0.0,1.0
2018-04-19,108.2,107.54,107.4524,108.59,106.33,3240458.0,0.0,1.0
2018-04-20,108.55,107.85,107.8,108.61,107.38,2795114.0,0.0,1.0
2018-04-23,109.26,108.75,108.5051,109.27,107.48,2162817.0,0.0,1.0
2018-04-24,108.29,109.35,107.5418,110.95,107.66,3279747.0,0.0,1.0
2018-04-25,108.68,107.78,107.9291,109.21,106.27,3798865.0,0.0,1.0
2018-04-26,111.54,109.79,110.7694,111.82,106.95,4912242.0,0.0,1.0
2018-04-27,109.78,111.61,109.0215,112.3,109.32,2658727.0,0.0,1.0
2018-04-30,110.93,110.08,110.1636,113.32,109.86,5667668.0,0.0,1.0
2018-05-01,110.72,110.26,109.955,111.06,108.77,3680774.0,0.0,1.0
2018-05-02,112.25,110.55,111.4745,113.47,110.55,5677387.0,0.0,1.0
2018-05-03,113.37,111.77,112.5867,113.89,110.96,3576427.0,0.0,1.0
2018-05-04,113.39,113.0,112.6066,113.92,111.93,2922966.0,0.0,1.0
2018-05-07,113.67,114.16,112.8846,115.48,113.34,3449932.0,0.0,1.0
2018-05-08,113.19,113.06,112.408,113.25,111.034,6102241.0,0.0,1.0
2018-05-09,114.82,113.95,114.0267,115.84,113.52,4159784.0,0.0,1.0
2018-05-10,114.49,115.54,113.699,115.989,113.98,5038726.0,0.0,1.0
2018-05-11,114.63,114.655,113.838,115.14,114.15,2773365.0,0.0,1.0
2018-05-14,115.87,115.2,115.0694,116.2,114.99,3935966.0,0.0,1.0
2018-05-15,115.9,115.89,115.0992,116.43,114.82,3541287.0,0.0,1.0
2018-05-16,114.99,114.94,114.99,115.26,113.87,2691937.0,0.8,1.0
2018-05-17,119.71,116.46,119.71,121.04,116.33,5888468.0,0.0,1.0
2018-05-18,120.56,120.05,120.56,120.88,119.02,3906497.0,0.0,1.0
2018-05-21,122.06,121.53,122.06,122.38,120.23,2992626.0,0.0,1.0
2018-05-22,120.15,121.86,120.15,122.68,119.66,3253265.0,0.0,1.0
2018-05-23,121.05,119.27,121.05,121.74,118.53,3395780.0,0.0,1.0
2018-05-24,121.88,120.1,121.88,122.94,119.565,3158321.0,0.0,1.0
2018-05-25,118.73,120.4,118.73,120.46,117.65,3581608.0,0.0,1.0
2018-05-29,119.47,118.29,119.47,121.46,118.21,3025589.0,0.0,1.0
2018-05-30,122.21,120.7,122.21,123.03,120.06,2995951.0,0.0,1.0
2018-05-31,121.2,121.86,121.2,124.77,120.911,5480938.0,0.0,1.0
2018-06-01,123.78,122.08,123.78,124.74,121.46,2941882.0,0.0,1.0
2018-06-04,124.44,124.63,124.44,126.98,124.25,3792047.0,0.0,1.0
2018-06-05,123.33,124.18,123.33,124.43,122.74,3392478.0,0.0,1.0
2018-06-06,121.2,123.0,121.2,123.47,119.94,3554163.0,0.0,1.0
