date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,67.79,66.66,67.1821,68.24,66.0101,2213526.0,0.0,1.0
2018-02-07,67.3,67.56,66.6965,69.16,67.28,1315053.0,0.0,1.0
2018-02-08,66.18,67.24,65.5866,68.91,66.15,2613263.0,0.0,1.0
2018-02-09,67.69,66.49,67.083,68.26,65.64,1584505.0,0.0,1.0
2018-02-12,67.6,67.79,66.9939,68.01,65.49,1577927.0,0.0,1.0
2018-02-13,67.46,67.54,66.8551,67.975,66.15,2082254.0,0.0,1.0
2018-02-14,66.08,66.8,65.4875,66.88,65.29,2124167.0,0.0,1.0
2018-02-15,67.15,66.18,66.5479,67.26,66.03,1215107.0,0.0,1.0
2018-02-16,67.66,67.03,67.0533,68.03,66.8,938241.0,0.0,1.0
2018-02-20,67.29,67.36,66.6866,68.44,67.15,1440031.0,0.0,1.0
2018-02-21,65.19,67.03,64.6055,67.41,65.16,1426354.0,0.0,1.0
2018-02-22,66.53,65.52,65.9334,67.07,65.52,1178224.0,0.0,1.0
2018-02-23,67.67,66.91,67.0632,67.69,66.17,558398.0,0.0,1.0
2018-02-26,68.1,67.68,67.4894,68.18,67.27,677952.0,0.0,1.0
2018-02-27,66.4,68.14,65.8046,68.48,66.21,1135773.0,0.0,1.0
2018-02-28,66.47,66.88,65.874,67.45,66.42,1390635.0,0.0,1.0
2018-03-01,66.3,66.17,65.7055,67.3,65.9,978433.0,0.0,1.0
2018-03-02,66.39,66.0,65.7947,66.46,65.41,973833.0,0.0,1.0
2018-03-05,67.22,66.0,66.6173,67.69,65.97,1564734.0,0.0,1.0
2018-03-06,67.6,67.34,66.9939,67.69,66.68,902761.0,0.0,1.0
2018-03-07,67.64,67.14,67.0335,67.79,66.9,721911.0,0.0,1.0
2018-03-08,67.62,67.98,67.0137,67.98,67.28,754789.0,0.0,1.0
2018-03-09,68.21,67.84,67.5984,68.25,66.61,888466.0,0.0,1.0
2018-03-12,68.36,68.09,67.747,68.89,67.92,2124345.0,0.0,1.0
2018-03-13,68.22,68.44,67.6083,68.765,67.85,740687.0,0.0,1.0
2018-03-14,68.22,68.43,67.6083,68.5,67.69,694032.0,0.0,1.0
2018-03-15,68.62,68.42,68.0047,68.76,67.995,683213.0,0.0,1.0
2018-03-16,69.51,68.69,68.8867,69.66,68.45,1366934.0,0.0,1.0
2018-03-19,68.43,69.24,67.8164,69.24,68.02,796626.0,0.0,1.0
2018-03-20,68.08,68.61,67.4695,68.92,67.45,1516962.0,0.0,1.0
2018-03-21,67.64,68.09,67.0335,68.36,67.33,729113.0,0.0,1.0
2018-03-22,67.16,67.41,66.5578,68.43,67.1,1856704.0,0.0,1.0
2018-03-23,65.15,67.27,64.5658,67.39,64.8,1522031.0,0.0,1.0
2018-03-26,65.16,65.7,64.5757,66.01,64.47,982445.0,0.0,1.0
2018-03-27,65.96,65.11,65.3686,67.08,64.1345,1117727.0,0.0,1.0
2018-03-28,67.52,66.3,66.9146,67.69,66.3,1224899.0,0.0,1.0
2018-03-29,67.3,67.6,66.6965,67.97,67.03,853667.0,0.0,1.0
2018-04-02,66.8,67.41,66.201,67.71,66.35,1255446.0,0.0,1.0
2018-04-03,67.15,66.74,66.5479,67.52,66.21,1121961.0,0.0,1.0
2018-04-04,67.43,66.72,66.8254,67.7,66.52,1457048.0,0.0,1.0
2018-04-05,67.77,67.46,67.1623,67.85,67.04,966483.0,0.0,1.0
2018-04-06,66.74,67.47,66.1416,68.09,66.48,587702.0,0.0,1.0
2018-04-09,66.61,66.83,66.0127,67.24,66.355,619116.0,0.0,1.0
2018-04-10,67.29,66.99,66.6866,67.67,66.52,670689.0,0.0,1.0
2018-04-11,66.75,66.96,66.1515,67.62,66.66,642279.0,0.0,1.0
2018-04-12,66.0,66.88,65.4082,66.91,65.69,855945.0,0.0,1.0
2018-04-13,66.5,66.19,65.9037,66.54,65.695,538973.0,0.0,1.0
2018-04-16,67.25,66.65,66.647,67.47,66.34,669513.0,0.0,1.0
