date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,95.01,93.53,95.01,95.44,92.401,1192288.0,0.0,1.0
2018-02-07,94.69,94.61,94.69,96.4,94.52,904117.0,0.0,1.0
2018-02-08,92.28,94.7,92.28,95.49,92.24,862488.0,0.0,1.0
2018-02-09,92.91,92.98,92.91,93.54,90.6,1018899.0,0.0,1.0
2018-02-12,94.3,93.58,94.3,95.13,92.89,899105.0,0.0,1.0
2018-02-13,94.88,93.94,94.88,95.0799,92.6181,750750.0,0.0,1.0
2018-02-14,96.63,94.37,96.63,96.78,93.52,904368.0,0.0,1.0
2018-02-15,98.23,97.4,98.23,98.23,96.51,931700.0,0.0,1.0
2018-02-16,98.79,98.17,98.79,99.68,98.17,2027878.0,0.0,1.0
2018-02-20,97.04,98.51,97.04,98.51,96.59,1461215.0,0.0,1.0
2018-02-21,99.23,100.0,99.23,102.0,99.0,1852150.0,0.0,1.0
2018-02-22,99.61,100.62,99.61,101.69,98.99,1674855.0,0.0,1.0
2018-02-23,101.54,100.0,101.54,101.57,99.18,769101.0,0.0,1.0
2018-02-26,103.59,101.83,103.59,103.62,101.79,1005416.0,0.0,1.0
2018-02-27,103.07,103.85,103.07,103.86,103.04,945864.0,0.0,1.0
2018-02-28,102.19,103.67,102.19,103.72,102.16,734959.0,0.0,1.0
2018-03-01,101.06,102.0,101.06,102.675,100.0,996719.0,0.0,1.0
2018-03-02,101.37,100.19,101.37,101.59,99.3,1140587.0,0.0,1.0
2018-03-05,103.09,101.27,103.09,103.34,100.86,857713.0,0.0,1.0
2018-03-06,104.27,103.31,104.27,104.55,103.075,1012699.0,0.0,1.0
2018-03-07,104.13,103.63,104.13,104.3,103.08,636523.0,0.0,1.0
2018-03-08,104.38,104.33,104.38,104.68,103.76,783971.0,0.0,1.0
2018-03-09,105.84,104.95,105.84,106.01,104.65,1111190.0,0.0,1.0
2018-03-12,104.86,105.82,104.86,106.07,104.68,632992.0,0.0,1.0
2018-03-13,104.48,105.29,104.48,105.54,104.13,611066.0,0.0,1.0
2018-03-14,104.09,104.91,104.09,105.0,103.91,500351.0,0.0,1.0
2018-03-15,104.26,104.25,104.26,104.705,103.58,551917.0,0.0,1.0
2018-03-16,104.77,104.3,104.77,105.38,104.16,906320.0,0.0,1.0
2018-03-19,103.95,104.49,103.95,104.56,103.1,696376.0,0.0,1.0
2018-03-20,105.24,104.25,105.24,105.59,104.25,569971.0,0.0,1.0
2018-03-21,105.05,105.07,105.05,105.87,104.8,414951.0,0.0,1.0
2018-03-22,103.99,104.02,103.99,105.37,103.06,1112453.0,0.0,1.0
2018-03-23,102.11,104.04,102.11,104.27,102.05,652368.0,0.0,1.0
2018-03-26,103.59,103.55,103.59,103.72,101.74,585694.0,0.0,1.0
2018-03-27,101.66,103.84,101.66,104.39,101.05,760849.0,0.0,1.0
2018-03-28,101.76,101.91,101.76,102.8,101.35,448632.0,0.0,1.0
2018-03-29,104.0,102.42,104.0,104.6,101.61,1275401.0,0.0,1.0
2018-04-02,101.59,103.31,101.59,103.41,100.32,1006388.0,0.0,1.0
2018-04-03,103.5,101.82,103.5,103.959,101.46,887040.0,0.0,1.0
2018-04-04,104.52,102.34,104.52,104.8,102.34,848955.0,0.0,1.0
2018-04-05,105.45,104.84,105.45,105.745,104.61,805287.0,0.0,1.0
2018-04-06,104.13,104.57,104.13,105.62,103.375,1267335.0,0.0,1.0
2018-04-09,104.77,104.56,104.77,106.06,104.32,964353.0,0.0,1.0
2018-04-10,106.47,106.24,106.47,106.89,105.39,1027113.0,0.0,1.0
2018-04-11,106.05,106.03,106.05,106.77,105.72,654548.0,0.0,1.0
2018-04-12,106.34,106.41,106.34,106.925,105.395,537106.0,0.0,1.0
2018-04-13,105.42,106.6,105.42,106.79,105.18,742346.0,0.0,1.0
2018-04-16,106.91,106.35,106.91,107.13,105.94,483647.0,0.0,1.0
2018-04-17,107.38,107.71,107.38,108.45,106.91,844437.0,0.0,1.0
2018-04-18,107.99,107.75,107.99,108.115,106.28,655560.0,0.0,1.0
2018-04-19,107.57,107.95,107.57,108.21,106.9,586933.0,0.0,1.0
2018-04-20,107.38,107.82,107.38,108.58,107.02,571389.0,0.0,1.0
2018-04-23,107.65,107.73,107.65,107.94,107.2,589467.0,0.0,1.0
2018-04-24,106.98,108.32,106.98,108.33,106.59,1025848.0,0.0,1.0
2018-04-25,106.62,106.82,106.62,107.01,106.01,642364.0,0.0,1.0
2018-04-26,106.64,106.86,106.64,107.09,105.74,933979.0,0.0,1.0
2018-04-27,107.12,106.7,107.12,107.5,106.55,727381.0,0.0,1.0
2018-04-30,106.45,107.18,106.45,107.76,106.43,821568.0,0.0,1.0
2018-05-01,106.69,106.47,106.69,107.45,105.58,1314792.0,0.0,1.0
2018-05-02,100.0,105.5,100.0,105.5,99.86,3128187.0,0.0,1.0
