date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,53.19,52.32,52.3549,53.36,51.8,3602819.0,0.0,1.0
2018-02-07,52.97,53.13,52.1384,54.12,52.82,3193618.0,0.0,1.0
2018-02-08,50.92,52.8,50.1206,52.92,50.92,6371025.0,0.0,1.0
2018-02-09,51.59,50.05,50.7801,52.01,49.17,5881703.0,0.0,1.0
2018-02-12,50.46,51.65,49.6678,51.91,49.47,3983392.0,0.0,1.0
2018-02-13,50.72,50.38,49.9237,50.9,49.58,3169160.0,0.0,1.0
2018-02-14,49.62,50.31,48.841,50.44,49.348,2853728.0,0.0,1.0
2018-02-15,50.64,49.62,49.845,50.75,49.62,2632840.0,0.0,1.0
2018-02-16,51.39,50.79,50.5832,51.64,50.71,2448403.0,0.0,1.0
2018-02-20,50.27,51.11,49.4808,51.56,50.26,2268248.0,0.0,1.0
2018-02-21,49.34,50.29,48.5654,50.4,49.33,2283363.0,0.0,1.0
2018-02-22,49.67,49.58,48.8902,50.3299,49.12,1910392.0,0.0,1.0
2018-02-23,50.51,49.95,49.717,50.52,49.5,1921142.0,0.0,1.0
2018-02-26,50.73,50.67,49.9336,50.74,50.19,1962114.0,0.0,1.0
2018-02-27,48.91,50.73,48.1421,50.93,48.91,2648961.0,0.0,1.0
2018-02-28,48.32,49.18,47.5614,49.36,48.3,3261135.0,0.0,1.0
2018-03-01,49.58,48.18,48.8016,49.72,47.9712,3591089.0,0.0,1.0
2018-03-02,49.86,49.5,49.0772,50.09,49.21,3333704.0,0.0,1.0
2018-03-05,50.77,49.86,49.9729,51.29,49.8,3753213.0,0.0,1.0
2018-03-06,50.45,50.64,49.658,50.79,49.6805,2153833.0,0.0,1.0
2018-03-07,51.22,50.3,50.4159,51.24,49.99,2288361.0,0.0,1.0
2018-03-08,50.52,50.97,49.7269,50.97,49.98,4351629.0,0.0,1.0
2018-03-09,49.69,50.46,48.9099,50.61,49.26,3637182.0,0.0,1.0
2018-03-12,50.38,49.61,49.5891,50.5,49.56,4058889.0,0.0,1.0
2018-03-13,50.35,50.85,49.5595,51.22,50.01,4125476.0,0.0,1.0
2018-03-14,49.68,50.31,48.9,50.5,49.02,4625248.0,0.0,1.0
2018-03-15,49.46,49.66,48.6835,49.99,49.05,3618098.0,0.0,1.0
2018-03-16,50.15,49.38,49.3627,50.27,49.18,4054222.0,0.0,1.0
2018-03-19,49.53,50.08,48.7524,50.1,49.15,2337085.0,0.0,1.0
2018-03-20,49.0,49.5,48.2307,50.02,48.84,2784530.0,0.0,1.0
2018-03-21,48.46,48.9,47.6992,49.09,48.01,2570422.0,0.0,1.0
2018-03-22,49.32,48.5,48.5457,49.985,48.42,4211895.0,0.0,1.0
2018-03-23,48.11,49.42,47.3547,49.53,47.945,2837311.0,0.0,1.0
2018-03-26,48.21,48.41,47.4531,48.4603,47.8,2078473.0,0.0,1.0
2018-03-27,49.01,48.28,48.2406,49.63,47.82,2213185.0,0.0,1.0
2018-03-28,50.46,49.17,49.6678,50.79,49.14,3420242.0,0.0,1.0
2018-03-29,49.53,49.7,49.53,49.88,49.14,2605742.0,0.79,1.0
2018-04-02,49.39,49.67,49.39,50.31,49.04,2561612.0,0.0,1.0
2018-04-03,49.56,49.46,49.56,49.98,48.47,2604670.0,0.0,1.0
2018-04-04,50.32,49.35,50.32,50.7,49.12,2088815.0,0.0,1.0
2018-04-05,50.04,50.3,50.04,50.37,49.45,2312721.0,0.0,1.0
2018-04-06,50.42,50.13,50.42,50.85,50.04,2514666.0,0.0,1.0
2018-04-09,49.81,50.53,49.81,50.6,49.44,1971571.0,0.0,1.0
2018-04-10,49.27,50.14,49.27,50.14,49.15,2988743.0,0.0,1.0
2018-04-11,49.0,49.25,49.0,49.94,48.94,1890631.0,0.0,1.0
2018-04-12,48.35,49.0,48.35,49.11,47.8562,2288225.0,0.0,1.0
2018-04-13,48.54,48.32,48.54,48.55,47.91,1565092.0,0.0,1.0
2018-04-16,48.68,48.63,48.68,48.85,48.14,1798681.0,0.0,1.0
2018-04-17,48.84,48.78,48.84,49.33,48.5,1850075.0,0.0,1.0
2018-04-18,48.61,48.95,48.61,49.1,48.595,1721094.0,0.0,1.0
2018-04-19,47.8,48.5,47.8,48.555,47.49,2267299.0,0.0,1.0
2018-04-20,47.01,47.83,47.01,47.88,46.8,2294432.0,0.0,1.0
