date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,50.83,49.44,50.1988,51.0,49.07,34418621.0,0.0,1.0
2018-02-07,51.01,50.63,50.3765,51.93,50.5,15815876.0,0.0,1.0
2018-02-08,49.04,50.89,48.431,51.08,49.0,23163318.0,0.0,1.0
2018-02-09,49.88,49.6,49.2606,50.3,48.37,27568342.0,0.0,1.0
2018-02-12,50.11,50.22,49.4877,50.66,49.58,16813337.0,0.0,1.0
2018-02-13,50.08,49.91,49.4581,50.26,49.17,11747356.0,0.0,1.0
2018-02-14,49.51,49.76,48.8952,50.1,49.32,17449018.0,0.0,1.0
2018-02-15,49.74,49.55,49.1223,49.78,48.95,18813057.0,0.0,1.0
2018-02-16,50.15,49.69,49.5272,50.455,49.69,12088455.0,0.0,1.0
2018-02-20,48.92,49.84,48.3125,49.89,48.76,20876974.0,0.0,1.0
2018-02-21,47.96,48.8,47.3644,48.86,47.94,20629442.0,0.0,1.0
2018-02-22,47.87,48.25,47.2755,48.7,47.78,19929551.0,0.0,1.0
2018-02-23,48.29,48.09,47.6903,48.3,47.535,25729913.0,0.0,1.0
2018-02-26,49.09,48.72,48.4804,49.15,48.45,20263749.0,0.0,1.0
2018-02-27,48.04,49.02,47.4434,49.17,48.04,22942551.0,0.0,1.0
2018-02-28,47.74,48.76,47.1471,48.96,47.72,21029334.0,0.0,1.0
2018-03-01,47.96,47.69,47.3644,48.6,47.51,28950158.0,0.0,1.0
2018-03-02,48.26,47.83,47.6607,48.325,47.76,17449857.0,0.0,1.0
2018-03-05,48.71,48.15,48.1051,48.94,48.02,15348432.0,0.0,1.0
2018-03-06,48.89,48.75,48.2829,48.89,48.3,13526912.0,0.0,1.0
2018-03-07,48.84,48.54,48.2335,49.21,48.46,16738156.0,0.0,1.0
2018-03-08,49.01,48.89,48.4014,49.03,48.32,16723890.0,0.0,1.0
2018-03-09,49.01,49.2,48.4014,49.23,48.35,14567728.0,0.0,1.0
2018-03-12,48.8,49.03,48.194,49.26,48.67,12416230.0,0.0,1.0
2018-03-13,48.65,49.0,48.0458,49.26,48.5,12750573.0,0.0,1.0
2018-03-14,48.45,48.93,47.8483,49.1,48.355,11908054.0,0.0,1.0
2018-03-15,48.29,48.53,47.6903,48.765,48.14,9528752.0,0.0,1.0
2018-03-16,48.56,48.41,47.957,48.775,48.215,25633256.0,0.0,1.0
2018-03-19,48.31,48.53,47.7101,48.61,48.12,11314607.0,0.0,1.0
2018-03-20,47.69,48.4,47.0978,48.59,47.58,10654128.0,0.0,1.0
2018-03-21,47.28,47.69,46.6929,47.96,47.27,11039354.0,0.0,1.0
2018-03-22,46.88,47.1,46.2978,47.5199,46.77,14210836.0,0.0,1.0
2018-03-23,46.29,47.06,45.7152,47.455,46.2,15829967.0,0.0,1.0
2018-03-26,47.07,46.78,46.4855,47.17,46.585,15253706.0,0.0,1.0
2018-03-27,47.31,47.1,46.7225,47.9024,46.84,13995096.0,0.0,1.0
2018-03-28,48.0,47.89,47.4039,48.56,47.83,17727973.0,0.0,1.0
2018-03-29,47.82,48.2,47.2262,48.73,47.57,17305531.0,0.0,1.0
2018-04-02,47.16,47.62,46.5743,47.9399,46.72,16511150.0,0.0,1.0
2018-04-03,47.5,47.22,46.9101,47.53,46.71,14841286.0,0.0,1.0
2018-04-04,47.93,47.16,47.3348,47.99,46.9,12376358.0,0.0,1.0
2018-04-05,48.24,47.98,47.6409,48.345,47.6762,13201329.0,0.0,1.0
2018-04-06,47.48,48.1,46.8904,48.28,47.27,16071594.0,0.0,1.0
2018-04-09,46.92,47.03,46.92,47.5,46.8032,13475316.0,0.59,1.0
2018-04-10,48.27,47.2,48.27,48.97,46.985,24445280.0,0.0,1.0
2018-04-11,47.58,47.93,47.58,47.99,47.48,11695589.0,0.0,1.0
2018-04-12,47.74,47.87,47.74,48.14,47.44,8837914.0,0.0,1.0
2018-04-13,47.66,47.91,47.66,47.98,47.51,7301958.0,0.0,1.0
2018-04-16,48.39,47.95,48.39,48.46,47.86,8885499.0,0.0,1.0
2018-04-17,48.85,48.59,48.85,49.035,48.31,11575542.0,0.0,1.0
2018-04-18,48.62,49.0,48.62,49.06,48.57,8347722.0,0.0,1.0
2018-04-19,48.43,48.6,48.43,48.96,48.38,11174180.0,0.0,1.0
2018-04-20,47.9,48.31,47.9,48.62,47.21,18224650.0,0.0,1.0
2018-04-23,48.66,48.2,48.66,48.72,47.97,14211613.0,0.0,1.0
2018-04-24,49.67,49.92,49.67,50.39,49.14,20920383.0,0.0,1.0
2018-04-25,50.1,50.06,50.1,50.16,49.24,19892453.0,0.0,1.0
2018-04-26,49.76,49.6,49.76,50.04,49.44,14121924.0,0.0,1.0
2018-04-27,51.57,50.25,51.57,51.69,50.16,25986194.0,0.0,1.0
2018-04-30,49.35,51.4,49.35,51.65,49.34,28938874.0,0.0,1.0
2018-05-01,48.82,49.49,48.82,49.65,48.24,16101415.0,0.0,1.0
2018-05-02,47.75,48.79,47.75,48.86,47.485,18515922.0,0.0,1.0
2018-05-03,47.84,47.72,47.84,47.855,47.36,16114050.0,0.0,1.0
2018-05-04,48.19,47.5,48.19,48.32,47.49,10669251.0,0.0,1.0
2018-05-07,47.73,48.18,47.73,48.32,47.565,12892149.0,0.0,1.0
2018-05-08,47.02,47.54,47.02,47.6,46.73,16716868.0,0.0,1.0
2018-05-09,46.38,47.0,46.38,47.18,46.085,23083283.0,0.0,1.0
2018-05-10,47.2,46.68,47.2,47.29,46.52,15727538.0,0.0,1.0
2018-05-11,48.62,48.07,48.62,49.07,47.92,22872785.0,0.0,1.0
2018-05-14,48.49,48.67,48.49,48.9,48.28,10362551.0,0.0,1.0
2018-05-15,47.79,48.15,47.79,48.285,47.62,12655376.0,0.0,1.0
2018-05-16,47.86,47.79,47.86,48.09,47.66,9798768.0,0.0,1.0
2018-05-17,47.85,47.86,47.85,48.0399,47.66,8907477.0,0.0,1.0
2018-05-18,47.74,47.84,47.74,47.89,47.32,11384434.0,0.0,1.0
2018-05-21,48.43,47.79,48.43,48.5,47.74,8588842.0,0.0,1.0
2018-05-22,48.81,48.33,48.81,49.305,48.26,18539779.0,0.0,1.0
2018-05-23,48.59,48.74,48.59,48.975,48.33,14027780.0,0.0,1.0
2018-05-24,48.64,48.89,48.64,49.0,48.47,13580440.0,0.0,1.0
2018-05-25,48.52,48.59,48.52,48.65,48.24,7947952.0,0.0,1.0
2018-05-29,48.2,48.3,48.2,48.455,47.86,13035266.0,0.0,1.0
2018-05-30,48.6,48.49,48.6,48.72,48.24,10459125.0,0.0,1.0
2018-05-31,47.67,48.52,47.67,48.53,47.515,27288271.0,0.0,1.0
2018-06-01,47.81,47.89,47.81,48.0,47.61,9967144.0,0.0,1.0
2018-06-04,47.82,48.05,47.82,48.16,47.73,9012564.0,0.0,1.0
2018-06-05,47.97,47.78,47.97,48.19,47.77,10378001.0,0.0,1.0
2018-06-06,48.41,48.16,48.41,48.44,47.79,12924849.0,0.0,1.0
2018-06-07,49.01,47.96,49.01,49.26,47.85,19674255.0,0.0,1.0
2018-06-08,49.18,48.45,49.18,49.2,48.43,15399258.0,0.0,1.0
