date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,71.79,69.1,70.9431,72.19,68.301,6578900.0,0.0,1.0
2018-02-07,71.53,71.34,70.6862,73.2,71.16,4263765.0,0.0,1.0
2018-02-08,68.22,71.57,67.4153,71.85,68.2,5561704.0,0.0,1.0
2018-02-09,68.46,68.88,67.6524,69.3,66.34,6664994.0,0.0,1.0
2018-02-12,68.46,68.62,67.6524,69.44,67.87,3983393.0,0.0,1.0
2018-02-13,68.29,67.87,67.4844,70.515,67.48,6768494.0,0.0,1.0
2018-02-14,68.49,67.6,68.0773,69.3,67.6,5481037.0,0.4,1.0
2018-02-15,69.78,68.99,69.3596,69.78,68.3,4516569.0,0.0,1.0
2018-02-16,70.92,69.99,70.4927,71.37,69.94,4378838.0,0.0,1.0
2018-02-20,70.91,70.82,70.4828,71.725,70.19,5165643.0,0.0,1.0
2018-02-21,69.63,70.93,69.2105,71.28,69.54,4571083.0,0.0,1.0
2018-02-22,69.67,69.72,69.2502,70.17,69.31,4610813.0,0.0,1.0
2018-02-23,70.36,70.32,69.9361,70.5,69.09,3026503.0,0.0,1.0
2018-02-26,70.6,70.45,70.1746,70.69,69.5,3198456.0,0.0,1.0
2018-02-27,69.14,70.79,68.7234,71.0,68.51,6178837.0,0.0,1.0
2018-02-28,68.89,69.39,68.4749,70.01,68.68,7715151.0,0.0,1.0
2018-03-01,70.2,69.06,69.777,71.12,68.96,7299826.0,0.0,1.0
2018-03-02,70.58,69.55,70.1548,70.75,69.4303,4682145.0,0.0,1.0
2018-03-05,70.55,70.04,70.1249,70.67,69.3866,7464715.0,0.0,1.0
2018-03-06,69.79,70.55,69.3695,70.55,68.82,4498261.0,0.0,1.0
2018-03-07,69.5,69.26,69.0813,70.25,68.98,4161368.0,0.0,1.0
2018-03-08,68.97,69.81,68.5545,70.16,68.5,4549367.0,0.0,1.0
2018-03-09,70.6,69.22,70.1746,70.69,68.575,3786190.0,0.0,1.0
2018-03-12,70.15,70.65,69.7273,71.18,69.95,4733949.0,0.0,1.0
2018-03-13,69.86,70.64,69.4391,70.71,69.5,3891325.0,0.0,1.0
2018-03-14,68.55,70.01,68.137,70.5,68.0,5703080.0,0.0,1.0
2018-03-15,67.38,68.58,66.974,68.97,67.08,4751102.0,0.0,1.0
2018-03-16,67.57,67.69,67.1629,68.11,67.175,9816630.0,0.0,1.0
2018-03-19,66.62,67.47,66.2186,67.695,66.22,3949645.0,0.0,1.0
2018-03-20,66.05,66.71,65.652,67.0,65.455,4135770.0,0.0,1.0
2018-03-21,66.27,65.96,65.8707,67.14,65.68,3639088.0,0.0,1.0
2018-03-22,65.83,65.79,65.4334,67.135,65.58,4166487.0,0.0,1.0
2018-03-23,65.43,66.06,65.0358,66.75,65.36,6035326.0,0.0,1.0
2018-03-26,67.47,66.13,67.0635,67.59,66.12,5229588.0,0.0,1.0
2018-03-27,65.96,67.84,65.5626,67.97,65.675,7173312.0,0.0,1.0
2018-03-28,67.59,67.49,67.1828,68.0,65.82,10125350.0,0.0,1.0
2018-03-29,65.47,67.67,65.0755,68.0,64.76,8242458.0,0.0,1.0
2018-04-02,63.1,65.1,62.7198,65.45,62.4781,7805270.0,0.0,1.0
2018-04-03,63.17,63.53,62.7894,63.56,61.735,10657153.0,0.0,1.0
2018-04-04,65.51,62.6,65.1153,66.0079,62.6,8451760.0,0.0,1.0
2018-04-05,64.65,65.74,64.2605,65.93,64.535,6018513.0,0.0,1.0
2018-04-06,63.47,64.36,63.0876,64.7899,63.19,5110909.0,0.0,1.0
2018-04-09,62.85,63.55,62.4713,63.82,62.67,3984288.0,0.0,1.0
2018-04-10,63.76,63.48,63.3758,63.99,62.69,4764281.0,0.0,1.0
2018-04-11,64.11,63.36,63.7237,64.5,63.1,5842454.0,0.0,1.0
2018-04-12,64.04,64.28,63.6542,64.62,63.62,4292822.0,0.0,1.0
2018-04-13,63.82,64.54,63.4355,64.54,63.25,3390863.0,0.0,1.0
2018-04-16,66.22,64.19,65.821,68.15,63.92,9646030.0,0.0,1.0
2018-04-17,65.97,66.71,65.5725,67.0,64.8834,7946294.0,0.0,1.0
2018-04-18,66.26,66.0,65.8608,66.79,66.0,3058184.0,0.0,1.0
2018-04-19,65.28,66.09,64.8867,66.3,64.86,3205348.0,0.0,1.0
2018-04-20,63.92,64.87,63.5349,65.28,63.74,5919509.0,0.0,1.0
2018-04-23,64.6,64.25,64.2108,64.7,63.81,4430646.0,0.0,1.0
2018-04-24,65.0,65.08,64.6084,65.65,64.4,4423606.0,0.0,1.0
2018-04-25,65.95,64.99,65.5527,66.23,64.38,4315364.0,0.0,1.0
2018-04-26,66.74,66.08,66.3379,67.15,65.83,4891203.0,0.0,1.0
2018-04-27,67.11,66.56,66.7057,67.88,66.37,4572317.0,0.0,1.0
2018-04-30,66.45,67.53,66.0496,67.75,66.22,4399099.0,0.0,1.0
2018-05-01,65.42,65.37,65.0258,66.23,64.63,5056741.0,0.0,1.0
2018-05-02,63.65,65.56,63.2665,65.6,63.17,5411323.0,0.0,1.0
2018-05-03,62.23,63.42,61.8551,63.5,61.88,6938868.0,0.0,1.0
2018-05-04,63.81,62.18,63.4255,64.15,61.76,5523656.0,0.0,1.0
2018-05-07,62.3,63.85,61.9246,64.0,62.03,5334645.0,0.0,1.0
2018-05-08,62.36,62.3,61.9843,62.6,61.56,5406914.0,0.0,1.0
2018-05-09,62.94,62.49,62.5608,63.1,62.12,3739191.0,0.0,1.0
2018-05-10,63.81,63.27,63.4255,64.26,63.2,4288276.0,0.0,1.0
2018-05-11,64.09,63.85,63.7039,64.56,62.64,6189141.0,0.0,1.0
2018-05-14,65.1,64.26,64.7078,65.22,64.1324,4792015.0,0.0,1.0
2018-05-15,64.61,64.58,64.2207,65.38,63.9919,4984071.0,0.0,1.0
2018-05-16,65.74,64.71,65.3439,66.0,64.61,4159535.0,0.0,1.0
2018-05-17,65.99,65.23,65.99,66.04,65.02,3983008.0,0.4,1.0
2018-05-18,64.34,65.93,64.34,65.93,64.1,3388176.0,0.0,1.0
2018-05-21,64.5,64.49,64.5,65.095,64.26,3168105.0,0.0,1.0
2018-05-22,64.23,64.83,64.23,65.82,64.14,4307452.0,0.0,1.0
2018-05-23,63.91,63.78,63.91,64.0,62.685,4964625.0,0.0,1.0
2018-05-24,63.41,63.79,63.41,64.0,62.7,3573015.0,0.0,1.0
2018-05-25,63.53,63.5,63.53,64.15,63.19,3412089.0,0.0,1.0
2018-05-29,62.7,63.3,62.7,63.67,62.505,4749783.0,0.0,1.0
2018-05-30,63.54,63.0,63.54,63.86,62.69,3272104.0,0.0,1.0
2018-05-31,62.39,63.58,62.39,63.58,62.12,6508734.0,0.0,1.0
2018-06-01,62.86,62.56,62.86,63.31,62.15,3225489.0,0.0,1.0
2018-06-04,63.3,63.09,63.3,63.42,62.7,3564184.0,0.0,1.0
2018-06-05,62.89,63.18,62.89,63.24,62.44,6999079.0,0.0,1.0
2018-06-06,63.15,63.1,63.15,63.32,62.73,5455583.0,0.0,1.0
2018-06-07,63.6,63.15,63.6,64.01,63.0,5614607.0,0.0,1.0
2018-06-08,63.4,63.67,63.4,64.06,62.97,3857623.0,0.0,1.0
2018-06-11,64.06,63.38,64.06,64.39,63.07,3394693.0,0.0,1.0
2018-06-12,63.7,64.16,63.7,64.194,63.17,5173272.0,0.0,1.0
2018-06-13,63.91,63.31,63.91,64.43,63.31,5571777.0,0.0,1.0
2018-06-14,64.87,64.11,64.87,65.0,63.9,5645570.0,0.0,1.0
2018-06-15,65.8,65.0,65.8,65.82,64.57,10733576.0,0.0,1.0
2018-06-18,64.15,65.45,64.15,65.55,63.88,4933411.0,0.0,1.0
2018-06-19,64.61,63.69,64.61,64.76,63.67,5534293.0,0.0,1.0
2018-06-20,68.0,66.72,68.0,68.26,65.63,13923877.0,0.0,1.0
2018-06-21,67.79,68.5,67.79,68.8699,66.92,8303558.0,0.0,1.0
2018-06-22,67.61,67.84,67.61,68.27,67.465,10441265.0,0.0,1.0
2018-06-25,67.24,67.35,67.24,68.04,66.35,17147782.0,0.0,1.0
2018-06-26,66.57,67.19,66.57,67.44,65.42,8473030.0,0.0,1.0
2018-06-27,66.26,66.44,66.26,67.44,65.87,6327482.0,0.0,1.0
2018-06-28,59.7,60.39,59.7,61.0,59.07,40329609.0,0.0,1.0
