date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,84.25,80.58,83.2475,84.6,80.25,4604045.0,0.0,1.0
2018-02-07,83.71,83.95,82.714,85.32,83.1,3649968.0,0.0,1.0
2018-02-08,80.09,83.65,79.137,84.41,80.089,3240263.0,0.0,1.0
2018-02-09,80.59,80.8,79.6311,81.98,77.9,4330540.0,0.0,1.0
2018-02-12,82.34,81.25,81.3603,83.06,81.25,3281687.0,0.0,1.0
2018-02-13,82.97,81.86,81.9828,83.46,81.58,2796508.0,0.0,1.0
2018-02-14,83.33,81.9,82.3385,83.59,81.9,3245437.0,0.0,1.0
2018-02-15,84.54,83.87,83.5341,84.62,82.96,3103259.0,0.0,1.0
2018-02-16,84.91,84.29,83.8997,86.32,84.23,2975052.0,0.0,1.0
2018-02-20,86.46,84.13,85.4313,87.349,84.11,3721448.0,0.0,1.0
2018-02-21,85.67,86.29,84.6507,87.54,85.62,2575119.0,0.0,1.0
2018-02-22,85.53,85.94,84.5123,87.26,85.27,2257411.0,0.0,1.0
2018-02-23,89.14,86.98,88.0794,89.32,86.5,4226763.0,0.0,1.0
2018-02-26,89.22,89.14,88.1584,89.52,88.22,2719764.0,0.0,1.0
2018-02-27,87.19,89.42,86.1526,89.93,86.975,3378689.0,0.0,1.0
2018-02-28,87.04,88.14,86.0044,88.59,87.01,2806200.0,0.0,1.0
2018-03-01,87.27,87.42,86.2316,88.82,86.31,3554450.0,0.0,1.0
2018-03-02,88.25,86.28,87.2,88.4,86.03,2505386.0,0.0,1.0
2018-03-05,89.95,88.0,88.8797,90.31,87.99,3410615.0,0.0,1.0
2018-03-06,93.8,91.13,92.6839,94.14,90.69,6593604.0,0.0,1.0
2018-03-07,95.27,92.75,94.1364,96.94,92.75,6005016.0,0.0,1.0
2018-03-08,97.22,95.5,96.0632,97.91,95.38,4039515.0,0.0,1.0
2018-03-09,99.55,97.9,98.3655,100.0,97.55,4521710.0,0.0,1.0
2018-03-12,102.86,100.0,101.6361,103.1099,99.76,5748427.0,0.0,1.0
2018-03-13,102.91,103.19,101.6855,106.3,102.64,6868878.0,0.0,1.0
2018-03-14,103.2,103.45,101.9721,104.6,101.38,3962958.0,0.0,1.0
2018-03-15,102.23,103.12,101.0136,103.41,101.67,2628920.0,0.0,1.0
2018-03-16,106.45,103.88,105.1834,106.96,103.43,7171430.0,0.0,1.0
2018-03-19,103.16,105.99,101.9325,106.39,102.415,4349803.0,0.0,1.0
2018-03-20,103.67,103.54,102.4365,104.5,103.115,2395792.0,0.0,1.0
2018-03-21,102.84,103.69,101.6164,104.6,102.76,2358697.0,0.0,1.0
2018-03-22,100.83,101.58,99.6303,102.74,100.39,3178394.0,0.0,1.0
2018-03-23,92.34,98.41,91.2413,99.32,92.32,8480481.0,0.0,1.0
2018-03-26,94.27,94.21,93.1483,94.51,91.61,4349903.0,0.0,1.0
2018-03-27,92.18,94.93,91.0832,95.7,91.58,3243163.0,0.0,1.0
2018-03-28,90.8,91.82,90.2137,92.87,90.22,2808189.0,0.5,1.0
2018-03-29,92.27,91.28,91.6742,93.26,90.57,3373036.0,0.0,1.0
2018-04-02,89.99,92.51,89.4089,93.41,88.9,3404662.0,0.0,1.0
2018-04-03,91.21,90.58,90.621,91.79,89.3006,2337571.0,0.0,1.0
2018-04-04,92.51,88.09,91.9126,92.78,88.09,2315051.0,0.0,1.0
2018-04-05,90.53,93.08,89.9454,93.3863,90.07,2320362.0,0.0,1.0
2018-04-06,87.77,89.48,87.2032,90.62,87.15,3690666.0,0.0,1.0
2018-04-09,88.56,88.62,87.9881,90.985,88.3907,2362844.0,0.0,1.0
2018-04-10,90.72,90.52,90.1342,92.3,90.13,3009592.0,0.0,1.0
2018-04-11,89.63,89.9,89.0512,90.84,89.42,2641722.0,0.0,1.0
2018-04-12,90.5,90.39,89.9156,91.22,89.95,2322350.0,0.0,1.0
2018-04-13,89.93,91.21,89.3493,91.91,89.48,2868584.0,0.0,1.0
2018-04-16,90.52,90.56,89.9355,90.6006,89.0411,2525118.0,0.0,1.0
2018-04-17,91.37,91.27,90.78,91.88,90.8,2151145.0,0.0,1.0
2018-04-18,91.7,90.2,91.1079,92.06,89.11,3020461.0,0.0,1.0
2018-04-19,89.51,90.62,88.932,91.5499,88.64,2380184.0,0.0,1.0
2018-04-20,89.56,89.17,88.9817,91.5,88.79,3558513.0,0.0,1.0
2018-04-23,87.0,90.08,86.4382,90.14,86.64,3362710.0,0.0,1.0
2018-04-24,86.43,88.07,85.8719,89.78,85.8702,3454081.0,0.0,1.0
2018-04-25,85.92,86.44,85.3652,86.95,83.855,2609210.0,0.0,1.0
2018-04-26,87.91,87.3,87.3423,88.39,86.54,4334875.0,0.0,1.0
2018-04-27,80.88,86.21,80.3577,87.21,80.6,9130316.0,0.0,1.0
2018-04-30,78.79,80.7,78.2812,82.0,76.7,7565280.0,0.0,1.0
2018-05-01,79.79,78.2222,79.2748,80.43,78.2222,4525676.0,0.0,1.0
2018-05-02,76.77,79.48,76.2743,79.77,76.69,5421935.0,0.0,1.0
2018-05-03,76.98,76.62,76.4829,77.48,75.96,4527430.0,0.0,1.0
2018-05-04,77.28,76.64,76.781,77.76,76.05,4778124.0,0.0,1.0
2018-05-07,78.52,77.73,78.013,79.17,77.445,4521026.0,0.0,1.0
2018-05-08,77.73,78.5,77.2281,78.8999,77.03,2777076.0,0.0,1.0
2018-05-09,78.45,78.06,77.9434,78.695,77.14,3473117.0,0.0,1.0
2018-05-10,79.04,79.04,78.5296,79.23,78.1,3281816.0,0.0,1.0
2018-05-11,78.8,79.0,78.2912,79.83,78.58,3030440.0,0.0,1.0
2018-05-14,81.12,80.94,80.5962,82.97,80.6301,6276882.0,0.0,1.0
2018-05-15,82.98,82.31,82.4442,83.3,81.01,5904029.0,0.0,1.0
2018-05-16,87.02,83.5,86.4581,87.14,83.35,7123789.0,0.0,1.0
2018-05-17,86.52,86.76,85.9613,87.73,85.701,4025468.0,0.0,1.0
2018-05-18,84.75,85.81,84.2027,86.71,84.4,3432893.0,0.0,1.0
2018-05-21,86.53,86.63,85.9712,87.461,85.95,4036799.0,0.0,1.0
2018-05-22,87.87,88.1532,87.3026,88.62,87.25,4248853.0,0.0,1.0
2018-05-23,88.5,86.96,87.9285,88.53,86.4085,4422501.0,0.0,1.0
2018-05-24,87.46,88.05,86.8952,88.62,86.8744,4804288.0,0.0,1.0
2018-05-25,86.35,87.1,85.7924,87.92,86.08,2816559.0,0.0,1.0
2018-05-29,86.49,85.73,85.9315,87.26,85.6235,2964325.0,0.0,1.0
2018-05-30,86.53,87.15,85.9712,87.25,86.05,3051260.0,0.0,1.0
2018-05-31,83.51,86.3,82.9707,86.91,83.43,4896130.0,0.0,1.0
2018-06-01,85.87,84.21,85.3155,85.975,83.6,3748733.0,0.0,1.0
2018-06-04,84.85,85.42,84.3021,85.48,83.77,4238296.0,0.0,1.0
2018-06-05,85.9,85.5,85.3453,86.1,85.12,2851060.0,0.0,1.0
2018-06-06,84.72,86.5,84.1729,87.16,84.57,4804032.0,0.0,1.0
2018-06-07,82.6,84.69,82.0666,84.8319,80.64,8824114.0,0.0,1.0
2018-06-08,82.62,81.74,82.0865,82.85,81.15,2873971.0,0.0,1.0
2018-06-11,83.0,82.43,82.464,83.49,82.31,3916614.0,0.0,1.0
2018-06-12,82.12,83.33,81.5897,83.33,81.37,4004206.0,0.0,1.0
