date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-26,54.4,54.61,53.5635,54.67,53.42,2582871.0,0.0,1.0
2018-02-27,52.22,54.35,51.417,54.71,52.22,3190327.0,0.0,1.0
2018-02-28,52.5,54.9,51.6927,54.9,51.85,3342649.0,0.0,1.0
2018-03-01,52.65,52.05,51.8404,53.4382,51.63,2684605.0,0.0,1.0
2018-03-02,52.93,52.48,52.1161,53.01,52.1,2385856.0,0.0,1.0
2018-03-05,54.07,52.65,53.2386,54.21,52.65,3113707.0,0.0,1.0
2018-03-06,52.86,53.63,52.0472,53.92,52.28,3070529.0,0.0,1.0
2018-03-07,53.97,52.78,53.1401,54.07,52.65,2579971.0,0.0,1.0
2018-03-08,53.57,53.93,52.7463,54.09,53.34,2198055.0,0.0,1.0
2018-03-09,53.56,53.71,52.7364,53.71,53.06,2120678.0,0.0,1.0
2018-03-12,54.73,53.51,53.8884,54.82,53.3,2789172.0,0.0,1.0
2018-03-13,53.76,55.13,52.9334,55.24,53.65,2989427.0,0.0,1.0
2018-03-14,53.53,53.79,52.7069,54.11,53.1186,1845136.0,0.0,1.0
2018-03-15,53.75,53.64,52.9235,53.95,53.5,2168171.0,0.0,1.0
2018-03-16,54.0,53.62,53.1697,54.18,53.39,3555101.0,0.0,1.0
2018-03-19,53.25,53.88,52.4312,54.09,52.835,1828231.0,0.0,1.0
2018-03-20,53.15,53.29,52.3327,53.84,52.99,2295628.0,0.0,1.0
2018-03-21,52.45,52.94,51.6435,53.2,51.87,3051611.0,0.0,1.0
2018-03-22,52.75,52.42,51.9389,54.1499,52.33,2691437.0,0.0,1.0
2018-03-23,52.03,52.85,51.23,53.06,51.87,2421829.0,0.0,1.0
2018-03-26,52.14,52.38,51.3383,52.5,51.9,1648553.0,0.0,1.0
2018-03-27,53.28,52.14,52.4607,53.95,51.72,2085483.0,0.0,1.0
2018-03-28,54.86,53.46,54.0164,55.42,53.41,3770609.0,0.0,1.0
2018-03-29,54.43,54.85,53.5931,54.86,54.03,2897364.0,0.0,1.0
2018-04-02,53.97,54.37,53.1401,54.54,53.645,2311956.0,0.0,1.0
2018-04-03,53.75,54.16,52.9235,54.16,52.8,2906410.0,0.0,1.0
2018-04-04,55.16,53.57,54.3118,55.5135,53.39,2637255.0,0.0,1.0
2018-04-05,54.73,55.01,53.8884,55.01,53.91,2565736.0,0.0,1.0
2018-04-06,55.01,54.97,54.1641,55.87,54.72,2814139.0,0.0,1.0
2018-04-09,54.49,55.01,53.6521,55.01,53.9601,2129041.0,0.0,1.0
2018-04-10,54.0,54.62,53.1697,54.71,53.88,2183477.0,0.0,1.0
2018-04-11,53.99,53.71,53.1598,54.86,53.71,1658866.0,0.0,1.0
2018-04-12,52.54,53.95,51.7321,53.95,52.27,3191925.0,0.0,1.0
2018-04-13,52.63,52.35,51.8207,52.63,51.815,2014691.0,0.0,1.0
2018-04-16,52.54,52.66,51.7321,52.77,51.93,2629425.0,0.0,1.0
2018-04-17,53.38,52.75,52.5592,53.66,52.57,2345931.0,0.0,1.0
2018-04-18,52.84,53.4,52.0275,53.58,52.7,1587587.0,0.0,1.0
2018-04-19,51.92,52.71,51.1217,53.0,51.27,2066668.0,0.0,1.0
2018-04-20,51.18,52.09,50.393,52.27,51.09,2146407.0,0.0,1.0
2018-04-23,50.68,51.11,49.9007,51.24,50.37,2071871.0,0.0,1.0
2018-04-24,51.02,50.75,50.2355,51.57,50.13,2514839.0,0.0,1.0
2018-04-25,50.52,50.75,49.7432,51.02,49.58,2709182.0,0.0,1.0
2018-04-26,50.01,50.66,49.241,51.055,49.6,4997202.0,0.0,1.0
2018-04-27,52.88,50.94,52.0669,53.23,50.3,4565616.0,0.0,1.0
2018-04-30,53.44,53.05,52.6183,53.51,52.37,3894748.0,0.0,1.0
2018-05-01,54.86,53.56,54.0164,55.33,53.36,4965920.0,0.0,1.0
2018-05-02,55.05,54.61,54.2035,55.22,53.6,4050303.0,0.0,1.0
2018-05-03,55.49,55.14,54.6368,55.995,54.72,2365231.0,0.0,1.0
2018-05-04,56.18,55.42,55.3162,56.28,55.4,2354535.0,0.0,1.0
2018-05-07,55.71,55.38,55.71,55.76,55.1,2491642.0,0.87,1.0
2018-05-08,55.14,55.5,55.14,55.52,54.81,2927662.0,0.0,1.0
2018-05-09,55.38,54.87,55.38,55.46,54.58,2091868.0,0.0,1.0
2018-05-10,56.14,55.66,56.14,56.14,55.56,1371938.0,0.0,1.0
2018-05-11,56.25,56.2,56.25,56.5,55.77,1725807.0,0.0,1.0
2018-05-14,55.51,56.03,55.51,56.07,55.15,1805642.0,0.0,1.0
2018-05-15,54.84,55.1,54.84,55.5,54.64,2834153.0,0.0,1.0
2018-05-16,54.84,55.1,54.84,55.25,54.58,2141594.0,0.0,1.0
2018-05-17,53.93,54.82,53.93,54.82,53.775,1836833.0,0.0,1.0
2018-05-18,54.27,53.53,54.27,54.77,53.53,4423643.0,0.0,1.0
2018-05-21,55.18,54.88,55.18,55.465,53.76,1862333.0,0.0,1.0
2018-05-22,55.68,55.18,55.68,56.06,54.55,2055605.0,0.0,1.0
2018-05-23,56.78,55.91,56.78,56.97,55.845,2562850.0,0.0,1.0
2018-05-24,56.25,56.81,56.25,56.9,55.82,1737042.0,0.0,1.0
2018-05-25,56.87,56.11,56.87,56.9,56.11,1460251.0,0.0,1.0
2018-05-29,57.03,56.8,57.03,57.31,56.49,1988938.0,0.0,1.0
2018-05-30,57.54,56.88,57.54,57.8,56.49,1613971.0,0.0,1.0
2018-05-31,57.65,57.38,57.65,57.74,57.18,2165625.0,0.0,1.0
2018-06-01,58.02,57.54,58.02,58.42,57.54,1473508.0,0.0,1.0
2018-06-04,57.77,58.16,57.77,58.33,57.32,1640986.0,0.0,1.0
2018-06-05,57.41,57.98,57.41,58.195,57.39,2038162.0,0.0,1.0
2018-06-06,57.53,57.5,57.53,57.81,56.86,1377386.0,0.0,1.0
2018-06-07,57.59,57.52,57.59,57.95,57.15,1603524.0,0.0,1.0
2018-06-08,57.99,57.78,57.99,58.06,57.51,977826.0,0.0,1.0
2018-06-11,58.3,58.0,58.3,58.4,57.675,1308421.0,0.0,1.0
2018-06-12,58.31,58.01,58.31,58.6,57.91,2353726.0,0.0,1.0
2018-06-13,56.83,58.25,56.83,58.64,56.8,2362541.0,0.0,1.0
2018-06-14,57.64,57.0,57.64,57.94,57.0,1636357.0,0.0,1.0
2018-06-15,57.5,57.75,57.5,58.06,57.4,2888003.0,0.0,1.0
2018-06-18,57.0,57.4,57.0,57.76,56.6,1372073.0,0.0,1.0
2018-06-19,57.21,56.95,57.21,57.92,56.905,1861087.0,0.0,1.0
2018-06-20,58.38,57.14,58.38,58.5,57.03,1403529.0,0.0,1.0
2018-06-21,58.8,58.48,58.8,58.98,58.03,1576746.0,0.0,1.0
2018-06-22,59.05,58.8,59.05,59.21,58.38,2089092.0,0.0,1.0
2018-06-25,59.3,59.07,59.3,59.59,58.331,1716504.0,0.0,1.0
2018-06-26,59.44,59.58,59.44,59.89,59.25,2174470.0,0.0,1.0
2018-06-27,59.91,59.67,59.91,60.21,59.25,1751490.0,0.0,1.0
2018-06-28,62.36,60.02,62.36,63.45,59.56,3803737.0,0.0,1.0
