date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,158.4,154.98,157.1512,159.02,153.1056,779072.0,0.0,1.0
2018-02-07,157.38,157.66,156.1393,160.14,156.97,965397.0,0.0,1.0
2018-02-08,152.36,158.17,151.1589,160.7,152.25,783812.0,0.0,1.0
2018-02-09,152.14,154.15,150.9406,155.275,147.1,921421.0,0.0,1.0
2018-02-12,154.15,153.29,152.9347,155.67,152.28,536519.0,0.0,1.0
2018-02-13,155.31,153.34,154.0856,156.065,152.71,441653.0,0.0,1.0
2018-02-14,159.25,154.42,157.9945,159.55,153.76,665652.0,0.0,1.0
2018-02-15,159.62,159.89,158.3616,161.13,158.62,321433.0,0.0,1.0
2018-02-16,159.23,159.19,157.9747,160.74,158.25,431230.0,0.0,1.0
2018-02-20,159.65,159.15,158.3914,160.75,158.88,633628.0,0.0,1.0
2018-02-21,157.57,159.5,156.3278,160.39,157.49,426149.0,0.0,1.0
2018-02-22,156.53,158.25,155.296,160.4,155.89,408875.0,0.0,1.0
2018-02-23,159.96,156.98,158.6989,160.19,156.7629,333463.0,0.0,1.0
2018-02-26,161.21,160.17,159.9391,161.38,159.77,340746.0,0.0,1.0
2018-02-27,161.01,161.65,159.7407,163.05,160.45,581040.0,0.0,1.0
2018-02-28,157.9,161.33,156.6552,162.64,157.86,653267.0,0.0,1.0
2018-03-01,154.99,158.39,153.7681,159.59,154.38,425337.0,0.0,1.0
2018-03-02,154.92,154.3,153.6987,155.27,152.7,598256.0,0.0,1.0
2018-03-05,156.92,154.08,155.6829,157.79,153.6,397742.0,0.0,1.0
2018-03-06,157.43,157.12,156.1889,158.22,155.71,376090.0,0.0,1.0
2018-03-07,158.85,156.56,157.5977,159.21,156.56,467590.0,0.0,1.0
2018-03-08,159.57,159.01,158.312,159.905,158.16,545885.0,0.0,1.0
2018-03-09,164.14,160.41,162.846,164.18,158.995,487566.0,0.0,1.0
2018-03-12,162.96,163.52,161.6753,164.39,162.17,313290.0,0.0,1.0
2018-03-13,162.39,163.81,161.1098,164.155,161.59,395355.0,0.0,1.0
2018-03-14,161.53,163.13,160.2566,163.3,161.17,314097.0,0.0,1.0
2018-03-15,162.28,163.21,161.0007,163.99,161.455,335263.0,0.0,1.0
2018-03-16,162.8,162.28,161.5166,163.99,160.75,665303.0,0.0,1.0
2018-03-19,159.18,162.35,157.9251,162.9,158.74,731972.0,0.0,1.0
2018-03-20,159.54,159.99,158.2823,160.425,159.19,780502.0,0.0,1.0
2018-03-21,158.15,159.92,156.9032,160.26,158.09,548328.0,0.0,1.0
2018-03-22,154.66,157.13,153.4407,158.65,154.56,478232.0,0.0,1.0
2018-03-23,151.51,155.28,150.3156,157.03,151.35,486143.0,0.0,1.0
2018-03-26,154.14,152.22,152.9248,154.33,150.65,773805.0,0.0,1.0
2018-03-27,151.38,154.04,150.1866,154.73,150.62,593318.0,0.0,1.0
2018-03-28,151.29,150.42,150.6926,153.615,149.69,682213.0,0.6,1.0
2018-03-29,152.19,151.99,151.589,153.615,151.58,615710.0,0.0,1.0
2018-04-02,148.99,152.35,148.4016,152.5,146.92,640405.0,0.0,1.0
2018-04-03,148.22,149.43,147.6347,150.05,146.81,606757.0,0.0,1.0
2018-04-04,148.95,146.37,148.3618,149.24,146.02,608391.0,0.0,1.0
2018-04-05,148.5,149.67,147.9136,151.99,148.37,479907.0,0.0,1.0
2018-04-06,146.15,147.74,145.5729,148.735,145.15,501882.0,0.0,1.0
2018-04-09,146.0,146.05,145.4235,148.4,145.74,528018.0,0.0,1.0
2018-04-10,147.02,146.87,146.4394,148.27,146.48,577119.0,0.0,1.0
2018-04-11,147.03,146.0,146.4494,147.635,145.32,530774.0,0.0,1.0
2018-04-12,147.89,147.5,147.306,148.86,146.95,510804.0,0.0,1.0
2018-04-13,150.08,149.91,149.4873,150.8325,149.28,608880.0,0.0,1.0
2018-04-16,152.12,150.35,151.5193,154.03,142.67,659729.0,0.0,1.0
2018-04-17,152.94,152.85,152.3361,154.4,152.54,522482.0,0.0,1.0
2018-04-18,152.66,153.81,152.0572,154.14,152.54,398054.0,0.0,1.0
2018-04-19,152.69,152.55,152.087,154.69,150.99,479636.0,0.0,1.0
2018-04-20,151.41,153.07,150.8121,153.385,150.58,512265.0,0.0,1.0
2018-04-23,151.06,151.5,150.4635,152.61,150.165,486909.0,0.0,1.0
