date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,100.9,97.64,99.6799,101.08,97.25,15393215.0,0.0,1.0
2018-02-07,102.85,100.5,101.6063,104.59,100.01,10705874.0,0.0,1.0
2018-02-08,100.02,103.23,98.8105,103.48,100.0,13848475.0,0.0,1.0
2018-02-09,99.37,100.53,98.1684,101.1,96.43,14131046.0,0.0,1.0
2018-02-12,99.55,100.13,98.3462,100.445,98.8,8996723.0,0.0,1.0
2018-02-13,100.98,99.33,99.7589,101.22,99.33,6602126.0,0.0,1.0
2018-02-14,101.7,100.86,100.4702,102.25,100.21,7285595.0,0.0,1.0
2018-02-15,103.23,102.55,101.9817,103.64,101.83,7452261.0,0.0,1.0
2018-02-16,104.78,103.09,103.513,104.94,101.9818,15901913.0,0.0,1.0
2018-02-20,94.11,96.99,92.972,97.94,94.1,50927197.0,0.0,1.0
2018-02-21,91.52,95.11,90.4133,95.34,91.2401,49076400.0,0.0,1.0
2018-02-22,92.77,91.43,91.6482,93.39,91.31,20165244.0,0.0,1.0
2018-02-23,92.89,92.88,91.7668,93.49,91.76,12648314.0,0.0,1.0
2018-02-26,93.12,92.9,91.994,93.8,92.22,13846263.0,0.0,1.0
2018-02-27,91.52,93.63,90.4133,93.72,91.51,13176541.0,0.0,1.0
2018-02-28,90.01,92.0,88.9216,92.1,90.0,14027170.0,0.0,1.0
2018-03-01,89.08,90.17,88.0028,90.18,87.7101,18909571.0,0.0,1.0
2018-03-02,88.77,87.27,87.6966,88.9,87.24,19043367.0,0.0,1.0
2018-03-05,89.98,88.14,88.8919,90.5,88.0714,13383214.0,0.0,1.0
2018-03-06,89.06,90.35,87.9831,90.5,88.63,11054682.0,0.0,1.0
2018-03-07,87.74,87.98,86.679,88.53,87.335,11453034.0,0.0,1.0
2018-03-08,87.92,87.77,87.3706,88.1301,87.34,9419014.0,0.52,1.0
2018-03-09,88.72,88.24,88.1656,88.72,87.53,9723234.0,0.0,1.0
2018-03-12,88.07,88.7,87.5196,89.44,87.88,8212498.0,0.0,1.0
2018-03-13,88.3,88.39,87.7482,88.9,87.9801,7092501.0,0.0,1.0
2018-03-14,87.67,88.51,87.1221,88.99,87.5,11021885.0,0.0,1.0
2018-03-15,87.51,87.68,86.9631,88.79,85.903,16136617.0,0.0,1.0
2018-03-16,89.17,87.72,88.6128,90.09,87.5,28057241.0,0.0,1.0
2018-03-19,87.45,88.91,86.9035,89.075,87.1,10774186.0,0.0,1.0
2018-03-20,87.95,87.86,87.4004,88.147,87.37,8040214.0,0.0,1.0
2018-03-21,88.18,87.89,87.6289,89.68,87.68,11687930.0,0.0,1.0
2018-03-22,87.14,87.53,86.5954,88.27,86.99,11338049.0,0.0,1.0
2018-03-23,85.42,87.35,84.8862,87.74,85.28,9762296.0,0.0,1.0
2018-03-26,87.5,86.22,86.9532,87.69,86.11,8640866.0,0.0,1.0
2018-03-27,86.05,87.96,85.5123,88.04,85.48,6395554.0,0.0,1.0
2018-03-28,87.77,86.26,87.2215,88.24,86.19,11576255.0,0.0,1.0
2018-03-29,88.97,87.9,88.414,89.34,87.77,9274565.0,0.0,1.0
2018-04-02,85.55,88.0,85.0154,88.24,84.84,19128893.0,0.0,1.0
2018-04-03,86.8,86.25,86.2576,86.95,85.55,9695513.0,0.0,1.0
2018-04-04,87.22,85.6,86.6749,87.495,85.44,6536578.0,0.0,1.0
2018-04-05,87.81,87.6,87.2613,88.345,87.05,6380937.0,0.0,1.0
2018-04-06,86.69,86.83,86.1483,87.9,86.13,6349953.0,0.0,1.0
2018-04-09,86.28,86.85,85.7408,87.45,86.24,8368142.0,0.0,1.0
2018-04-10,86.45,86.84,85.9098,87.1,85.66,9728223.0,0.0,1.0
2018-04-11,85.91,86.0,85.3731,86.86,85.8,6278985.0,0.0,1.0
2018-04-12,85.43,86.19,84.8961,86.83,85.41,6856320.0,0.0,1.0
2018-04-13,86.02,85.89,85.4824,86.27,85.1901,7559151.0,0.0,1.0
2018-04-16,86.84,86.2,86.2973,87.65,86.1201,7020673.0,0.0,1.0
2018-04-17,87.9,87.48,87.3507,88.17,87.41,6801912.0,0.0,1.0
2018-04-18,87.57,88.2,87.0228,88.56,87.51,5854040.0,0.0,1.0
