date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,64.55,62.98,63.6567,64.62,62.001,3181300.0,0.0,1.0
2018-02-07,64.42,64.39,63.5285,65.94,64.14,2428005.0,0.0,1.0
2018-02-08,60.93,64.06,60.0868,64.38,60.89,2284826.0,0.0,1.0
2018-02-09,62.33,61.89,61.4674,62.87,60.1652,1977573.0,0.0,1.0
2018-02-12,63.27,63.22,62.3944,63.71,62.36,1630975.0,0.0,1.0
2018-02-13,63.43,63.07,62.5522,63.49,62.77,1034980.0,0.0,1.0
2018-02-14,64.3,62.77,63.4101,64.36,62.77,1539367.0,0.0,1.0
2018-02-15,64.91,64.76,64.4357,64.99,63.68,1855817.0,0.43,1.0
2018-02-16,66.32,64.6,65.8354,66.68,64.51,2374491.0,0.0,1.0
2018-02-20,65.11,66.01,64.6343,66.27,64.92,1540563.0,0.0,1.0
2018-02-21,65.13,65.03,64.6541,66.21,64.87,1842711.0,0.0,1.0
2018-02-22,65.28,65.63,64.803,65.85,64.785,1592904.0,0.0,1.0
2018-02-23,66.11,65.79,65.627,66.16,65.3,1280320.0,0.0,1.0
2018-02-26,67.33,66.67,66.838,67.48,66.28,1553356.0,0.0,1.0
2018-02-27,66.66,67.18,66.1729,67.78,66.66,1205025.0,0.0,1.0
2018-02-28,65.76,67.45,65.2795,67.47,65.72,1308078.0,0.0,1.0
2018-03-01,64.97,65.54,64.4953,66.02,64.36,1373464.0,0.0,1.0
2018-03-02,65.4,64.57,64.9221,65.57,63.75,1274092.0,0.0,1.0
2018-03-05,66.0,64.84,65.5178,66.18,64.7,1319133.0,0.0,1.0
2018-03-06,66.4,66.29,65.9148,66.75,65.14,1703828.0,0.0,1.0
2018-03-07,66.2,65.73,65.7163,66.54,65.32,1285056.0,0.0,1.0
2018-03-08,66.05,66.5,65.5674,66.61,65.6,1246384.0,0.0,1.0
2018-03-09,67.07,66.31,66.5799,67.07,65.9,1134190.0,0.0,1.0
2018-03-12,67.05,67.32,66.5601,67.32,66.76,1596394.0,0.0,1.0
2018-03-13,67.01,67.51,66.5204,67.96,66.96,1311732.0,0.0,1.0
2018-03-14,66.2,67.22,65.7163,67.2899,66.18,1690516.0,0.0,1.0
2018-03-15,66.51,66.15,66.024,67.03,66.15,1340985.0,0.0,1.0
2018-03-16,66.37,66.58,65.8851,66.68,65.81,3020838.0,0.0,1.0
2018-03-19,64.82,66.32,64.3464,66.32,64.45,1626880.0,0.0,1.0
2018-03-20,64.58,65.24,64.1081,65.39,64.1575,1222732.0,0.0,1.0
2018-03-21,64.84,64.54,64.3662,65.49,64.235,1248397.0,0.0,1.0
2018-03-22,62.74,64.25,62.2816,64.49,62.69,1415119.0,0.0,1.0
2018-03-23,61.04,62.62,60.594,63.27,60.98,1842270.0,0.0,1.0
2018-03-26,63.83,61.9,63.3636,63.9,61.9,1827485.0,0.0,1.0
2018-03-27,63.45,63.84,62.9864,64.71,63.1401,1464233.0,0.0,1.0
2018-03-28,63.16,63.77,62.6985,64.14,62.95,1416327.0,0.0,1.0
2018-03-29,64.17,63.69,63.7011,64.74,63.2205,1552808.0,0.0,1.0
2018-04-02,61.95,64.02,61.4973,64.26,60.93,1747915.0,0.0,1.0
2018-04-03,63.17,62.31,62.7084,63.25,61.84,1086892.0,0.0,1.0
2018-04-04,63.86,62.04,63.3934,63.92,62.03,1196368.0,0.0,1.0
2018-04-05,64.45,64.75,63.9791,64.78,63.76,1374247.0,0.0,1.0
2018-04-06,62.65,63.71,62.1922,63.94,62.28,1780045.0,0.0,1.0
2018-04-09,63.0,63.02,62.5397,63.68,62.77,1105211.0,0.0,1.0
2018-04-10,64.56,64.04,64.0883,65.01,64.0,1350425.0,0.0,1.0
2018-04-11,64.25,63.92,63.7805,64.62,63.68,739090.0,0.0,1.0
2018-04-12,64.84,64.77,64.3662,65.05,64.47,823792.0,0.0,1.0
2018-04-13,65.0,65.44,64.5251,65.5277,64.73,893688.0,0.0,1.0
2018-04-16,65.36,65.93,64.8824,66.02,65.21,1327958.0,0.0,1.0
2018-04-17,66.1,65.94,65.617,66.23,65.41,1063976.0,0.0,1.0
2018-04-18,66.36,66.15,65.8751,66.78,65.93,1072851.0,0.0,1.0
2018-04-19,66.61,66.7,66.1233,67.01,66.15,735170.0,0.0,1.0
2018-04-20,66.27,66.88,65.7858,66.97,65.43,1355003.0,0.0,1.0
2018-04-23,66.37,66.42,65.8851,66.6,65.98,1041327.0,0.0,1.0
2018-04-24,64.7,66.75,64.2273,66.75,64.13,1539222.0,0.0,1.0
2018-04-25,65.1,64.54,64.6243,65.41,63.5,1437690.0,0.0,1.0
2018-04-26,64.35,65.09,63.8798,65.5,64.21,1849243.0,0.0,1.0
2018-04-27,60.79,63.5,60.3458,64.16,60.18,3369878.0,0.0,1.0
2018-04-30,59.16,60.8,58.7277,61.44,58.96,2642171.0,0.0,1.0
2018-05-01,59.82,59.05,59.3829,59.91,58.48,2553112.0,0.0,1.0
2018-05-02,58.56,59.47,58.1321,59.72,58.35,2182581.0,0.0,1.0
2018-05-03,58.42,58.0,58.42,58.82,57.63,1413742.0,0.43,1.0
2018-05-04,59.41,57.98,59.41,59.6511,57.91,2498624.0,0.0,1.0
2018-05-07,60.0,59.75,60.0,60.4,59.58,2645477.0,0.0,1.0
2018-05-08,60.11,59.84,60.11,60.25,59.7,2618190.0,0.0,1.0
2018-05-09,60.48,60.5,60.48,60.68,60.03,1264687.0,0.0,1.0
2018-05-10,60.55,60.51,60.55,60.75,60.255,1279167.0,0.0,1.0
2018-05-11,61.03,60.91,61.03,61.56,60.71,874888.0,0.0,1.0
2018-05-14,61.21,61.24,61.21,61.57,61.03,1534417.0,0.0,1.0
2018-05-15,60.86,61.09,60.86,61.22,60.38,1939077.0,0.0,1.0
2018-05-16,61.89,61.07,61.89,62.12,60.86,1634409.0,0.0,1.0
2018-05-17,62.28,61.87,62.28,62.8,61.68,1279516.0,0.0,1.0
2018-05-18,62.09,62.01,62.09,62.44,62.01,1150078.0,0.0,1.0
2018-05-21,61.39,62.5,61.39,62.56,61.18,1845395.0,0.0,1.0
2018-05-22,61.36,61.39,61.36,61.6,61.05,1709595.0,0.0,1.0
2018-05-23,60.77,61.09,60.77,61.21,60.3,1391287.0,0.0,1.0
2018-05-24,60.66,60.56,60.66,60.97,60.0,1452797.0,0.0,1.0
2018-05-25,59.96,60.44,59.96,60.58,59.62,1779259.0,0.0,1.0
2018-05-29,59.03,59.51,59.03,60.08,58.86,2301789.0,0.0,1.0
2018-05-30,59.76,59.56,59.76,60.14,59.43,1477386.0,0.0,1.0
2018-05-31,58.88,59.65,58.88,59.9,58.57,1774707.0,0.0,1.0
2018-06-01,60.12,59.52,60.12,60.4,59.33,2029235.0,0.0,1.0
2018-06-04,60.68,60.34,60.68,60.95,60.33,1429858.0,0.0,1.0
2018-06-05,60.77,60.98,60.77,61.655,60.75,2300883.0,0.0,1.0
2018-06-06,60.91,60.94,60.91,60.94,59.47,1861708.0,0.0,1.0
2018-06-07,60.56,60.81,60.56,61.2,60.41,989885.0,0.0,1.0
2018-06-08,60.96,60.32,60.96,60.99,60.05,1007395.0,0.0,1.0
2018-06-11,61.44,61.14,61.44,61.77,61.02,1281758.0,0.0,1.0
2018-06-12,61.82,61.68,61.82,62.05,61.14,1384238.0,0.0,1.0
2018-06-13,60.5,61.48,60.5,61.65,59.95,1872183.0,0.0,1.0
2018-06-14,60.5,60.86,60.5,60.86,60.1,1380676.0,0.0,1.0
2018-06-15,59.81,59.69,59.81,60.125,59.24,2842684.0,0.0,1.0
2018-06-18,59.4,59.5,59.4,59.86,59.28,1513243.0,0.0,1.0
2018-06-19,58.49,58.77,58.49,58.9,58.07,1676111.0,0.0,1.0
2018-06-20,58.46,58.72,58.46,58.88,57.97,1215789.0,0.0,1.0
2018-06-21,57.44,58.21,57.44,58.36,57.32,1687428.0,0.0,1.0
2018-06-22,57.97,57.83,57.97,58.378,57.77,2928639.0,0.0,1.0
2018-06-25,58.23,58.46,58.23,58.85,57.51,1485439.0,0.0,1.0
2018-06-26,58.27,58.17,58.27,58.49,57.93,1302393.0,0.0,1.0
2018-06-27,57.51,58.43,57.51,58.67,57.4999,1213586.0,0.0,1.0
2018-06-28,57.04,57.6,57.04,57.62,56.57,1157979.0,0.0,1.0
