date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,108.1965,107.82,105.96,1.0,110.2,108.46,1221211.0,0.0
2018-02-07,105.6527,108.44,105.71,1.0,110.24,105.91,1363361.0,0.0
2018-02-08,99.9466,105.87,100.18,1.0,106.44,100.19,1455892.0,0.0
2018-02-09,99.9466,100.72,95.56,1.0,101.09,100.19,1768366.0,0.0
2018-02-12,100.6549,101.49,99.99,1.0,103.4,100.9,992548.0,0.0
2018-02-13,99.5376,100.03,97.737,1.0,100.86,99.78,1497174.0,0.0
2018-02-14,102.0216,99.25,98.42,1.0,102.51,102.19,1552570.0,0.08
2018-02-15,98.5972,98.05,95.72,1.0,99.53,98.76,3737745.0,0.0
2018-02-16,98.5673,98.26,98.1761,1.0,101.04,98.73,2012493.0,0.0
2018-02-20,98.2079,99.69,97.67,1.0,100.72,98.37,1336279.0,0.0
2018-02-21,94.9732,98.08,95.1,1.0,98.25,95.13,1627158.0,0.0
2018-02-22,95.2827,95.6,93.76,1.0,97.39,95.44,1491986.0,0.0
2018-02-23,98.5373,96.31,96.0,1.0,98.77,98.7,1248398.0,0.0
2018-02-26,98.1779,98.76,97.6,1.0,99.3,98.34,939579.0,0.0
2018-02-27,97.7586,98.31,97.19,1.0,99.19,97.92,1549832.0,0.0
2018-02-28,95.9316,98.11,96.09,1.0,98.75,96.09,1235660.0,0.0
2018-03-01,95.1929,95.97,94.54,1.0,96.98,95.35,1199012.0,0.0
2018-03-02,95.692,94.88,93.96,1.0,96.39,95.85,997637.0,0.0
2018-03-05,96.5306,95.41,95.41,1.0,97.37,96.69,1143087.0,0.0
2018-03-06,93.256,97.47,93.32,1.0,97.59,93.41,1255820.0,0.0
2018-03-07,92.5372,92.9,92.1176,1.0,95.57,92.69,1621229.0,0.0
2018-03-08,93.5356,93.33,92.05,1.0,93.86,93.69,1096870.0,0.0
2018-03-09,92.7369,94.54,92.46,1.0,94.545,92.89,1348649.0,0.0
2018-03-12,95.2228,92.8,92.6201,1.0,95.49,95.38,2145674.0,0.0
2018-03-13,92.4074,95.81,92.18,1.0,95.89,92.56,1254149.0,0.0
2018-03-14,93.3858,92.79,92.46,1.0,94.78,93.54,1425627.0,0.0
2018-03-15,91.9881,94.01,91.71,1.0,95.23,92.14,949154.0,0.0
2018-03-16,92.3276,92.16,91.5,1.0,93.68,92.48,1535325.0,0.0
2018-03-19,91.4989,91.46,89.73,1.0,91.84,91.65,1232025.0,0.0
2018-03-20,91.469,92.24,91.14,1.0,92.8207,91.62,1070637.0,0.0
2018-03-21,94.514,91.92,91.815,1.0,95.27,94.67,808832.0,0.0
2018-03-22,94.0947,93.39,93.2,1.0,95.01,94.25,1292172.0,0.0
2018-03-23,93.0564,94.36,93.0,1.0,95.382,93.21,1128084.0,0.0
2018-03-26,94.6138,94.92,93.46,1.0,95.08,94.77,1031563.0,0.0
2018-03-27,93.4757,94.7,93.27,1.0,94.93,93.63,862827.0,0.0
2018-03-28,92.5971,95.02,92.43,1.0,95.25,92.75,1500858.0,0.0
2018-03-29,93.3459,93.12,92.25,1.0,93.81,93.5,1823675.0,0.0
2018-04-02,89.662,93.2,87.98,1.0,93.4,89.81,1232443.0,0.0
2018-04-03,91.2793,90.75,88.65,1.0,91.54,91.43,1017398.0,0.0
2018-04-04,91.449,90.14,89.89,1.0,91.68,91.6,1093532.0,0.0
2018-04-05,93.7952,92.0,91.74,1.0,94.37,93.95,1761506.0,0.0
2018-04-06,90.3109,93.55,89.29,1.0,94.3,90.46,2501183.0,0.0
2018-04-09,90.2909,90.85,90.3,1.0,92.21,90.44,1457820.0,0.0
2018-04-10,93.9649,91.96,91.09,1.0,95.11,94.12,1184504.0,0.0
2018-04-11,94.7735,94.12,93.145,1.0,95.31,94.93,1163356.0,0.0
2018-04-12,93.3858,94.92,93.27,1.0,95.27,93.54,838030.0,0.0
2018-04-13,93.8251,93.8,93.25,1.0,94.65,93.98,1738497.0,0.0
2018-04-16,96.5606,94.59,93.71,1.0,97.06,96.72,1501934.0,0.0
2018-04-17,96.1613,96.72,95.6,1.0,96.77,96.32,1007027.0,0.0
2018-04-18,100.8036,97.48,97.01,1.0,102.37,100.97,2108719.0,0.0
2018-04-19,100.2745,101.08,99.67,1.0,101.86,100.44,1461602.0,0.0
2018-04-20,100.4442,100.06,98.57,1.0,101.4899,100.61,1079874.0,0.0
2018-04-23,102.2212,100.23,99.63,1.0,102.54,102.39,1031738.0,0.0
2018-04-24,100.4242,102.39,99.69,1.0,102.9,100.59,1274797.0,0.0
2018-04-25,101.2229,99.76,99.22,1.0,101.83,101.39,722544.0,0.0
2018-04-26,101.6821,101.87,101.02,1.0,102.24,101.85,659962.0,0.0
2018-04-27,100.0648,101.25,100.05,1.0,101.41,100.23,630198.0,0.0
2018-04-30,100.4242,99.84,99.57,1.0,102.19,100.59,894266.0,0.0
2018-05-01,99.6755,99.86,98.77,1.0,100.29,99.84,790986.0,0.0
2018-05-02,98.3476,99.58,97.76,1.0,100.2,98.51,1389006.0,0.0
2018-05-03,96.1712,98.13,95.63,1.0,98.285,96.33,1013863.0,0.0
2018-05-04,97.1496,96.22,95.76,1.0,97.93,97.31,809946.0,0.0
2018-05-07,97.1396,98.19,97.14,1.0,101.47,97.3,1161156.0,0.0
2018-05-08,99.8951,97.01,95.4,1.0,100.14,100.06,1540411.0,0.0
2018-05-09,97.5689,101.94,96.9,1.0,102.5,97.73,2553795.0,0.0
2018-05-10,97.6588,97.59,95.27,1.0,98.65,97.82,1714000.0,0.0
2018-05-11,98.3776,97.95,97.87,1.0,100.17,98.54,1839608.0,0.0
2018-05-14,96.92,98.44,96.2899,1.0,98.49,96.92,1460903.0,0.16
2018-05-15,98.41,96.87,96.07,1.0,98.55,98.41,1505526.0,0.0
2018-05-16,98.99,98.4,97.41,1.0,99.3,98.99,982407.0,0.0
2018-05-17,99.39,99.02,98.19,1.0,100.08,99.39,1412956.0,0.0
2018-05-18,98.3,99.24,97.195,1.0,99.57,98.3,1046122.0,0.0
2018-05-21,98.99,99.05,98.56,1.0,99.89,98.99,1213854.0,0.0
2018-05-22,99.35,99.28,98.68,1.0,102.09,99.35,2567258.0,0.0
2018-05-23,95.64,98.46,94.95,1.0,98.46,95.64,1641796.0,0.0
2018-05-24,94.95,94.43,93.18,1.0,95.44,94.95,1361334.0,0.0
2018-05-25,92.08,92.76,90.76,1.0,93.0,92.08,1990719.0,0.0
2018-05-29,90.97,91.11,90.36,1.0,92.49,90.97,1446058.0,0.0
2018-05-30,94.86,92.32,92.15,1.0,95.61,94.86,1067890.0,0.0
2018-05-31,92.92,93.95,92.48,1.0,95.5911,92.92,952508.0,0.0
2018-06-01,88.09,92.84,87.45,1.0,92.84,88.09,2749791.0,0.0
2018-06-04,85.3,87.78,83.86,1.0,87.82,85.3,4286005.0,0.0
2018-06-05,83.99,85.29,82.62,1.0,85.36,83.99,2325986.0,0.0
2018-06-06,83.67,84.22,82.45,1.0,84.83,83.67,1766302.0,0.0
2018-06-07,85.6,84.11,84.07,1.0,86.31,85.6,2150794.0,0.0
2018-06-08,85.59,85.6,84.3,1.0,86.23,85.59,1050290.0,0.0
2018-06-11,87.25,86.41,85.55,1.0,87.898,87.25,1574922.0,0.0
2018-06-12,89.88,88.02,87.3,1.0,90.84,89.88,2322976.0,0.0
2018-06-13,88.7,89.16,88.62,1.0,92.42,88.7,1495672.0,0.0
2018-06-14,86.55,89.54,86.32,1.0,89.73,86.55,1188975.0,0.0
2018-06-15,85.06,86.27,84.79,1.0,86.625,85.06,2184328.0,0.0
2018-06-18,89.92,85.32,85.21,1.0,91.19,89.92,2848262.0,0.0
2018-06-19,93.07,88.97,88.75,1.0,94.34,93.07,3103156.0,0.0
2018-06-20,95.09,93.96,91.17,1.0,96.005,95.09,3259339.0,0.0
2018-06-21,93.77,95.33,92.97,1.0,96.99,93.77,3459076.0,0.0
2018-06-22,97.69,97.3,96.0,1.0,98.81,97.69,3710450.0,0.0
2018-06-25,95.18,97.14,94.36,1.0,98.335,95.18,2427728.0,0.0
2018-06-26,98.56,95.4,95.2964,1.0,99.18,98.56,1477070.0,0.0
2018-06-27,100.48,99.97,99.025,1.0,101.825,100.48,1665322.0,0.0
2018-06-28,100.73,100.61,99.1612,1.0,101.29,100.73,702137.0,0.0
