date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,42.73,43.24,41.9881,43.24,41.88,5950852.0,0.0,1.0
2018-02-07,42.46,41.57,41.7228,43.29,41.51,3736005.0,0.0,1.0
2018-02-08,42.44,42.18,41.7031,43.16,42.11,4838964.0,0.0,1.0
2018-02-09,43.35,42.51,42.5973,43.66,42.45,5076957.0,0.0,1.0
2018-02-12,43.76,43.54,43.0002,44.0,43.04,4484935.0,0.0,1.0
2018-02-13,43.96,43.92,43.1968,44.15,43.24,3408054.0,0.0,1.0
2018-02-14,43.22,43.64,42.4696,43.759,43.21,4208601.0,0.0,1.0
2018-02-15,44.19,43.3,43.4228,44.2,43.07,3685336.0,0.0,1.0
2018-02-16,44.68,44.13,43.9043,44.88,44.05,3540857.0,0.0,1.0
2018-02-20,44.12,44.66,43.354,44.775,43.85,3381482.0,0.0,1.0
2018-02-21,43.7,44.02,42.9413,44.59,43.7,4619970.0,0.0,1.0
2018-02-22,43.61,43.73,42.8528,44.09,43.5,3220573.0,0.0,1.0
2018-02-23,44.77,43.64,43.9927,44.82,43.64,3063267.0,0.0,1.0
2018-02-26,44.54,44.84,43.7667,44.92,44.46,2664664.0,0.0,1.0
2018-02-27,43.7,44.44,42.9413,44.69,43.66,4214194.0,0.0,1.0
2018-02-28,43.28,43.83,42.5286,43.955,43.26,3568686.0,0.0,1.0
2018-03-01,43.17,43.29,42.4205,43.94,42.84,4228718.0,0.0,1.0
2018-03-02,43.03,43.13,42.2829,43.61,42.645,4515063.0,0.0,1.0
2018-03-05,43.83,42.88,43.069,44.02,42.78,4149220.0,0.0,1.0
2018-03-06,42.91,43.62,42.165,43.83,42.82,4723758.0,0.0,1.0
2018-03-07,42.72,42.79,41.9783,43.08,42.565,3444282.0,0.0,1.0
2018-03-08,43.13,42.89,42.3812,43.35,42.64,2794747.0,0.0,1.0
2018-03-09,43.28,43.08,42.5286,43.29,42.78,2370669.0,0.0,1.0
2018-03-12,43.66,43.25,42.902,43.88,43.23,3241686.0,0.0,1.0
2018-03-13,43.51,43.76,42.7546,43.92,43.24,4724080.0,0.0,1.0
2018-03-14,43.54,43.28,43.1575,43.79,43.2603,2756710.0,0.38,1.0
2018-03-15,43.65,43.49,43.2665,43.97,43.33,3941794.0,0.0,1.0
2018-03-16,44.13,43.73,43.7423,44.23,43.73,6130389.0,0.0,1.0
2018-03-19,44.17,44.03,43.7819,44.45,43.89,3212296.0,0.0,1.0
2018-03-20,44.26,44.22,43.8711,44.47,44.06,3504285.0,0.0,1.0
2018-03-21,44.46,44.29,44.0694,44.99,44.2,6076146.0,0.0,1.0
2018-03-22,44.57,44.42,44.1784,45.19,44.36,4978597.0,0.0,1.0
2018-03-23,43.74,44.74,43.3557,44.98,43.66,3974724.0,0.0,1.0
