date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,37.34,37.32,37.0474,38.23,36.58,6216095.0,0.0,1.0
2018-02-07,42.0,37.41,41.6709,42.39,37.37,22030913.0,0.0,1.0
2018-02-08,41.26,41.05,40.9367,43.26,40.02,12693765.0,0.0,1.0
2018-02-09,41.86,41.63,41.532,42.27,40.66,5159346.0,0.0,1.0
2018-02-12,41.6,41.86,41.274,42.12,40.5,3913367.0,0.0,1.0
2018-02-13,41.9,41.52,41.5717,42.1,41.34,3381553.0,0.0,1.0
2018-02-14,43.5,41.93,43.1591,43.75,41.82,4619620.0,0.0,1.0
2018-02-15,43.12,43.65,42.7821,43.79,42.75,3767316.0,0.0,1.0
2018-02-16,43.8,43.14,43.4568,44.17,42.92,3241373.0,0.0,1.0
2018-02-20,43.0,43.66,42.6631,43.76,42.6,3605604.0,0.0,1.0
2018-02-21,43.3,43.09,42.9607,43.76,42.99,2494687.0,0.0,1.0
2018-02-22,43.1,42.66,42.7623,43.94,42.66,2247173.0,0.0,1.0
2018-02-23,43.45,43.23,43.1095,43.515,42.98,1591890.0,0.0,1.0
2018-02-26,43.12,43.52,42.7821,43.54,42.91,1903694.0,0.0,1.0
2018-02-27,42.69,43.12,42.3555,43.37,42.49,2739526.0,0.0,1.0
2018-02-28,42.31,42.72,41.9785,43.04,42.3,1887863.0,0.0,1.0
2018-03-01,42.73,42.33,42.3952,42.86,41.36,4635868.0,0.0,1.0
2018-03-02,43.3,42.61,42.9607,43.54,42.3,3607867.0,0.0,1.0
2018-03-05,55.92,56.36,55.4818,56.39,55.66,82908034.0,0.0,1.0
2018-03-06,55.91,55.99,55.4719,56.11,55.83,19886343.0,0.0,1.0
2018-03-07,55.75,55.92,55.3132,55.98,55.74,14585305.0,0.0,1.0
2018-03-08,55.8,55.81,55.3628,55.9,55.76,11019817.0,0.0,1.0
2018-03-09,55.67,55.83,55.2338,55.89,55.65,13901933.0,0.0,1.0
2018-03-12,55.56,55.72,55.1246,55.73,55.53,12036620.0,0.0,1.0
2018-03-13,55.6,55.6,55.1643,55.7175,55.52,7531244.0,0.0,1.0
2018-03-14,55.45,55.56,55.2338,55.58,55.2,9318889.0,0.22,1.0
2018-03-15,55.42,55.4,55.2039,55.53,55.35,3893201.0,0.0,1.0
2018-03-16,55.33,55.5,55.1143,55.54,55.33,5260989.0,0.0,1.0
2018-03-19,55.44,55.4,55.2238,55.555,55.37,4097631.0,0.0,1.0
2018-03-20,55.36,55.51,55.1441,55.54,55.31,6430082.0,0.0,1.0
2018-03-21,55.39,55.43,55.174,55.5,55.37,4743781.0,0.0,1.0
2018-03-22,55.35,55.45,55.1342,55.49,55.35,5692829.0,0.0,1.0
2018-03-23,55.33,55.4,55.1143,55.48,55.33,5400350.0,0.0,1.0
2018-03-26,55.4,55.37,55.184,55.46,55.37,3921205.0,0.0,1.0
2018-03-27,55.41,55.46,55.1939,55.61,55.33,6661156.0,0.0,1.0
2018-03-28,55.35,55.43,55.1342,55.5,55.31,8928998.0,0.0,1.0
2018-03-29,55.26,55.38,55.0445,55.41,55.26,5155306.0,0.0,1.0
2018-04-02,55.1,55.38,54.8851,55.38,55.02,5288998.0,0.0,1.0
2018-04-03,55.49,55.12,55.2736,55.49,55.09,4699116.0,0.0,1.0
2018-04-04,55.26,55.41,55.0445,55.45,55.17,3495364.0,0.0,1.0
2018-04-05,55.6,55.26,55.3832,55.63,55.22,3586594.0,0.0,1.0
2018-04-06,55.35,55.47,55.1342,55.57,55.33,3202203.0,0.0,1.0
2018-04-09,55.25,55.38,55.0346,55.42,55.25,4679888.0,0.0,1.0
2018-04-10,55.39,55.3,55.174,55.41,55.275,3532615.0,0.0,1.0
2018-04-11,55.36,55.33,55.1441,55.39,55.24,2929478.0,0.0,1.0
2018-04-12,55.39,55.35,55.174,55.5,55.34,2881531.0,0.0,1.0
2018-04-13,55.5,55.42,55.2836,55.54,55.35,2220422.0,0.0,1.0
2018-04-16,55.5,55.54,55.2836,55.61,55.44,2213717.0,0.0,1.0
2018-04-17,55.67,55.51,55.4529,55.83,55.5,3103318.0,0.0,1.0
2018-04-18,55.78,55.7,55.5625,55.84,55.7,1590573.0,0.0,1.0
2018-04-19,55.61,55.75,55.3932,55.835,55.54,2258418.0,0.0,1.0
2018-04-20,55.55,55.7,55.3334,55.7,55.5,2715847.0,0.0,1.0
2018-04-23,55.44,55.59,55.2238,55.655,55.265,3621688.0,0.0,1.0
2018-04-24,55.38,55.45,55.1641,55.55,55.285,3627957.0,0.0,1.0
2018-04-25,55.4,55.38,55.184,55.49,55.32,3125979.0,0.0,1.0
2018-04-26,55.71,55.41,55.4928,55.79,55.35,2584197.0,0.0,1.0
2018-04-27,55.8,55.7,55.5824,55.9,55.65,3425002.0,0.0,1.0
2018-04-30,55.59,55.84,55.3732,55.84,55.59,2417404.0,0.0,1.0
2018-05-01,55.81,55.62,55.5924,55.81,55.62,2069155.0,0.0,1.0
2018-05-02,55.65,55.71,55.433,55.75,55.625,2109077.0,0.0,1.0
2018-05-03,55.5,55.63,55.2836,55.669,55.46,3219771.0,0.0,1.0
2018-05-04,55.54,55.5,55.3234,55.62,55.5,1417662.0,0.0,1.0
2018-05-07,55.05,55.55,54.8353,55.59,52.78,5097574.0,0.0,1.0
2018-05-08,55.13,55.1,54.915,55.25,55.05,2807315.0,0.0,1.0
2018-05-09,55.08,55.2,54.8652,55.23,55.07,2166598.0,0.0,1.0
2018-05-10,54.83,55.07,54.6162,55.16,54.53,4823072.0,0.0,1.0
2018-05-11,54.93,54.8,54.7158,55.04,54.8,2593549.0,0.0,1.0
2018-05-14,54.99,54.99,54.7756,55.07,54.845,3113811.0,0.0,1.0
2018-05-15,55.22,55.0,55.0047,55.32,54.95,1994463.0,0.0,1.0
2018-05-16,55.3,55.28,55.0844,55.46,55.13,1905029.0,0.0,1.0
2018-05-17,55.33,55.27,55.1143,55.515,55.22,2005762.0,0.0,1.0
2018-05-18,55.46,55.33,55.2437,55.51,55.26,1541769.0,0.0,1.0
2018-05-21,55.76,55.5,55.5426,55.825,55.5,1735123.0,0.0,1.0
2018-05-22,55.74,55.72,55.5227,55.845,55.7,3973439.0,0.0,1.0
2018-05-23,55.77,55.74,55.5525,55.86,55.51,1198797.0,0.0,1.0
2018-05-24,55.67,55.78,55.4529,55.78,55.6,2259891.0,0.0,1.0
2018-05-25,55.64,55.6,55.423,55.77,55.55,2565015.0,0.0,1.0
2018-05-29,55.32,55.63,55.1043,55.7,55.3,2241958.0,0.0,1.0
2018-05-30,55.59,55.32,55.3732,55.79,55.32,1632201.0,0.0,1.0
2018-05-31,55.58,55.52,55.3633,55.67,55.42,3526299.0,0.0,1.0
2018-06-01,55.94,55.6,55.7219,56.0,55.555,1862336.0,0.0,1.0
2018-06-04,55.94,56.0,55.7219,56.055,55.75,991473.0,0.0,1.0
2018-06-05,55.96,55.87,55.7418,55.98,55.79,1133333.0,0.0,1.0
2018-06-06,56.18,56.0,55.9609,56.19,55.94,1892315.0,0.0,1.0
2018-06-07,56.3,56.15,56.0805,56.31,56.03,2645788.0,0.0,1.0
2018-06-08,56.3,56.3,56.0805,56.351,56.2,2137207.0,0.0,1.0
2018-06-11,56.4,56.35,56.1801,56.495,56.26,2019800.0,0.0,1.0
2018-06-12,56.31,56.35,56.0904,56.49,56.25,2708850.0,0.0,1.0
2018-06-13,56.27,56.4,56.0506,56.49,56.26,2854395.0,0.0,1.0
2018-06-14,56.2,56.19,56.2,56.29,56.14,1932559.0,0.22,1.0
2018-06-15,56.18,56.15,56.18,56.235,56.02,2485539.0,0.0,1.0
2018-06-18,56.2,56.07,56.2,56.2,56.05,715524.0,0.0,1.0
2018-06-19,56.19,56.17,56.19,56.23,56.12,973844.0,0.0,1.0
2018-06-20,56.21,56.17,56.21,56.25,56.12,612597.0,0.0,1.0
2018-06-21,56.2,56.17,56.2,56.25,56.13,1497065.0,0.0,1.0
2018-06-22,56.15,56.23,56.15,56.27,56.14,1161163.0,0.0,1.0
2018-06-25,56.11,56.21,56.11,56.28,56.08,1255801.0,0.0,1.0
2018-06-26,56.09,56.12,56.09,56.24,56.08,620788.0,0.0,1.0
2018-06-27,55.94,56.1,55.94,56.115,55.92,2029459.0,0.0,1.0
2018-06-28,56.07,56.0,56.07,56.175,55.97,949555.0,0.0,1.0
