date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,58.3578,57.09,57.02,1.0,58.71,58.46,2032446.0,0.0
2018-02-07,58.1981,58.09,54.28,1.0,59.15,58.3,2255662.0,0.0
2018-02-08,56.7506,58.3,56.85,1.0,58.49,56.85,1938016.0,0.0
2018-02-09,57.08,57.12,56.445,1.0,57.89,57.18,3196535.0,0.0
2018-02-12,57.2797,57.59,56.91,1.0,57.94,57.38,1575608.0,0.0
2018-02-13,56.8903,56.79,56.2,1.0,57.27,56.99,1556196.0,0.0
2018-02-14,57.08,56.47,56.47,1.0,57.35,57.18,1815344.0,0.0
2018-02-15,57.5991,57.69,56.9,1.0,57.89,57.7,1844703.0,0.0
2018-02-16,58.3278,57.91,57.91,1.0,59.04,58.43,1921173.0,0.0
2018-02-20,58.0483,58.42,57.98,1.0,59.17,58.15,2880265.0,0.0
2018-02-21,57.9585,58.06,57.93,1.0,58.97,58.06,2293400.0,0.0
2018-02-22,57.0101,58.13,57.06,1.0,58.47,57.11,1690744.0,0.0
2018-02-23,57.5692,57.9,56.37,1.0,57.9,57.67,2109236.0,0.0
2018-02-26,56.9502,57.77,56.58,1.0,57.8,57.05,4396928.0,0.0
2018-02-27,57.2297,57.26,57.21,1.0,58.07,57.33,2649273.0,0.0
2018-02-28,55.962,57.39,56.0,1.0,57.61,56.06,2674967.0,0.0
2018-03-01,55.1933,55.49,54.41,1.0,56.26,55.29,3126805.0,0.0
2018-03-02,56.8604,53.92,53.39,1.0,57.24,56.96,3023438.0,0.0
2018-03-05,55.7623,56.51,54.24,1.0,56.51,55.86,2180930.0,0.0
2018-03-06,56.2714,55.83,55.68,1.0,56.63,56.37,1528968.0,0.0
2018-03-07,56.3313,56.21,56.06,1.0,56.77,56.43,1856600.0,0.0
2018-03-08,56.8504,56.47,56.35,1.0,57.2,56.95,1355134.0,0.0
2018-03-09,57.5692,57.31,56.88,1.0,58.12,57.67,2022800.0,0.0
2018-03-12,58.3178,57.92,57.53,1.0,58.6,58.42,1337697.0,0.0
2018-03-13,57.6989,58.65,57.74,1.0,58.87,57.8,1028374.0,0.0
2018-03-14,57.1998,58.05,57.12,1.0,58.255,57.3,956582.0,0.0
2018-03-15,56.8504,57.19,56.8,1.0,57.83,56.95,1237598.0,0.0
2018-03-16,56.2315,56.75,56.29,1.0,57.44,56.33,3596963.0,0.0
2018-03-19,55.363,56.32,55.16,1.0,56.705,55.46,1941887.0,0.0
2018-03-20,54.5045,55.65,54.57,1.0,55.97,54.6,1731439.0,0.0
2018-03-21,54.0353,54.58,53.68,1.0,54.89,54.13,3090457.0,0.0
2018-03-22,52.5679,53.85,52.635,1.0,53.97,52.66,2788169.0,0.0
2018-03-23,50.6213,52.69,50.62,1.0,53.105,50.71,2533868.0,0.0
2018-03-26,51.0106,51.25,50.305,1.0,51.965,51.1,3503019.0,0.0
2018-03-27,49.9425,51.15,49.86,1.0,51.27,50.03,3051143.0,0.0
2018-03-28,49.95,50.19,49.87,1.0,51.34,49.95,1566626.0,0.0875
2018-03-29,50.31,50.07,49.6,1.0,50.64,50.31,3175003.0,0.0
2018-04-02,49.03,50.1,48.25,1.0,50.5799,49.03,2428247.0,0.0
2018-04-03,49.91,49.39,48.45,1.0,49.99,49.91,5063132.0,0.0
2018-04-04,50.53,49.6,49.45,1.0,50.75,50.53,3063536.0,0.0
2018-04-05,50.09,50.62,49.69,1.0,50.96,50.09,2673598.0,0.0
2018-04-06,49.02,49.87,48.77,1.0,50.01,49.02,2459929.0,0.0
2018-04-09,49.25,49.49,49.0,1.0,50.08,49.25,1975393.0,0.0
2018-04-10,49.75,49.63,49.18,1.0,50.22,49.75,2107708.0,0.0
2018-04-11,49.29,49.33,49.1,1.0,49.87,49.29,1632217.0,0.0
2018-04-12,49.19,49.47,49.05,1.0,49.5531,49.19,1151980.0,0.0
2018-04-13,49.0,49.26,48.81,1.0,49.72,49.0,1508224.0,0.0
2018-04-16,50.19,49.37,49.07,1.0,50.54,50.19,2875832.0,0.0
2018-04-17,50.27,50.47,49.72,1.0,50.52,50.27,1539947.0,0.0
2018-04-18,50.62,50.08,49.82,1.0,51.1339,50.62,1447298.0,0.0
2018-04-19,49.74,50.3,49.25,1.0,50.68,49.74,1593502.0,0.0
2018-04-20,49.34,49.79,49.185,1.0,50.05,49.34,1576558.0,0.0
2018-04-23,49.48,49.47,49.13,1.0,49.9,49.48,1419818.0,0.0
2018-04-24,48.87,49.58,48.5,1.0,49.8,48.87,1999915.0,0.0
2018-04-25,49.16,48.9,48.39,1.0,49.24,49.16,1678791.0,0.0
2018-04-26,49.66,49.47,49.19,1.0,49.9,49.66,1531441.0,0.0
2018-04-27,50.34,49.77,49.34,1.0,50.73,50.34,2700431.0,0.0
2018-04-30,50.34,50.36,49.95,1.0,50.7,50.34,2922802.0,0.0
2018-05-01,50.64,50.23,49.76,1.0,50.71,50.64,1832113.0,0.0
2018-05-02,50.59,50.56,50.29,1.0,50.99,50.59,2368826.0,0.0
2018-05-03,49.24,50.11,48.355,1.0,50.42,49.24,2178784.0,0.0
2018-05-04,49.99,49.1,48.73,1.0,50.43,49.99,3028277.0,0.0
2018-05-07,46.92,46.08,46.0,1.0,49.535,46.92,5235452.0,0.0
2018-05-08,44.47,46.84,44.21,1.0,47.02,44.47,5638611.0,0.0
2018-05-09,44.58,44.51,44.24,1.0,45.06,44.58,3114472.0,0.0
2018-05-10,46.54,45.6,45.4,1.0,46.97,46.54,4435155.0,0.0
2018-05-11,46.93,46.51,46.11,1.0,47.27,46.93,2472971.0,0.0
2018-05-14,47.51,46.95,46.89,1.0,47.91,47.51,3566949.0,0.0
2018-05-15,47.94,47.27,46.96,1.0,48.0,47.94,3082678.0,0.0
2018-05-16,47.89,47.84,47.7493,1.0,48.28,47.89,2759521.0,0.0
2018-05-17,47.95,47.82,47.74,1.0,48.12,47.95,2175595.0,0.0
2018-05-18,47.5,48.08,47.27,1.0,48.08,47.5,1599099.0,0.0
2018-05-21,47.2,47.65,46.93,1.0,47.825,47.2,1835008.0,0.0
2018-05-22,47.25,47.44,47.16,1.0,47.59,47.25,1429355.0,0.0
2018-05-23,46.5,46.84,46.3,1.0,46.94,46.5,2450649.0,0.0
2018-05-24,46.21,46.49,45.62,1.0,46.5013,46.21,3393648.0,0.0
2018-05-25,46.57,46.28,46.18,1.0,46.86,46.57,2320745.0,0.0
2018-05-29,45.81,46.34,45.12,1.0,46.46,45.81,2787192.0,0.0
2018-05-30,45.45,46.11,45.4,1.0,46.27,45.45,3229728.0,0.0
2018-05-31,43.81,45.54,43.7,1.0,45.54,43.81,3201761.0,0.0
2018-06-01,43.42,43.94,43.18,1.0,44.36,43.42,3232779.0,0.0
2018-06-04,43.94,43.53,43.17,1.0,44.35,43.94,3454370.0,0.0
2018-06-05,42.29,42.95,41.64,1.0,43.24,42.29,4154253.0,0.0
2018-06-06,43.01,42.32,42.13,1.0,43.26,43.01,2714045.0,0.0
2018-06-07,43.11,43.04,42.46,1.0,43.87,43.11,2493537.0,0.0
2018-06-08,42.96,43.03,42.71,1.0,43.1,42.96,1598738.0,0.0
2018-06-11,43.4,42.78,42.725,1.0,43.585,43.4,1854274.0,0.0
