date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,30.85,30.94,30.2713,31.53,30.22,4334316.0,0.0,1.0
2018-02-07,31.18,30.73,30.5951,31.405,30.73,2889339.0,0.0,1.0
2018-02-08,29.8,31.25,29.241,31.373,29.8,3553242.0,0.0,1.0
2018-02-09,29.61,30.08,29.0546,30.1599,28.48,3774740.0,0.0,1.0
2018-02-12,29.95,29.84,29.3882,30.305,29.54,3220756.0,0.0,1.0
2018-02-13,29.17,29.74,28.6229,29.82,29.1,3198700.0,0.0,1.0
2018-02-14,29.79,29.0,29.2312,29.875,28.88,2660907.0,0.0,1.0
2018-02-15,30.5,30.0,29.9279,30.57,29.74,2287632.0,0.0,1.0
2018-02-16,30.55,30.43,29.977,30.8,30.25,2125268.0,0.0,1.0
2018-02-20,31.03,30.36,30.448,31.17,30.11,3282694.0,0.0,1.0
2018-02-21,30.38,31.15,29.8102,31.4109,30.35,2383344.0,0.0,1.0
2018-02-22,30.23,30.5,29.663,30.55,30.04,1791525.0,0.0,1.0
2018-02-23,30.87,30.53,30.291,30.88,30.33,1333155.0,0.0,1.0
2018-02-26,31.12,30.92,30.5363,31.17,30.76,1210532.0,0.0,1.0
2018-02-27,30.25,31.04,29.6826,31.06,30.25,2055459.0,0.0,1.0
2018-02-28,30.32,30.34,29.7513,30.86,29.96,2358693.0,0.0,1.0
2018-03-01,30.55,30.36,29.977,30.75,29.97,2931643.0,0.0,1.0
2018-03-02,30.06,30.34,29.4962,30.36,29.8,2394459.0,0.0,1.0
2018-03-05,30.29,29.93,29.7218,30.45,29.83,2690345.0,0.0,1.0
2018-03-06,30.04,30.3,29.4765,30.38,30.0,1965274.0,0.0,1.0
2018-03-07,29.83,29.78,29.2705,29.94,29.72,1840274.0,0.0,1.0
2018-03-08,29.83,29.9,29.2705,29.91,29.68,948869.0,0.0,1.0
2018-03-09,29.92,29.98,29.3588,29.98,29.705,1708378.0,0.0,1.0
2018-03-12,29.69,29.98,29.1331,30.0937,29.63,1485847.0,0.0,1.0
2018-03-13,31.34,29.84,30.7521,31.58,29.79,4947453.0,0.0,1.0
2018-03-14,30.75,31.54,30.1732,31.61,30.5,2629243.0,0.0,1.0
2018-03-15,31.05,30.75,30.4676,31.07,30.75,2608168.0,0.0,1.0
2018-03-16,31.1,31.13,30.5166,31.46,31.01,2272064.0,0.0,1.0
2018-03-19,30.19,30.99,29.6237,31.07,30.13,3105546.0,0.0,1.0
2018-03-20,30.82,30.31,30.2419,31.34,30.26,3155410.0,0.0,1.0
2018-03-21,30.86,30.71,30.2812,31.19,30.45,2322779.0,0.0,1.0
2018-03-22,29.8,30.54,29.241,30.57,29.7,2385639.0,0.0,1.0
2018-03-23,28.8,29.82,28.2598,29.87,28.79,2407477.0,0.0,1.0
2018-03-26,29.4,29.29,28.8485,29.59,28.76,2409614.0,0.0,1.0
2018-03-27,29.0,29.46,28.456,29.495,28.86,2437482.0,0.0,1.0
2018-03-28,28.85,28.83,28.5542,29.01,28.1299,2527681.0,0.25,1.0
2018-03-29,28.78,29.09,28.4849,29.09,28.63,1962674.0,0.0,1.0
2018-04-02,28.06,28.68,27.7723,28.795,27.83,1780348.0,0.0,1.0
2018-04-03,27.92,28.26,27.6337,28.26,27.7601,1796981.0,0.0,1.0
2018-04-04,28.31,27.63,28.0197,28.35,27.5,3230778.0,0.0,1.0
2018-04-05,28.28,28.45,27.99,28.56,28.07,988762.0,0.0,1.0
2018-04-06,27.98,28.09,27.6931,28.34,27.795,2090390.0,0.0,1.0
2018-04-09,27.53,28.19,27.2477,28.29,27.49,2040492.0,0.0,1.0
2018-04-10,28.32,27.9,28.0296,28.48,27.87,1479135.0,0.0,1.0
2018-04-11,28.25,28.1,27.9603,28.38,28.05,814999.0,0.0,1.0
2018-04-12,28.23,28.41,27.9405,28.52,28.225,1658106.0,0.0,1.0
2018-04-13,28.17,28.42,27.8811,28.7,28.07,1205884.0,0.0,1.0
2018-04-16,29.06,28.36,28.762,29.125,27.975,1974123.0,0.0,1.0
2018-04-17,29.98,29.19,29.6726,30.04,29.04,3179660.0,0.0,1.0
2018-04-18,30.27,30.01,29.9596,30.96,29.7301,3828690.0,0.0,1.0
2018-04-19,30.33,30.06,30.019,30.89,30.02,2543369.0,0.0,1.0
2018-04-20,31.54,30.45,31.2166,31.78,30.25,4606796.0,0.0,1.0
2018-04-23,31.2,31.52,30.8801,31.67,30.64,2617425.0,0.0,1.0
2018-04-24,30.7,31.3,30.3852,31.49,30.35,1698687.0,0.0,1.0
2018-04-25,30.64,30.69,30.3258,30.77,30.29,993084.0,0.0,1.0
2018-04-26,30.42,30.75,30.1081,30.75,30.32,1287787.0,0.0,1.0
2018-04-27,31.28,30.94,30.9592,31.37,30.85,1865184.0,0.0,1.0
2018-04-30,31.45,31.28,31.1275,31.56,31.1868,2053176.0,0.0,1.0
2018-05-01,32.29,31.35,31.9589,32.31,31.35,3302042.0,0.0,1.0
2018-05-02,29.38,32.05,29.0787,32.05,29.2,8017896.0,0.0,1.0
2018-05-03,28.31,29.24,28.0197,29.5,28.17,5107310.0,0.0,1.0
2018-05-04,28.38,28.12,28.089,28.89,27.87,3043619.0,0.0,1.0
2018-05-07,28.46,28.4,28.1682,28.8,27.66,4832314.0,0.0,1.0
2018-05-08,28.38,28.59,28.089,28.82,28.04,3520412.0,0.0,1.0
2018-05-09,28.83,28.68,28.5344,29.045,28.0698,3114279.0,0.0,1.0
2018-05-10,29.33,28.94,29.0292,29.37,28.7,1483100.0,0.0,1.0
2018-05-11,30.17,29.75,29.8606,30.42,29.67,3542660.0,0.0,1.0
2018-05-14,28.87,28.89,28.574,29.15,27.11,11700445.0,0.0,1.0
2018-05-15,28.51,28.59,28.2176,29.04,28.44,2602691.0,0.0,1.0
2018-05-16,28.55,28.42,28.2572,28.651,28.305,1764099.0,0.0,1.0
2018-05-17,28.47,28.55,28.1781,28.92,28.37,1641635.0,0.0,1.0
2018-05-18,28.19,28.49,27.9009,28.53,28.12,2077876.0,0.0,1.0
2018-05-21,27.98,28.3,27.6931,28.39,27.93,2369963.0,0.0,1.0
2018-05-22,28.13,28.04,27.8415,28.29,27.8,2742749.0,0.0,1.0
2018-05-23,28.03,28.06,27.7426,28.19,27.94,1781975.0,0.0,1.0
2018-05-24,28.11,28.0,27.8218,28.19,27.91,1633999.0,0.0,1.0
2018-05-25,27.91,28.06,27.6238,28.17,27.82,1186313.0,0.0,1.0
2018-05-29,27.75,27.65,27.4654,27.935,27.48,2156033.0,0.0,1.0
2018-05-30,27.78,27.96,27.4951,27.96,27.63,2099820.0,0.0,1.0
2018-05-31,27.18,27.71,26.9013,27.73,27.18,4482658.0,0.0,1.0
2018-06-01,27.35,27.34,27.0695,27.45,27.16,2234297.0,0.0,1.0
2018-06-04,27.37,27.47,27.0893,27.6699,27.3,1805923.0,0.0,1.0
2018-06-05,27.68,27.42,27.3962,28.121,27.4,3919035.0,0.0,1.0
2018-06-06,27.68,27.75,27.3962,27.95,27.41,1935617.0,0.0,1.0
2018-06-07,27.48,27.68,27.1982,27.715,27.36,2487354.0,0.0,1.0
2018-06-08,27.91,27.42,27.6238,27.92,27.4,2034281.0,0.0,1.0
2018-06-11,28.12,27.9,27.8316,28.33,27.831,1662808.0,0.0,1.0
2018-06-12,27.73,28.18,27.4456,28.2,27.64,1871008.0,0.0,1.0
2018-06-13,27.58,27.78,27.2972,27.9,27.57,2356322.0,0.0,1.0
2018-06-14,27.74,27.74,27.4555,27.86,27.59,1858579.0,0.0,1.0
2018-06-15,27.41,27.62,27.1289,27.66,27.24,3553128.0,0.0,1.0
2018-06-18,27.24,27.17,26.9607,27.45,27.13,2232673.0,0.0,1.0
2018-06-19,27.53,27.03,27.2477,27.57,26.96,2174362.0,0.0,1.0
2018-06-20,27.25,27.64,26.9706,27.74,27.2,1181164.0,0.0,1.0
2018-06-21,26.45,27.24,26.1788,27.24,26.305,2746517.0,0.0,1.0
2018-06-22,26.4,26.58,26.1293,26.63,26.34,3473079.0,0.0,1.0
2018-06-25,25.45,26.3,25.189,26.33,25.37,3036413.0,0.0,1.0
2018-06-26,25.33,25.5,25.0703,25.52,25.16,2312406.0,0.0,1.0
2018-06-27,24.51,25.31,24.2587,25.44,24.41,3781550.0,0.0,1.0
2018-06-28,24.13,24.12,24.13,24.27,23.52,4301096.0,0.25,1.0
