date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,52.52,50.41,52.1115,52.76,49.761,3677761.0,0.0,1.0
2018-02-07,54.02,52.23,53.5998,54.315,52.22,6343147.0,0.0,1.0
2018-02-08,50.71,54.02,50.3156,54.33,50.7,3008908.0,0.0,1.0
2018-02-09,51.64,51.6,51.2383,52.05,49.99,2503329.0,0.0,1.0
2018-02-12,52.06,52.07,51.6551,52.511,51.2901,2559449.0,0.0,1.0
2018-02-13,51.96,51.59,51.5558,52.18,51.51,1716841.0,0.0,1.0
2018-02-14,54.51,52.39,54.2844,54.7701,51.82,4789651.0,0.2,1.0
2018-02-15,54.77,54.96,54.5434,55.06,54.26,2249427.0,0.0,1.0
2018-02-16,55.07,54.61,54.8421,55.36,54.5,2128383.0,0.0,1.0
2018-02-20,54.97,54.86,54.7425,55.4,54.59,2091838.0,0.0,1.0
2018-02-21,55.86,55.04,55.6289,56.57,54.7,2635477.0,0.0,1.0
2018-02-22,54.72,56.1,54.4936,56.23,54.51,1828701.0,0.0,1.0
2018-02-23,55.68,54.87,55.4496,55.7,54.6772,1932385.0,0.0,1.0
2018-02-26,56.29,56.1,56.0571,56.31,55.37,1894805.0,0.0,1.0
2018-02-27,55.74,56.3,55.5094,57.07,55.74,1707080.0,0.0,1.0
2018-02-28,54.97,55.91,54.7425,56.3099,54.94,2129858.0,0.0,1.0
2018-03-01,54.38,55.11,54.155,55.66,54.1,2848473.0,0.0,1.0
2018-03-02,54.81,54.14,54.5832,54.95,53.4,2226664.0,0.0,1.0
2018-03-05,55.71,54.39,55.4795,55.99,53.97,4642696.0,0.0,1.0
2018-03-06,56.54,55.82,56.306,56.57,55.25,1600378.0,0.0,1.0
2018-03-07,56.93,55.83,56.6944,57.08,55.83,1405389.0,0.0,1.0
2018-03-08,56.1,56.91,55.8679,57.13,55.23,2019225.0,0.0,1.0
2018-03-09,57.04,56.75,56.804,57.05,56.31,1876868.0,0.0,1.0
2018-03-12,56.58,57.04,56.3459,57.29,55.8,3131027.0,0.0,1.0
2018-03-13,55.75,56.98,55.5193,56.98,55.46,2452555.0,0.0,1.0
2018-03-14,54.78,55.97,54.5533,55.97,54.49,1821285.0,0.0,1.0
2018-03-15,54.75,55.57,54.5234,55.57,54.47,2116564.0,0.0,1.0
2018-03-16,55.52,55.0,55.2903,55.8,54.92,5424358.0,0.0,1.0
2018-03-19,54.99,55.32,54.7625,55.7699,54.34,1634460.0,0.0,1.0
2018-03-20,54.8,55.35,54.5732,55.4712,54.47,2643688.0,0.0,1.0
2018-03-21,55.1,54.94,54.872,55.78,54.39,1992966.0,0.0,1.0
2018-03-22,53.07,54.53,52.8504,54.7,52.97,2578239.0,0.0,1.0
